x y z u v w
0.05 0.05 0 0.0168381 0.0360938 0
0.05 0.15 0 0.0137724 0.0629641 0
0.05 0.25 0 0.006686 0.0478296 0
0.05 0.35 0 0.00201031 0.0400888 0
0.05 0.45 0 -0.00060676 0.0388158 0
0.05 0.55 0 -0.00211198 0.0413071 0
0.05 0.65 0 -0.00308789 0.0460699 0
0.05 0.75 0 -0.00382768 0.0524018 0
0.05 0.85 0 -0.00447616 0.0600013 0
0.05 0.95 0 -0.00511069 0.0687699 0
0.05 1.05 0 -0.00577971 0.0787241 0
0.05 1.15 0 -0.00652062 0.0899587 0
0.05 1.25 0 -0.00736918 0.102635 0
0.05 1.35 0 -0.00836552 0.116982 0
0.05 1.45 0 -0.0095595 0.133311 0
0.05 1.55 0 -0.0110165 0.152036 0
0.05 1.65 0 -0.0128252 0.173707 0
0.05 1.75 0 -0.015111 0.199067 0
0.05 1.85 0 -0.01806 0.229133 0
0.05 1.95 0 -0.0219647 0.265346 0
0.05 2.05 0 -0.0273093 0.309831 0
0.05 2.15 0 -0.0349073 0.36586 0
0.05 2.25 0 -0.0460937 0.438597 0
0.05 2.35 0 -0.0628806 0.536161 0
0.05 2.45 0 -0.0877357 0.670648 0
0.05 2.55 0 -0.121865 0.857595 0
0.05 2.65 0 -0.158767 1.10887 0
0.05 2.75 0 -0.164393 1.40512 0
0.05 2.85 0 -0.0230215 1.61774 0
0.05 2.95 0 0.594242 1.37931 0
0.05 3.05 0 2.50822 0.540955 0
0.15 0.05 0 0.0376454 0.0645106 0
0.15 0.15 0 0.0336912 0.128148 0
0.15 0.25 0 0.0161845 0.124903 0
0.15 0.35 0 0.00246126 0.124134 0
0.15 0.45 0 -0.00638299 0.130897 0
0.15 0.55 0 -0.012098 0.143902 0
0.15 0.65 0 -0.0161484 0.161674 0
0.15 0.75 0 -0.0194156 0.183302 0
0.15 0.85 0 -0.0223979 0.208373 0
0.15 0.95 0 -0.025392 0.23682 0
0.15 1.05 0 -0.0286004 0.268822 0
0.15 1.15 0 -0.0321918 0.304754 0
0.15 1.25 0 -0.0363372 0.345183 0
0.15 1.35 0 -0.0412357 0.390888 0
0.15 1.45 0 -0.0471379 0.442912 0
0.15 1.55 0 -0.0543691 0.502633 0
0.15 1.65 0 -0.0633563 0.571861 0
0.15 1.75 0 -0.074666 0.65295 0
0.15 1.85 0 -0.0890662 0.74894 0
0.15 1.95 0 -0.107634 0.863722 0
0.15 2.05 0 -0.131926 1.00222 0
0.15 2.15 0 -0.164188 1.17052 0
0.15 2.25 0 -0.207419 1.37563 0
0.15 2.35 0 -0.26472 1.62411 0
0.15 2.45 0 -0.336446 1.9174 0
0.15 2.55 0 -0.411701 2.24017 0
0.15 2.65 0 -0.446892 2.53494 0
0.15 2.75 0 -0.317631 2.65915 0
0.15 2.85 0 0.277125 2.34978 0
0.15 2.95 0 1.97977 1.35561 0
0.15 3.05 0 5.98831 0.332759 0
0.25 0.05 0 0.0373581 0.080371 0
0.25 0.15 0 0.0347383 0.171701 0
0.25 0.25 0 0.0123474 0.189754 0
0.25 0.35 0 -0.00851787 0.206287 0
0.25 0.45 0 -0.0240311 0.228181 0
0.25 0.55 0 -0.0353304 0.255957 0
0.25 0.65 0 -0.0441371 0.289242 0
0.25 0.75 0 -0.0517485 0.32771 0
0.25 0.85 0 -0.0590202 0.371301 0
0.25 0.95 0 -0.0665285 0.42024 0
0.25 1.05 0 -0.0747115 0.475016 0
0.25 1.15 0 -0.0839668 0.536379 0
0.25 1.25 0 -0.0947201 0.605364 0
0.25 1.35 0 -0.10748 0.683345 0
0.25 1.45 0 -0.122883 0.772111 0
0.25 1.55 0 -0.141731 0.873952 0
0.25 1.65 0 -0.165016 0.991738 0
0.25 1.75 0 -0.193937 1.12895 0
0.25 1.85 0 -0.229904 1.2896 0
0.25 1.95 0 -0.274539 1.47801 0
0.25 2.05 0 -0.329623 1.69819 0
0.25 2.15 0 -0.396787 1.95271 0
0.25 2.25 0 -0.476373 2.24018 0
0.25 2.35 0 -0.564176 2.55044 0
0.25 2.45 0 -0.643585 2.85533 0
0.25 2.55 0 -0.669265 3.0937 0
0.25 2.65 0 -0.538081 3.15303 0
0.25 2.75 0 -0.0469691 2.86508 0
0.25 2.85 0 1.14768 2.06795 0
0.25 2.95 0 3.51951 0.838737 0
0.25 3.05 0 7.47467 0.0758399 0
0.35 0.05 0 0.0229619 0.0914931 0
0.35 0.15 0 0.0144022 0.204487 0
0.35 0.25 0 -0.011044 0.243187 0
0.35 0.35 0 -0.0362919 0.278742 0
0.35 0.45 0 -0.0570616 0.317604 0
0.35 0.55 0 -0.0738258 0.36119 0
0.35 0.65 0 -0.0881171 0.410155 0
0.35 0.75 0 -0.101337 0.464962 0
0.35 0.85 0 -0.114554 0.526116 0
0.35 0.95 0 -0.128584 0.594284 0
0.35 1.05 0 -0.144124 0.670364 0
0.35 1.15 0 -0.161867 0.755533 0
0.35 1.25 0 -0.182586 0.851319 0
0.35 1.35 0 -0.207218 0.959665 0
0.35 1.45 0 -0.236906 1.08301 0
0.35 1.55 0 -0.273018 1.22434 0
0.35 1.65 0 -0.317089 1.38713 0
0.35 1.75 0 -0.370688 1.57512 0
0.35 1.85 0 -0.435157 1.79181 0
0.35 1.95 0 -0.51119 2.03945 0
0.35 2.05 0 -0.598105 2.31738 0
