x y z u v w
0.05 0.05 0 0.0193476 0.0405807 0
0.05 0.15 0 0.0171972 0.0692659 0
0.05 0.25 0 0.00997568 0.0484649 0
0.05 0.35 0 0.00499254 0.0349825 0
0.05 0.45 0 0.00204944 0.0285094 0
0.05 0.55 0 0.000212741 0.0263978 0
0.05 0.65 0 -0.0010978 0.0271668 0
0.05 0.75 0 -0.00216903 0.030116 0
0.05 0.85 0 -0.00313802 0.034932 0
0.05 0.95 0 -0.00407518 0.0414907 0
0.05 1.05 0 -0.00502296 0.0497712 0
0.05 1.15 0 -0.00601318 0.0598198 0
0.05 1.25 0 -0.00707563 0.0717387 0
0.05 1.35 0 -0.00824376 0.0856869 0
0.05 1.45 0 -0.00956018 0.101892 0
0.05 1.55 0 -0.0110842 0.120672 0
0.05 1.65 0 -0.0129036 0.142477 0
0.05 1.75 0 -0.0151534 0.167956 0
0.05 1.85 0 -0.0180477 0.198066 0
0.05 1.95 0 -0.021932 0.234264 0
0.05 2.05 0 -0.0273669 0.278808 0
0.05 2.15 0 -0.0352539 0.335248 0
0.05 2.25 0 -0.0469979 0.409167 0
0.05 2.35 0 -0.0646278 0.509172 0
0.05 2.45 0 -0.0905533 0.647794 0
0.05 2.55 0 -0.125881 0.840844 0
0.05 2.65 0 -0.164078 1.10033 0
0.05 2.75 0 -0.171252 1.40713 0
0.05 2.85 0 -0.0318801 1.63308 0
0.05 2.95 0 0.583846 1.40846 0
0.05 3.05 0 2.50135 0.558722 0
0.15 0.05 0 0.0462741 0.068987 0
0.15 0.15 0 0.0479807 0.130326 0
0.15 0.25 0 0.0312719 0.111866 0
0.15 0.35 0 0.016601 0.0944983 0
0.15 0.45 0 0.00622918 0.0858188 0
0.15 0.55 0 -0.00118169 0.0852865 0
0.15 0.65 0 -0.00694266 0.0915965 0
0.15 0.75 0 -0.0118685 0.1038 0
0.15 0.85 0 -0.0164219 0.121372 0
0.15 0.95 0 -0.0208764 0.144104 0
0.15 1.05 0 -0.0254156 0.17202 0
0.15 1.15 0 -0.030189 0.205323 0
0.15 1.25 0 -0.0353443 0.244389 0
0.15 1.35 0 -0.041052 0.289779 0
0.15 1.45 0 -0.0475307 0.342288 0
0.15 1.55 0 -0.0550796 0.403015 0
0.15 1.65 0 -0.0641241 0.473479 0
0.15 1.75 0 -0.0752832 0.555776 0
0.15 1.85 0 -0.0894652 0.652807 0
0.15 1.95 0 -0.108001 0.768552 0
0.15 2.05 0 -0.132805 0.90837 0
0.15 2.15 0 -0.166512 1.07918 0
0.15 2.25 0 -0.212409 1.28919 0
0.15 2.35 0 -0.273619 1.5462 0
0.15 2.45 0 -0.350158 1.8527 0
0.15 2.55 0 -0.43054 2.19378 0
0.15 2.65 0 -0.470645 2.51169 0
0.15 2.75 0 -0.345884 2.66277 0
0.15 2.85 0 0.245294 2.38118 0
0.15 2.95 0 1.94867 1.40652 0
0.15 3.05 0 5.97172 0.361168 0
0.25 0.05 0 0.0564086 0.0812351 0
0.25 0.15 0 0.0689163 0.161619 0
0.25 0.25 0 0.0497028 0.154159 0
0.25 0.35 0 0.0267631 0.144034 0
0.25 0.45 0 0.00720979 0.141657 0
0.25 0.55 0 -0.00868418 0.148667 0
0.25 0.65 0 -0.02208 0.164896 0
0.25 0.75 0 -0.0340613 0.189864 0
0.25 0.85 0 -0.0454007 0.22324 0
0.25 0.95 0 -0.056636 0.264941 0
0.25 1.05 0 -0.0681758 0.315142 0
0.25 1.15 0 -0.0803808 0.374263 0
0.25 1.25 0 -0.0936236 0.442984 0
0.25 1.35 0 -0.10834 0.522275 0
0.25 1.45 0 -0.12508 0.613459 0
0.25 1.55 0 -0.144575 0.718294 0
0.25 1.65 0 -0.167808 0.839086 0
0.25 1.75 0 -0.196117 0.978797 0
0.25 1.85 0 -0.23128 1.14113 0
0.25 1.95 0 -0.275582 1.33047 0
0.25 2.05 0 -0.331725 1.55156 0
0.25 2.15 0 -0.402326 1.80833 0
0.25 2.25 0 -0.488435 2.10143 0
0.25 2.35 0 -0.585852 2.42292 0
0.25 2.45 0 -0.677025 2.74655 0
0.25 2.55 0 -0.714864 3.012 0
0.25 2.65 0 -0.594193 3.10602 0
0.25 2.75 0 -0.109982 2.85752 0
0.25 2.85 0 1.08407 2.09841 0
0.25 2.95 0 3.46697 0.89325 0
0.25 3.05 0 7.45241 0.106312 0
0.35 0.05 0 0.0590695 0.0886581 0
0.35 0.15 0 0.0781397 0.18234 0
0.35 0.25 0 0.0580099 0.186692 0
0.35 0.35 0 0.028197 0.188158 0
0.35 0.45 0 -0.000851875 0.197185 0
