x y z u v w
0.05 0.05 0 0.0193671 0.0401916 0
0.05 0.15 0 0.0168437 0.0687859 0
0.05 0.25 0 0.00924777 0.0489602 0
0.05 0.35 0 0.00400504 0.0370756 0
0.05 0.45 0 0.000930711 0.0325663 0
0.05 0.55 0 -0.000930256 0.0325638 0
0.05 0.65 0 -0.00218837 0.035417 0
0.05 0.75 0 -0.00315895 0.0403097 0
0.05 0.85 0 -0.00400226 0.0468606 0
0.05 0.95 0 -0.00480605 0.0549148 0
0.05 1.05 0 -0.00562479 0.0644478 0
0.05 1.15 0 -0.0064975 0.0755198 0
0.05 1.25 0 -0.00745664 0.0882562 0
0.05 1.35 0 -0.00853384 0.10284 0
0.05 1.45 0 -0.00976557 0.119516 0
0.05 1.55 0 -0.0112011 0.138603 0
0.05 1.65 0 -0.0129152 0.160534 0
0.05 1.75 0 -0.0150298 0.185914 0
0.05 1.85 0 -0.0177488 0.215639 0
0.05 1.95 0 -0.0214147 0.25109 0
0.05 2.05 0 -0.0265959 0.294457 0
0.05 2.15 0 -0.0342138 0.349247 0
0.05 2.25 0 -0.0457012 0.421044 0
0.05 2.35 0 -0.0631121 0.518509 0
0.05 2.45 0 -0.088857 0.654255 0
0.05 2.55 0 -0.123989 0.844129 0
0.05 2.65 0 -0.16183 1.1 0
0.05 2.75 0 -0.168257 1.4023 0
0.05 2.85 0 -0.0275988 1.62215 0
0.05 2.95 0 0.589333 1.39076 0
0.05 3.05 0 2.50517 0.548269 0
0.15 0.05 0 0.0458587 0.0692123 0
0.15 0.15 0 0.0454275 0.132599 0
0.15 0.25 0 0.0269383 0.118843 0
0.15 0.35 0 0.0112204 0.107769 0
0.15 0.45 0 0.000462893 0.106032 0
0.15 0.55 0 -0.00684317 0.112409 0
0.15 0.65 0 -0.0121756 0.125146 0
0.15 0.75 0 -0.0164862 0.143035 0
0.15 0.85 0 -0.0203423 0.16543 0
0.15 0.95 0 -0.0240927 0.1921 0
0.15 1.05 0 -0.0279718 0.223112 0
0.15 1.15 0 -0.0321574 0.258753 0
0.15 1.25 0 -0.0368047 0.2995 0
0.15 1.35 0 -0.0420705 0.346007 0
0.15 1.45 0 -0.0481393 0.399129 0
0.15 1.55 0 -0.0552583 0.459972 0
0.15 1.65 0 -0.0637898 0.529994 0
0.15 1.75 0 -0.0742905 0.611162 0
0.15 1.85 0 -0.0876253 0.706185 0
0.15 1.95 0 -0.105119 0.818836 0
0.15 2.05 0 -0.128732 0.9543 0
0.15 2.15 0 -0.161201 1.11942 0
0.15 2.25 0 -0.205946 1.32245 0
0.15 2.35 0 -0.2662 1.5714 0
0.15 2.45 0 -0.341993 1.86903 0
0.15 2.55 0 -0.42166 2.20061 0
0.15 2.65 0 -0.460687 2.50836 0
0.15 2.75 0 -0.334034 2.64845 0
0.15 2.85 0 0.259679 2.35562 0
0.15 2.95 0 1.96396 1.37379 0
0.15 3.05 0 5.98039 0.343972 0
0.25 0.05 0 0.053616 0.0835892 0
0.25 0.15 0 0.059953 0.170914 0
0.25 0.25 0 0.0364721 0.174069 0
0.25 0.35 0 0.0114723 0.176482 0
0.25 0.45 0 -0.00841452 0.186946 0
0.25 0.55 0 -0.0234759 0.20604 0
0.25 0.65 0 -0.0353341 0.232982 0
0.25 0.75 0 -0.0454176 0.267003 0
0.25 0.85 0 -0.0547473 0.30769 0
0.25 0.95 0 -0.064033 0.355023 0
0.25 1.05 0 -0.0737949 0.409329 0
0.25 1.15 0 -0.0844514 0.471228 0
0.25 1.25 0 -0.0963817 0.541613 0
0.25 1.35 0 -0.109976 0.621641 0
0.25 1.45 0 -0.125687 0.71276 0
0.25 1.55 0 -0.144106 0.816757 0
0.25 1.65 0 -0.166051 0.935844 0
0.25 1.75 0 -0.1927 1.07277 0
0.25 1.85 0 -0.22573 1.23093 0
0.25 1.95 0 -0.267422 1.41439 0
