x y z p
0.05 0.05 0 -16.5942
0.05 0.15 0 -19.5927
0.05 0.25 0 -20.8882
0.05 0.35 0 -21.7043
0.05 0.45 0 -22.3246
0.05 0.55 0 -22.8734
0.05 0.65 0 -23.4229
0.05 0.75 0 -24.0232
0.05 0.85 0 -24.7134
0.05 0.95 0 -25.5279
0.05 1.05 0 -26.4985
0.05 1.15 0 -27.6568
0.05 1.25 0 -29.0352
0.05 1.35 0 -30.6681
0.05 1.45 0 -32.5927
0.05 1.55 0 -34.8507
0.05 1.65 0 -37.4893
0.05 1.75 0 -40.5638
0.05 1.85 0 -44.141
0.05 1.95 0 -48.3048
0.05 2.05 0 -53.1655
0.05 2.15 0 -58.8749
0.05 2.25 0 -65.6539
0.05 2.35 0 -73.8403
0.05 2.45 0 -83.9768
0.05 2.55 0 -96.9724
0.05 2.65 0 -114.386
0.05 2.75 0 -138.863
0.05 2.85 0 -174.423
0.05 2.95 0 -223.924
0.05 3.05 0 -261.947
0.15 0.05 0 -17.894
0.15 0.15 0 -20.2083
0.15 0.25 0 -21.1511
0.15 0.35 0 -21.8208
0.15 0.45 0 -22.3727
0.15 0.55 0 -22.8823
0.15 0.65 0 -23.4047
0.15 0.75 0 -23.9836
0.15 0.85 0 -24.6555
0.15 0.95 0 -25.4531
0.15 1.05 0 -26.4075
0.15 1.15 0 -27.5495
0.15 1.25 0 -28.9111
0.15 1.35 0 -30.5262
0.15 1.45 0 -32.4319
0.15 1.55 0 -34.6692
0.15 1.65 0 -37.2851
0.15 1.75 0 -40.3344
0.15 1.85 0 -43.8829
0.15 1.95 0 -48.0135
0.15 2.05 0 -52.8338
0.15 2.15 0 -58.4902
0.15 2.25 0 -65.1889
0.15 2.35 0 -73.228
0.15 2.45 0 -83.0423
0.15 2.55 0 -95.2487
0.15 2.65 0 -110.649
0.15 2.75 0 -130.053
0.15 2.85 0 -153.472
0.15 2.95 0 -176.485
0.15 3.05 0 -171.194
0.25 0.05 0 -19.0462
0.25 0.15 0 -20.9758
0.25 0.25 0 -21.5812
0.25 0.35 0 -22.041
0.25 0.45 0 -22.4611
0.25 0.55 0 -22.8807
0.25 0.65 0 -23.3359
0.25 0.75 0 -23.8602
0.25 0.85 0 -24.4845
0.25 0.95 0 -25.2382
0.25 1.05 0 -26.1501
0.25 1.15 0 -27.2495
0.25 1.25 0 -28.5671
0.25 1.35 0 -30.1362
0.25 1.45 0 -31.9926
0.25 1.55 0 -34.1767
0.25 1.65 0 -36.7341
0.25 1.75 0 -39.7176
0.25 1.85 0 -43.1904
0.25 1.95 0 -47.2301
0.25 2.05 0 -51.9343
0.25 2.15 0 -57.4289
0.25 2.25 0 -63.8747
0.25 2.35 0 -71.4691
0.25 2.45 0 -80.4268
0.25 2.55 0 -90.9185
0.25 2.65 0 -102.941
0.25 2.75 0 -116.108
0.25 2.85 0 -129.162
0.25 2.95 0 -137.579
0.25 3.05 0 -121.964
0.35 0.05 0 -20.0302
0.35 0.15 0 -21.7273
0.35 0.25 0 -22.052
0.35 0.35 0 -22.2934
0.35 0.45 0 -22.5513
0.35 0.55 0 -22.8481
0.35 0.65 0 -23.2057
0.35 0.75 0 -23.6482
0.35 0.85 0 -24.2002
0.35 0.95 0 -24.8866
0.35 1.05 0 -25.7336
0.35 1.15 0 -26.7682
0.35 1.25 0 -28.0199
0.35 1.35 0 -29.5205
0.35 1.45 0 -31.3053
0.35 1.55 0 -33.4133
0.35 1.65 0 -35.8886
0.35 1.75 0 -38.7812
0.35 1.85 0 -42.1488
0.35 1.95 0 -46.0584
0.35 2.05 0 -50.5865
0.35 2.15 0 -55.8171
0.35 2.25 0 -61.8291
0.35 2.35 0 -68.67
0.35 2.45 0 -76.3052
0.35 2.55 0 -84.558
0.35 2.65 0 -93.077
0.35 2.75 0 -101.347
0.35 2.85 0 -108.411
0.35 2.95 0 -110.896
0.35 3.05 0 -95.0138
0.45 0.05 0 -20.908
0.45 0.15 0 -22.4199
0.45 0.25 0 -22.4967
0.45 0.35 0 -22.5242
0.45 0.45 0 -22.6085
0.45 0.55 0 -22.7646
0.45 0.65 0 -23.0055
0.45 0.75 0 -23.3474
0.45 0.85 0 -23.809
0.45 0.95 0 -24.4111
0.45 1.05 0 -25.1766
0.45 1.15 0 -26.1306
0.45 1.25 0 -27.3011
0.45 1.35 0 -28.7189
0.45 1.45 0 -30.4183
0.45 1.55 0 -32.4373
0.45 1.65 0 -34.8172
0.45 1.75 0 -37.6033
0.45 1.85 0 -40.8428
0.45 1.95 0 -44.5829
0.45 2.05 0 -48.8638
0.45 2.15 0 -53.7055
0.45 2.25 0 -59.0846
0.45 2.35 0 -64.9038
0.45 2.45 0 -70.9686
0.45 2.55 0 -77.0065
0.45 2.65 0 -82.7492
0.45 2.75 0 -87.9673
0.45 2.85 0 -92.0504
0.45 2.95 0 -92.3266
0.45 3.05 0 -78.2865
0.55 0.05 0 -21.707
0.55 0.15 0 -23.0368
0.55 0.25 0 -22.8787
0.55 0.35 0 -22.698
0.55 0.45 0 -22.6066
0.55 0.55 0 -22.615
0.55 0.65 0 -22.7295
0.55 0.75 0 -22.9602
0.55 0.85 0 -23.3207
0.55 0.95 0 -23.8278
0.55 1.05 0 -24.5015
0.55 1.15 0 -25.3651
0.55 1.25 0 -26.4452
0.55 1.35 0 -27.7719
0.55 1.45 0 -29.3783
0.55 1.55 0 -31.3001
0.55 1.65 0 -33.5742
0.55 1.75 0 -36.2362
0.55 1.85 0 -39.3159
0.55 1.95 0 -42.8298
0.55 2.05 0 -46.7688
0.55 2.15 0 -51.0811
0.55 2.25 0 -55.6551
0.55 2.35 0 -60.3142
0.55 2.45 0 -64.8478
0.55 2.55 0 -69.0893
0.55 2.65 0 -72.9905
0.55 2.75 0 -76.5183
0.55 2.85 0 -79.1427
0.55 2.95 0 -78.6232
0.55 3.05 0 -66.5719
0.65 0.05 0 -22.4179
0.65 0.15 0 -23.5571
0.65 0.25 0 -23.171
0.65 0.35 0 -22.7899
0.65 0.45 0 -22.5274
0.65 0.55 0 -22.3891
0.65 0.65 0 -22.3757
0.65 0.75 0 -22.492
0.65 0.85 0 -22.7471
0.65 0.95 0 -23.1544
0.65 1.05 0 -23.7314
0.65 1.15 0 -24.4998
0.65 1.25 0 -25.485
0.65 1.35 0 -26.7158
0.65 1.45 0 -28.2232
0.65 1.55 0 -30.0387
0.65 1.65 0 -32.1909
0.65 1.75 0 -34.7004
0.65 1.85 0 -37.5718
0.65 1.95 0 -40.7835
0.65 2.05 0 -44.275
0.65 2.15 0 -47.9375
0.65 2.25 0 -51.6169
0.65 2.35 0 -55.1446
0.65 2.45 0 -58.4013
0.65 2.55 0 -61.3847
0.65 2.65 0 -64.1913
0.65 2.75 0 -66.8024
0.65 2.85 0 -68.6567
0.65 2.95 0 -67.8778
0.65 3.05 0 -57.5673
0.75 0.05 0 -23.005
0.75 0.15 0 -23.9505
0.75 0.25 0 -23.3486
0.75 0.35 0 -22.7807
0.75 0.45 0 -22.3584
0.75 0.55 0 -22.0816
0.75 0.65 0 -21.9456
0.75 0.75 0 -21.9505
0.75 0.85 0 -22.1016
0.75 0.95 0 -22.4094
0.75 1.05 0 -22.8891
0.75 1.15 0 -23.5609
0.75 1.25 0 -24.4486
0.75 1.35 0 -25.5789
0.75 1.45 0 -26.9789
0.75 1.55 0 -28.6729
0.75 1.65 0 -30.677
0.75 1.75 0 -32.9913
0.75 1.85 0 -35.5911
0.75 1.95 0 -38.4172
0.75 2.05 0 -41.3702
0.75 2.15 0 -44.3167
0.75 2.25 0 -47.1162
0.75 2.35 0 -49.672
0.75 2.45 0 -51.988
0.75 2.55 0 -54.1774
0.75 2.65 0 -56.3591
0.75 2.75 0 -58.4354
0.75 2.85 0 -59.8299
0.75 2.95 0 -59.0037
0.75 3.05 0 -50.1653
0.85 0.05 0 -23.4185
0.85 0.15 0 -24.1805
0.85 0.25 0 -23.3867
0.85 0.35 0 -22.6543
0.85 0.45 0 -22.0909
0.85 0.55 0 -21.6903
0.85 0.65 0 -21.4429
0.85 0.75 0 -21.3447
0.85 0.85 0 -21.3976
0.85 0.95 0 -21.6098
0.85 1.05 0 -21.9944
0.85 1.15 0 -22.5697
0.85 1.25 0 -23.3572
0.85 1.35 0 -24.3799
0.85 1.45 0 -25.6586
0.85 1.55 0 -27.2072
0.85 1.65 0 -29.0253
0.85 1.75 0 -31.0905
0.85 1.85 0 -33.3498
0.85 1.95 0 -35.7167
0.85 2.05 0 -38.0764
0.85 2.15 0 -40.3086
0.85 2.25 0 -42.3285
0.85 2.35 0 -44.1331
0.85 2.45 0 -45.8198
0.85 2.55 0 -47.5356
0.85 2.65 0 -49.3424
0.85 2.75 0 -51.0571
0.85 2.85 0 -52.1386
0.85 2.95 0 -51.3504
0.85 3.05 0 -43.7719
0.95 0.05 0 -23.6072
0.95 0.15 0 -24.2109
0.95 0.25 0 -23.2623
0.95 0.35 0 -22.3971
0.95 0.45 0 -21.7181
0.95 0.55 0 -21.214
0.95 0.65 0 -20.8709
0.95 0.75 0 -20.6816
0.95 0.85 0 -20.6455
0.95 0.95 0 -20.7682
0.95 1.05 0 -21.061
0.95 1.15 0 -21.5395
0.95 1.25 0 -22.2218
0.95 1.35 0 -23.1251
0.95 1.45 0 -24.2614
0.95 1.55 0 -25.6315
0.95 1.65 0 -27.217
0.95 1.75 0 -28.9742
0.95 1.85 0 -30.8303
0.95 1.95 0 -32.6886
0.95 2.05 0 -34.446
0.95 2.15 0 -36.0255
0.95 2.25 0 -37.4145
0.95 2.35 0 -38.6865
0.95 2.45 0 -39.9776
0.95 2.55 0 -41.4032
0.95 2.65 0 -42.9437
0.95 2.75 0 -44.366
0.95 2.85 0 -45.2054
0.95 2.95 0 -44.4883
0.95 3.05 0 -38.0203
1.05 0.05 0 -23.5293
1.05 0.15 0 -24.0117
1.05 0.25 0 -22.9564
1.05 0.35 0 -21.9977
1.05 0.45 0 -21.2341
1.05 0.55 0 -20.6506
1.05 0.65 0 -20.2306
1.05 0.75 0 -19.9643
1.05 0.85 0 -19.8492
1.05 0.95 0 -19.8888
1.05 1.05 0 -20.092
1.05 1.15 0 -20.4708
1.05 1.25 0 -21.0382
1.05 1.35 0 -21.8038
1.05 1.45 0 -22.7689
1.05 1.55 0 -23.9196
1.05 1.65 0 -25.2215
1.05 1.75 0 -26.6158
1.05 1.85 0 -28.0232
1.05 1.95 0 -29.3569
1.05 2.05 0 -30.5482
1.05 2.15 0 -31.5766
1.05 2.25 0 -32.492
1.05 2.35 0 -33.4065
1.05 2.45 0 -34.4428
1.05 2.55 0 -35.6538
1.05 2.65 0 -36.9524
1.05 2.75 0 -38.1004
1.05 2.85 0 -38.7321
1.05 2.95 0 -38.099
1.05 3.05 0 -32.6468
1.15 0.05 0 -23.1601
1.15 0.15 0 -23.564
1.15 0.25 0 -22.4559
1.15 0.35 0 -21.447
1.15 0.45 0 -20.6324
1.15 0.55 0 -19.9953
1.15 0.65 0 -19.5177
1.15 0.75 0 -19.1884
1.15 0.85 0 -19.0033
1.15 0.95 0 -18.9638
1.15 1.05 0 -19.0756
1.15 1.15 0 -19.3464
1.15 1.25 0 -19.7826
1.15 1.35 0 -20.3847
1.15 1.45 0 -21.1425
1.15 1.55 0 -22.0292
1.15 1.65 0 -22.9993
1.15 1.75 0 -23.9897
1.15 1.85 0 -24.9296
1.15 1.95 0 -25.7597
1.15 2.05 0 -26.4555
1.15 2.15 0 -27.0476
1.15 2.25 0 -27.621
1.15 2.35 0 -28.2856
1.15 2.45 0 -29.1202
1.15 2.55 0 -30.1162
1.15 2.65 0 -31.1529
1.15 2.75 0 -32.0238
1.15 2.85 0 -32.468
1.15 2.95 0 -31.9279
1.15 3.05 0 -27.4409
1.25 0.05 0 -22.4945
1.25 0.15 0 -22.8622
1.25 0.25 0 -21.755
1.25 0.35 0 -20.7393
1.25 0.45 0 -19.9068
1.25 0.55 0 -19.2408
1.25 0.65 0 -18.7232
1.25 0.75 0 -18.3422
1.25 0.85 0 -18.0921
1.25 0.95 0 -17.9724
1.25 1.05 0 -17.985
1.25 1.15 0 -18.1323
1.25 1.25 0 -18.4133
1.25 1.35 0 -18.8196
1.25 1.45 0 -19.3307
1.25 1.55 0 -19.912
1.25 1.65 0 -20.5148
1.25 1.75 0 -21.0835
1.25 1.85 0 -21.5688
1.25 1.95 0 -21.9457
1.25 2.05 0 -22.2303
1.25 2.15 0 -22.483
1.25 2.25 0 -22.7929
1.25 2.35 0 -23.2412
1.25 2.45 0 -23.8584
1.25 2.55 0 -24.5971
1.25 2.65 0 -25.338
1.25 2.75 0 -25.928
1.25 2.85 0 -26.2036
1.25 2.95 0 -25.7678
1.25 3.05 0 -22.2291
1.35 0.05 0 -21.5458
1.35 0.15 0 -21.9136
1.35 0.25 0 -20.8563
1.35 0.35 0 -19.8732
1.35 0.45 0 -19.0526
1.35 0.55 0 -18.3792
1.35 0.65 0 -17.8354
1.35 0.75 0 -17.4094
1.35 0.85 0 -17.0945
1.35 0.95 0 -16.8873
1.35 1.05 0 -16.7862
1.35 1.15 0 -16.7879
1.35 1.25 0 -16.8848
1.35 1.35 0 -17.061
1.35 1.45 0 -17.2905
1.35 1.55 0 -17.5368
1.35 1.65 0 -17.7573
1.35 1.75 0 -17.9126
1.35 1.85 0 -17.9795
1.35 1.95 0 -17.9636
1.35 2.05 0 -17.905
1.35 2.15 0 -17.8709
1.35 2.25 0 -17.9332
1.35 2.35 0 -18.1386
1.35 2.45 0 -18.4844
