x y z u v w
0.05 0.05 0 0.0180118 0.0378016 0
0.05 0.15 0 0.0151656 0.0652938 0
0.05 0.25 0 0.0078027 0.0480629 0
0.05 0.35 0 0.00284034 0.038552 0
0.05 0.45 0 8.38009e-06 0.0359554 0
0.05 0.55 0 -0.0016492 0.0374589 0
0.05 0.65 0 -0.00273454 0.0414736 0
0.05 0.75 0 -0.00355619 0.0472331 0
0.05 0.85 0 -0.0042696 0.054395 0
0.05 0.95 0 -0.00495953 0.0628366 0
0.05 1.05 0 -0.00567957 0.0725618 0
0.05 1.15 0 -0.00647043 0.0836603 0
0.05 1.25 0 -0.00736902 0.0962923 0
0.05 1.35 0 -0.00841385 0.110686 0
0.05 1.45 0 -0.00964938 0.127144 0
0.05 1.55 0 -0.0111312 0.146059 0
0.05 1.65 0 -0.0129348 0.16794 0
0.05 1.75 0 -0.015172 0.19346 0
0.05 1.85 0 -0.0180217 0.223554 0
0.05 1.95 0 -0.0217861 0.259578 0
0.05 2.05 0 -0.0269833 0.303618 0
0.05 2.15 0 -0.0344883 0.358988 0
0.05 2.25 0 -0.045711 0.431021 0
0.05 2.35 0 -0.0627242 0.528122 0
0.05 2.45 0 -0.0880037 0.662734 0
0.05 2.55 0 -0.12269 0.850677 0
0.05 2.65 0 -0.160166 1.10393 0
0.05 2.75 0 -0.166281 1.40306 0
0.05 2.85 0 -0.0252788 1.61924 0
0.05 2.95 0 0.591878 1.38429 0
0.05 3.05 0 2.50679 0.544229 0
0.15 0.05 0 0.0414711 0.0664544 0
0.15 0.15 0 0.0389032 0.12989 0
0.15 0.25 0 0.0207212 0.122227 0
0.15 0.35 0 0.00597478 0.117343 0
0.15 0.45 0 -0.00374653 0.120864 0
0.15 0.55 0 -0.0101195 0.131424 0
0.15 0.65 0 -0.0146481 0.147361 0
0.15 0.75 0 -0.0182689 0.167603 0
0.15 0.85 0 -0.0215267 0.191621 0
0.15 0.95 0 -0.0247527 0.219281 0
0.15 1.05 0 -0.0281748 0.250728 0
0.15 1.15 0 -0.0319778 0.286329 0
0.15 1.25 0 -0.0363386 0.326652 0
0.15 1.35 0 -0.0414483 0.37248 0
0.15 1.45 0 -0.0475309 0.424836 0
0.15 1.55 0 -0.0548638 0.485038 0
0.15 1.65 0 -0.0638098 0.554769 0
0.15 1.75 0 -0.0748728 0.636185 0
0.15 1.85 0 -0.088793 0.732082 0
0.15 1.95 0 -0.1067 0.846127 0
0.15 2.05 0 -0.130323 0.983161 0
0.15 2.15 0 -0.162196 1.14945 0
0.15 2.25 0 -0.205657 1.35254 0
0.15 2.35 0 -0.26406 1.59979 0
0.15 2.45 0 -0.337758 1.89359 0
0.15 2.55 0 -0.415516 2.21926 0
0.15 2.65 0 -0.453152 2.51951 0
0.15 2.75 0 -0.325695 2.65126 0
0.15 2.85 0 0.268304 2.35029 0
0.15 2.95 0 1.97182 1.36279 0
0.15 3.05 0 5.98441 0.337581 0
0.25 0.05 0 0.0446686 0.0820192 0
0.25 0.15 0 0.0453938 0.172276 0
0.25 0.25 0 0.0219704 0.184854 0
0.25 0.35 0 -0.000971408 0.196459 0
0.25 0.45 0 -0.018408 0.214603 0
0.25 0.55 0 -0.0311982 0.239704 0
0.25 0.65 0 -0.0410976 0.271146 0
0.25 0.75 0 -0.0495122 0.308383 0
