x y z p
0.05 0.05 0 -16.2593
0.05 0.15 0 -19.1951
0.05 0.25 0 -20.4684
0.05 0.35 0 -21.2684
0.05 0.45 0 -21.8631
0.05 0.55 0 -22.3677
0.05 0.65 0 -22.849
0.05 0.75 0 -23.3546
0.05 0.85 0 -23.9234
0.05 0.95 0 -24.5907
0.05 1.05 0 -25.3903
0.05 1.15 0 -26.3564
0.05 1.25 0 -27.5241
0.05 1.35 0 -28.9309
0.05 1.45 0 -30.6178
0.05 1.55 0 -32.6301
0.05 1.65 0 -35.0194
0.05 1.75 0 -37.8459
0.05 1.85 0 -41.1817
0.05 1.95 0 -45.1166
0.05 2.05 0 -49.7667
0.05 2.15 0 -55.2896
0.05 2.25 0 -61.9109
0.05 2.35 0 -69.9719
0.05 2.45 0 -80.0174
0.05 2.55 0 -92.9571
0.05 2.65 0 -110.352
0.05 2.75 0 -134.853
0.05 2.85 0 -170.502
0.05 2.95 0 -220.226
0.05 3.05 0 -258.921
0.15 0.05 0 -17.5153
0.15 0.15 0 -19.7868
0.15 0.25 0 -20.7227
0.15 0.35 0 -21.386
0.15 0.45 0 -21.9186
0.15 0.55 0 -22.3876
0.15 0.65 0 -22.8436
0.15 0.75 0 -23.3285
0.15 0.85 0 -23.8787
0.15 0.95 0 -24.5283
0.15 1.05 0 -25.3105
0.15 1.15 0 -26.2588
0.15 1.25 0 -27.4081
0.15 1.35 0 -28.7954
0.15 1.45 0 -30.4614
0.15 1.55 0 -32.4508
0.15 1.65 0 -34.815
0.15 1.75 0 -37.6135
0.15 1.85 0 -40.9179
0.15 1.95 0 -44.8167
0.15 2.05 0 -49.4239
0.15 2.15 0 -54.8918
0.15 2.25 0 -61.4318
0.15 2.35 0 -69.3459
0.15 2.45 0 -79.0711
0.15 2.55 0 -91.2255
0.15 2.65 0 -106.611
0.15 2.75 0 -126.037
0.15 2.85 0 -149.519
0.15 2.95 0 -172.678
0.15 3.05 0 -167.952
0.25 0.05 0 -18.5985
0.25 0.15 0 -20.5166
0.25 0.25 0 -21.1451
0.25 0.35 0 -21.6198
0.25 0.45 0 -22.034
0.25 0.55 0 -22.4208
0.25 0.65 0 -22.813
0.25 0.75 0 -23.2435
0.25 0.85 0 -23.7444
0.25 0.95 0 -24.3469
0.25 1.05 0 -25.0825
0.25 1.15 0 -25.9837
0.25 1.25 0 -27.0842
0.25 1.35 0 -28.4202
0.25 1.45 0 -30.0314
0.25 1.55 0 -31.9615
0.25 1.65 0 -34.2605
0.25 1.75 0 -36.9863
0.25 1.85 0 -40.2077
0.25 1.95 0 -44.0088
0.25 2.05 0 -48.4943
0.25 2.15 0 -53.7967
0.25 2.25 0 -60.0829
0.25 2.35 0 -67.5547
0.25 2.45 0 -76.4289
0.25 2.55 0 -86.875
0.25 2.65 0 -98.885
0.25 2.75 0 -112.063
0.25 2.85 0 -125.142
0.25 2.95 0 -133.644
0.25 3.05 0 -118.56
0.35 0.05 0 -19.4912
0.35 0.15 0 -21.2256
0.35 0.25 0 -21.6181
0.35 0.35 0 -21.9054
0.35 0.45 0 -22.1768
0.35 0.55 0 -22.4506
0.35 0.65 0 -22.7485
0.35 0.75 0 -23.0959
0.35 0.85 0 -23.5199
0.35 0.95 0 -24.049
0.35 1.05 0 -24.7124
0.35 1.15 0 -25.541
0.35 1.25 0 -26.5674
0.35 1.35 0 -27.8267
0.35 1.45 0 -29.3572
0.35 1.55 0 -31.2018
0.35 1.65 0 -33.4086
0.35 1.75 0 -36.0329
0.35 1.85 0 -39.1387
0.35 1.95 0 -42.8003
0.35 2.05 0 -47.1024
0.35 2.15 0 -52.137
0.35 2.25 0 -57.9899
0.35 2.35 0 -64.7127
0.35 2.45 0 -72.271
0.35 2.55 0 -80.4825
0.35 2.65 0 -88.984
0.35 2.75 0 -97.2449
0.35 2.85 0 -104.302
0.35 2.95 0 -106.842
0.35 3.05 0 -91.4899
0.45 0.05 0 -20.2679
0.45 0.15 0 -21.8857
0.45 0.25 0 -22.0883
0.45 0.35 0 -22.1996
0.45 0.45 0 -22.3189
0.45 0.55 0 -22.4616
0.45 0.65 0 -22.6436
0.45 0.75 0 -22.8856
0.45 0.85 0 -23.2112
0.45 0.95 0 -23.6459
0.45 1.05 0 -24.2171
0.45 1.15 0 -24.9541
0.45 1.25 0 -25.8881
0.45 1.35 0 -27.0533
0.45 1.45 0 -28.487
0.45 1.55 0 -30.2305
0.45 1.65 0 -32.3294
0.45 1.75 0 -34.8342
0.45 1.85 0 -37.7995
0.45 1.95 0 -41.2807
0.45 2.05 0 -45.3277
0.45 2.15 0 -49.9696
0.45 2.25 0 -55.19
0.45 2.35 0 -60.8947
0.45 2.45 0 -66.8859
0.45 2.55 0 -72.8803
0.45 2.65 0 -78.5934
0.45 2.75 0 -83.7804
0.45 2.85 0 -87.8332
0.45 2.95 0 -88.1525
0.45 3.05 0 -74.6568
0.55 0.05 0 -20.983
0.55 0.15 0 -22.5041
0.55 0.25 0 -22.5373
0.55 0.35 0 -22.48
0.55 0.45 0 -22.443
0.55 0.55 0 -22.4431
0.55 0.65 0 -22.4946
0.55 0.75 0 -22.6155
0.55 0.85 0 -22.8268
0.55 0.95 0 -23.1522
0.55 1.05 0 -23.6172
0.55 1.15 0 -24.2496
0.55 1.25 0 -25.0798
0.55 1.35 0 -26.1407
0.55 1.45 0 -27.4681
0.55 1.55 0 -29.1007
0.55 1.65 0 -31.0794
0.55 1.75 0 -33.4456
0.55 1.85 0 -36.2369
0.55 1.95 0 -39.4796
0.55 2.05 0 -43.1751
0.55 2.15 0 -47.282
0.55 2.25 0 -51.695
0.55 2.35 0 -56.2387
0.55 2.45 0 -60.6952
0.55 2.55 0 -64.8837
0.55 2.65 0 -68.7384
0.55 2.75 0 -72.2145
0.55 2.85 0 -74.7919
0.55 2.95 0 -74.3106
0.55 3.05 0 -62.8246
0.65 0.05 0 -21.6686
0.65 0.15 0 -23.093
0.65 0.25 0 -22.9618
0.65 0.35 0 -22.7372
0.65 0.45 0 -22.5403
0.65 0.55 0 -22.3903
0.65 0.65 0 -22.3016
0.65 0.75 0 -22.2909
0.65 0.85 0 -22.3778
0.65 0.95 0 -22.5842
0.65 1.05 0 -22.9343
0.65 1.15 0 -23.4547
0.65 1.25 0 -24.1743
0.65 1.35 0 -25.1245
0.65 1.45 0 -26.3382
0.65 1.55 0 -27.8494
0.65 1.65 0 -29.6905
0.65 1.75 0 -31.8877
0.65 1.85 0 -34.4543
0.65 1.95 0 -37.3795
0.65 2.05 0 -40.6147
0.65 2.15 0 -44.0616
0.65 2.25 0 -47.5721
0.65 2.35 0 -50.9764
0.65 2.45 0 -54.145
0.65 2.55 0 -57.0591
0.65 2.65 0 -59.798
0.65 2.75 0 -62.3355
0.65 2.85 0 -64.1266
0.65 2.95 0 -63.3831
0.65 3.05 0 -53.6664
0.75 0.05 0 -22.3422
0.75 0.15 0 -23.6618
0.75 0.25 0 -23.3629
0.75 0.35 0 -22.9683
0.75 0.45 0 -22.6078
0.75 0.55 0 -22.3027
0.75 0.65 0 -22.068
0.75 0.75 0 -21.9197
0.75 0.85 0 -21.8764
0.75 0.95 0 -21.9587
0.75 1.05 0 -22.1893
0.75 1.15 0 -22.5934
0.75 1.25 0 -23.1979
0.75 1.35 0 -24.0311
0.75 1.45 0 -25.1211
0.75 1.55 0 -26.4939
0.75 1.65 0 -28.1684
0.75 1.75 0 -30.151
0.75 1.85 0 -32.4259
0.75 1.95 0 -34.9458
0.75 2.05 0 -37.6244
0.75 2.15 0 -40.3391
0.75 2.25 0 -42.9548
0.75 2.35 0 -45.3714
0.75 2.45 0 -47.5799
0.75 2.55 0 -49.6753
0.75 2.65 0 -51.7611
0.75 2.75 0 -53.7376
0.75 2.85 0 -55.0517
0.75 2.95 0 -54.2603
0.75 3.05 0 -46.0541
0.85 0.05 0 -23.0115
0.85 0.15 0 -24.2158
0.85 0.25 0 -23.7424
0.85 0.35 0 -23.1735
0.85 0.45 0 -22.6459
0.85 0.55 0 -22.1828
0.85 0.65 0 -21.7993
0.85 0.75 0 -21.511
0.85 0.85 0 -21.3354
0.85 0.95 0 -21.2915
0.85 1.05 0 -21.4005
0.85 1.15 0 -21.685
0.85 1.25 0 -22.1688
0.85 1.35 0 -22.8751
0.85 1.45 0 -23.8246
0.85 1.55 0 -25.0315
0.85 1.65 0 -26.498
0.85 1.75 0 -28.2074
0.85 1.85 0 -30.1169
0.85 1.95 0 -32.1527
0.85 2.05 0 -34.2143
0.85 2.15 0 -36.1924
0.85 2.25 0 -38.006
0.85 2.35 0 -39.6457
0.85 2.45 0 -41.194
0.85 2.55 0 -42.78
0.85 2.65 0 -44.4553
0.85 2.75 0 -46.0422
0.85 2.85 0 -47.0294
0.85 2.95 0 -46.2804
0.85 3.05 0 -39.3818
0.95 0.05 0 -23.6779
0.95 0.15 0 -24.7562
0.95 0.25 0 -24.101
0.95 0.35 0 -23.3535
0.95 0.45 0 -22.6566
0.95 0.55 0 -22.0345
0.95 0.65 0 -21.5022
0.95 0.75 0 -21.0742
0.95 0.85 0 -20.7665
0.95 0.95 0 -20.596
0.95 1.05 0 -20.5814
0.95 1.15 0 -20.7416
0.95 1.25 0 -21.0954
0.95 1.35 0 -21.6588
0.95 1.45 0 -22.4421
0.95 1.55 0 -23.445
0.95 1.65 0 -24.6515
0.95 1.75 0 -26.024
0.95 1.85 0 -27.5006
0.95 1.95 0 -28.9985
0.95 2.05 0 -30.429
0.95 2.15 0 -31.7247
0.95 2.25 0 -32.8742
0.95 2.35 0 -33.942
0.95 2.45 0 -35.0497
0.95 2.55 0 -36.3006
0.95 2.65 0 -37.6736
0.95 2.75 0 -38.9484
0.95 2.85 0 -39.6902
0.95 2.95 0 -39.0239
0.95 3.05 0 -33.2892
1.05 0.05 0 -24.3382
1.05 0.15 0 -25.281
1.05 0.25 0 -24.4378
1.05 0.35 0 -23.5087
1.05 0.45 0 -22.642
1.05 0.55 0 -21.8623
1.05 0.65 0 -21.1832
1.05 0.75 0 -20.6178
1.05 0.85 0 -20.1793
1.05 0.95 0 -19.8819
1.05 1.05 0 -19.7401
1.05 1.15 0 -19.7678
1.05 1.25 0 -19.9767
1.05 1.35 0 -20.3733
1.05 1.45 0 -20.9556
1.05 1.55 0 -21.7083
1.05 1.65 0 -22.5986
1.05 1.75 0 -23.5747
1.05 1.85 0 -24.5685
1.05 1.95 0 -25.5073
1.05 2.05 0 -26.3348
1.05 2.15 0 -27.0378
1.05 2.25 0 -27.6651
1.05 2.35 0 -28.3212
1.05 2.45 0 -29.1212
1.05 2.55 0 -30.1158
1.05 2.65 0 -31.2251
1.05 2.75 0 -32.2244
1.05 2.85 0 -32.7705
1.05 2.95 0 -32.2055
1.05 3.05 0 -27.5391
1.15 0.05 0 -24.9857
1.15 0.15 0 -25.7854
1.15 0.25 0 -24.7501
1.15 0.35 0 -23.6387
1.15 0.45 0 -22.6041
1.15 0.55 0 -21.67
1.15 0.65 0 -20.8481
1.15 0.75 0 -20.1483
1.15 0.85 0 -19.5805
1.15 0.95 0 -19.1543
1.15 1.05 0 -18.8787
1.15 1.15 0 -18.7607
1.15 1.25 0 -18.8031
1.15 1.35 0 -19.0017
1.15 1.45 0 -19.3415
1.15 1.55 0 -19.7937
1.15 1.65 0 -20.3143
1.15 1.75 0 -20.847
1.15 1.85 0 -21.3318
1.15 1.95 0 -21.7216
1.15 2.05 0 -22.0024
1.15 2.15 0 -22.2108
1.15 2.25 0 -22.4336
1.15 2.35 0 -22.7811
1.15 2.45 0 -23.3352
1.15 2.55 0 -24.0943
1.15 2.65 0 -24.9458
1.15 2.75 0 -25.6886
1.15 2.85 0 -26.0711
1.15 2.95 0 -25.6168
1.15 3.05 0 -21.9607
1.25 0.05 0 -25.6106
1.25 0.15 0 -26.2615
1.25 0.25 0 -25.033
1.25 0.35 0 -23.7414
1.25 0.45 0 -22.5433
1.25 0.55 0 -21.4603
1.25 0.65 0 -20.5007
1.25 0.75 0 -19.6701
1.25 0.85 0 -18.9731
1.25 0.95 0 -18.4135
1.25 1.05 0 -17.9931
1.25 1.15 0 -17.7106
1.25 1.25 0 -17.5589
1.25 1.35 0 -17.5224
1.25 1.45 0 -17.5748
1.25 1.55 0 -17.6781
1.25 1.65 0 -17.7848
1.25 1.75 0 -17.8448
1.25 1.85 0 -17.8182
1.25 1.95 0 -17.6917
1.25 2.05 0 -17.4924
1.25 2.15 0 -17.2916
1.25 2.25 0 -17.1893
1.25 2.35 0 -17.2776
1.25 2.45 0 -17.5982
1.25 2.55 0 -18.1108
1.25 2.65 0 -18.696
1.25 2.75 0 -19.1924
1.25 2.85 0 -19.4318
1.25 2.95 0 -19.094
1.25 3.05 0 -16.4197
1.35 0.05 0 -26.2001
1.35 0.15 0 -26.6991
1.35 0.25 0 -25.2798
1.35 0.35 0 -23.8133
1.35 0.45 0 -22.4587
1.35 0.55 0 -21.234
1.35 0.65 0 -20.1425
1.35 0.75 0 -19.1838
1.35 0.85 0 -18.3558
1.35 0.95 0 -17.6548
1.35 1.05 0 -17.0742
1.35 1.15 0 -16.6032
1.35 1.25 0 -16.2247
1.35 1.35 0 -15.9133
1.35 1.45 0 -15.6347
1.35 1.55 0 -15.3476
1.35 1.65 0 -15.0095
1.35 1.75 0 -14.5861
1.35 1.85 0 -14.0645
1.35 1.95 0 -13.4652
1.35 2.05 0 -12.8467
1.35 2.15 0 -12.2967
1.35 2.25 0 -11.9078
1.35 2.35 0 -11.7438
1.35 2.45 0 -11.811
1.35 2.55 0 -12.0497
1.35 2.65 0 -12.3531
1.35 2.75 0 -12.6065
1.35 2.85 0 -12.7155
1.35 2.95 0 -12.4985
1.35 3.05 0 -10.802
1.45 0.05 0 -26.7386
1.45 0.15 0 -27.0849
1.45 0.25 0 -25.4808
1.45 0.35 0 -23.8483
1.45 0.45 0 -22.347
1.45 0.55 0 -20.9897
1.45 0.65 0 -19.7724
1.45 0.75 0 -18.6872
1.45 0.85 0 -17.7237
1.45 0.95 0 -16.8694
1.45 1.05 0 -16.1087
1.45 1.15 0 -15.4213
1.45 1.25 0 -14.7811
1.45 1.35 0 -14.1556
1.45 1.45 0 -13.5076
1.45 1.55 0 -12.7995
1.45 1.65 0 -12.0008
1.45 1.75 0 -11.0992
1.45 1.85 0 -10.1096
1.45 1.95 0 -9.08008
1.45 2.05 0 -8.08649
1.45 2.15 0 -7.21625
1.45 2.25 0 -6.54291
1.45 2.35 0 -6.1015
1.45 2.45 0 -5.87559
1.45 2.55 0 -5.80374
1.45 2.65 0 -5.80487
1.45 2.75 0 -5.81272
1.45 2.85 0 -5.79699
1.45 2.95 0 -5.70491
1.45 3.05 0 -5.0036
1.55 0.05 0 -27.2073
1.55 0.15 0 -27.4026
1.55 0.25 0 -25.6241
1.55 0.35 0 -23.8382
1.55 0.45 0 -22.2028
1.55 0.55 0 -20.7231
1.55 0.65 0 -19.3862
1.55 0.75 0 -18.1745
1.55 0.85 0 -17.0682
1.55 0.95 0 -16.0454
