x y z u v w
0.05 0.05 0 0.0192428 0.0403922 0
0.05 0.15 0 0.0170967 0.0689624 0
0.05 0.25 0 0.00991063 0.0482942 0
0.05 0.35 0 0.00495303 0.0349086 0
0.05 0.45 0 0.00202499 0.0284966 0
0.05 0.55 0 0.000197191 0.0264247 0
0.05 0.65 0 -0.00110773 0.0272203 0
0.05 0.75 0 -0.00217517 0.0301877 0
0.05 0.85 0 -0.0031415 0.0350162 0
0.05 0.95 0 -0.00407676 0.0415834 0
0.05 1.05 0 -0.00502314 0.0498696 0
0.05 1.15 0 -0.00601229 0.0599218 0
0.05 1.25 0 -0.00707385 0.0718427 0
0.05 1.35 0 -0.00824111 0.0857916 0
0.05 1.45 0 -0.00955662 0.101996 0
0.05 1.55 0 -0.0110797 0.120774 0
0.05 1.65 0 -0.0128979 0.142575 0
0.05 1.75 0 -0.0151464 0.168047 0
0.05 1.85 0 -0.0180395 0.198149 0
0.05 1.95 0 -0.0219226 0.234337 0
0.05 2.05 0 -0.0273566 0.278869 0
0.05 2.15 0 -0.0352431 0.335295 0
0.05 2.25 0 -0.0469874 0.409201 0
0.05 2.35 0 -0.0646185 0.509193 0
0.05 2.45 0 -0.0905472 0.647807 0
0.05 2.55 0 -0.125881 0.840856 0
0.05 2.65 0 -0.164088 1.10035 0
0.05 2.75 0 -0.171279 1.40719 0
0.05 2.85 0 -0.0319325 1.63322 0
0.05 2.95 0 0.583773 1.40868 0
0.05 3.05 0 2.50129 0.558855 0
0.15 0.05 0 0.0460052 0.0686747 0
0.15 0.15 0 0.0476723 0.12978 0
0.15 0.25 0 0.0310407 0.111497 0
0.15 0.35 0 0.0164443 0.0943068 0
0.15 0.45 0 0.00612526 0.0857614 0
0.15 0.55 0 -0.00125034 0.0853239 0
0.15 0.65 0 -0.0069876 0.0916989 0
0.15 0.75 0 -0.0118973 0.103947 0
0.15 0.85 0 -0.0164396 0.121548 0
0.15 0.95 0 -0.0208865 0.144302 0
0.15 1.05 0 -0.0254205 0.172232 0
0.15 1.15 0 -0.0301901 0.205546 0
0.15 1.25 0 -0.0353422 0.24462 0
0.15 1.35 0 -0.0410468 0.290015 0
0.15 1.45 0 -0.0475219 0.342527 0
0.15 1.55 0 -0.0550666 0.403253 0
0.15 1.65 0 -0.0641063 0.47371 0
0.15 1.75 0 -0.07526 0.555996 0
0.15 1.85 0 -0.0894367 0.65301 0
0.15 1.95 0 -0.107968 0.768734 0
0.15 2.05 0 -0.132768 0.908527 0
0.15 2.15 0 -0.166474 1.07931 0
0.15 2.25 0 -0.212374 1.28929 0
0.15 2.35 0 -0.273592 1.54628 0
0.15 2.45 0 -0.350146 1.85278 0
0.15 2.55 0 -0.430553 2.19388 0
0.15 2.65 0 -0.470698 2.51184 0
0.15 2.75 0 -0.345993 2.66301 0
0.15 2.85 0 0.245123 2.38154 0
0.15 2.95 0 1.94847 1.40696 0
0.15 3.05 0 5.9716 0.361397 0
0.25 0.05 0 0.0560332 0.0808772 0
0.25 0.15 0 0.068402 0.16097 0
0.25 0.25 0 0.0492646 0.153681 0
0.25 0.35 0 0.0264387 0.143751 0
0.25 0.45 0 0.0069831 0.141533 0
0.25 0.55 0 -0.00883803 0.148661 0
0.25 0.65 0 -0.0221823 0.164972 0
0.25 0.75 0 -0.0341282 0.189997 0
0.25 0.85 0 -0.0454441 0.223412 0
0.25 0.95 0 -0.0566642 0.265143 0
0.25 1.05 0 -0.0681944 0.315367 0
0.25 1.15 0 -0.0803929 0.374509 0
0.25 1.25 0 -0.0936304 0.443249 0
0.25 1.35 0 -0.108341 0.522558 0
0.25 1.45 0 -0.125074 0.613755 0
0.25 1.55 0 -0.144559 0.718599 0
0.25 1.65 0 -0.167781 0.839393 0
0.25 1.75 0 -0.196077 0.979098 0
0.25 1.85 0 -0.231228 1.14141 0
0.25 1.95 0 -0.27552 1.33074 0
0.25 2.05 0 -0.331656 1.5518 0
0.25 2.15 0 -0.402257 1.80854 0
0.25 2.25 0 -0.488374 2.10162 0
0.25 2.35 0 -0.585813 2.4231 0
0.25 2.45 0 -0.677024 2.74674 0
0.25 2.55 0 -0.71492 3.01224 0
0.25 2.65 0 -0.594326 3.10633 0
0.25 2.75 0 -0.1102 2.85794 0
0.25 2.85 0 1.08378 2.09893 0
0.25 2.95 0 3.4667 0.893797 0
0.25 3.05 0 7.45229 0.106575 0
0.35 0.05 0 0.0586012 0.0882743 0
0.35 0.15 0 0.0774383 0.181627 0
0.35 0.25 0 0.0573691 0.186129 0
0.35 0.35 0 0.0276986 0.187775 0
0.35 0.45 0 -0.00121069 0.196951 0
0.35 0.55 0 -0.0271054 0.216195 0
0.35 0.65 0 -0.0504049 0.246227 0
0.35 0.75 0 -0.0720961 0.287174 0
0.35 0.85 0 -0.0931045 0.339076 0
0.35 0.95 0 -0.114195 0.402104 0
0.35 1.05 0 -0.136021 0.476651 0
0.35 1.15 0 -0.159207 0.563369 0
0.35 1.25 0 -0.184414 0.663197 0
0.35 1.35 0 -0.212411 0.7774 0
0.35 1.45 0 -0.244147 0.907605 0
0.35 1.55 0 -0.28081 1.05584 0
0.35 1.65 0 -0.323893 1.22453 0
0.35 1.75 0 -0.37522 1.41642 0
0.35 1.85 0 -0.436866 1.63429 0
0.35 1.95 0 -0.510865 1.88032 0
0.35 2.05 0 -0.598406 2.15474 0
0.35 2.15 0 -0.698059 2.45335 0
0.35 2.25 0 -0.80215 2.76315 0
0.35 2.35 0 -0.890037 3.05556 0
0.35 2.45 0 -0.9168 3.27742 0
0.35 2.55 0 -0.796889 3.34322 0
0.35 2.65 0 -0.386163 3.13858 0
0.35 2.75 0 0.525692 2.55555 0
0.35 2.85 0 2.18841 1.58388 0
0.35 2.95 0 4.79455 0.467866 0
0.35 3.05 0 8.25583 -0.0369503 0
0.45 0.05 0 0.0567846 0.0943441 0
0.45 0.15 0 0.0760428 0.199058 0
0.45 0.25 0 0.0531465 0.215295 0
0.45 0.35 0 0.0163372 0.230344 0
0.45 0.45 0 -0.0225202 0.253821 0
0.45 0.55 0 -0.0596834 0.288309 0
0.45 0.65 0 -0.0947487 0.334955 0
0.45 0.75 0 -0.128421 0.39432 0
0.45 0.85 0 -0.161648 0.466786 0
0.45 0.95 0 -0.195358 0.552777 0
0.45 1.05 0 -0.230435 0.652886 0
0.45 1.15 0 -0.267765 0.767931 0
0.45 1.25 0 -0.3083 0.89898 0
0.45 1.35 0 -0.353117 1.04737 0
0.45 1.45 0 -0.403469 1.21465 0
0.45 1.55 0 -0.460803 1.40256 0
0.45 1.65 0 -0.52672 1.61279 0
0.45 1.75 0 -0.602795 1.8466 0
0.45 1.85 0 -0.69015 2.10413 0
0.45 1.95 0 -0.788528 2.38306 0
0.45 2.05 0 -0.894522 2.67648 0
0.45 2.15 0 -0.998404 2.96962 0
0.45 2.25 0 -1.07891 3.23528 0
0.45 2.35 0 -1.09553 3.42879 0
0.45 2.45 0 -0.979093 3.48503 0
0.45 2.55 0 -0.623934 3.32341 0
0.45 2.65 0 0.110526 2.86996 0
0.45 2.75 0 1.37747 2.10355 0
0.45 2.85 0 3.2896 1.11988 0
0.45 2.95 0 5.83054 0.194426 0
0.45 3.05 0 8.72466 -0.103153 0
0.55 0.05 0 0.0509769 0.100229 0
0.55 0.15 0 0.0646999 0.216104 0
0.55 0.25 0 0.0357339 0.244399 0
0.55 0.35 0 -0.00973959 0.27396 0
0.55 0.45 0 -0.0595746 0.313532 0
0.55 0.55 0 -0.109193 0.36535 0
0.55 0.65 0 -0.157554 0.430634 0
0.55 0.75 0 -0.205062 0.510167 0
0.55 0.85 0 -0.252613 0.604554 0
0.55 0.95 0 -0.301237 0.714397 0
0.55 1.05 0 -0.351993 0.840403 0
0.55 1.15 0 -0.405972 0.983421 0
0.55 1.25 0 -0.464322 1.14445 0
0.55 1.35 0 -0.528276 1.32456 0
0.55 1.45 0 -0.599128 1.52482 0
0.55 1.55 0 -0.678143 1.74598 0
0.55 1.65 0 -0.766317 1.98812 0
0.55 1.75 0 -0.86389 2.24991 0
0.55 1.85 0 -0.969418 2.52745 0
0.55 1.95 0 -1.07817 2.81258 0
0.55 2.05 0 -1.17948 3.09043 0
0.55 2.15 0 -1.25286 3.33641 0
0.55 2.25 0 -1.26271 3.51336 0
0.55 2.35 0 -1.15278 3.57065 0
0.55 2.45 0 -0.84281 3.44873 0
0.55 2.55 0 -0.232187 3.09365 0
0.55 2.65 0 0.783622 2.4837 0
0.55 2.75 0 2.28087 1.6631 0
0.55 2.85 0 4.2626 0.767469 0
0.55 2.95 0 6.60714 0.0332569 0
0.55 3.05 0 9.01547 -0.128783 0
0.65 0.05 0 0.0407645 0.106323 0
0.65 0.15 0 0.0430862 0.233867 0
0.65 0.25 0 0.00439691 0.274901 0
0.65 0.35 0 -0.0518701 0.319912 0
0.65 0.45 0 -0.11409 0.376807 0
0.65 0.55 0 -0.177404 0.447317 0
0.65 0.65 0 -0.240399 0.532515 0
0.65 0.75 0 -0.303246 0.633221 0
0.65 0.85 0 -0.366773 0.75012 0
0.65 0.95 0 -0.432048 0.883866 0
0.65 1.05 0 -0.50022 1.03513 0
0.65 1.15 0 -0.572463 1.20463 0
0.65 1.25 0 -0.649943 1.393 0
0.65 1.35 0 -0.733767 1.60074 0
0.65 1.45 0 -0.824851 1.82788 0
0.65 1.55 0 -0.923648 2.07363 0
0.65 1.65 0 -1.02966 2.33567 0
0.65 1.75 0 -1.14056 2.60926 0
0.65 1.85 0 -1.25083 2.88581 0
0.65 1.95 0 -1.34962 3.15113 0
0.65 2.05 0 -1.41781 3.38344 0
0.65 2.15 0 -1.42444 3.55173 0
0.65 2.25 0 -1.3233 3.61574 0
0.65 2.35 0 -1.05162 3.52972 0
0.65 2.45 0 -0.533726 3.25221 0
0.65 2.55 0 0.307075 2.76291 0
0.65 2.65 0 1.52759 2.0829 0
0.65 2.75 0 3.13804 1.28953 0
0.65 2.85 0 5.07598 0.516048 0
0.65 2.95 0 7.18537 -0.057211 0
0.65 3.05 0 9.20639 -0.134278 0
0.75 0.05 0 0.0255317 0.112754 0
0.75 0.15 0 0.0104671 0.252727 0
0.75 0.25 0 -0.041681 0.307344 0
0.75 0.35 0 -0.11106 0.368662 0
0.75 0.45 0 -0.187199 0.443756 0
0.75 0.55 0 -0.265407 0.53378 0
0.75 0.65 0 -0.344147 0.639527 0
0.75 0.75 0 -0.423455 0.761703 0
0.75 0.85 0 -0.504086 0.900929 0
0.75 0.95 0 -0.587083 1.05776 0
0.75 1.05 0 -0.673564 1.23268 0
0.75 1.15 0 -0.764602 1.426 0
0.75 1.25 0 -0.861118 1.63778 0
0.75 1.35 0 -0.963713 1.86753 0
