x y z p
0.05 0.05 0 -16.615
0.05 0.15 0 -19.6145
0.05 0.25 0 -20.9138
0.05 0.35 0 -21.7278
0.05 0.45 0 -22.3308
0.05 0.55 0 -22.8404
0.05 0.65 0 -23.3251
0.05 0.75 0 -23.8332
0.05 0.85 0 -24.4044
0.05 0.95 0 -25.0742
0.05 1.05 0 -25.8766
0.05 1.15 0 -26.8458
0.05 1.25 0 -28.0168
0.05 1.35 0 -29.427
0.05 1.45 0 -31.1171
0.05 1.55 0 -33.1321
0.05 1.65 0 -35.5235
0.05 1.75 0 -38.3514
0.05 1.85 0 -41.6879
0.05 1.95 0 -45.6227
0.05 2.05 0 -50.2721
0.05 2.15 0 -55.7937
0.05 2.25 0 -62.4135
0.05 2.35 0 -70.4727
0.05 2.45 0 -80.5162
0.05 2.55 0 -93.4535
0.05 2.65 0 -110.845
0.05 2.75 0 -135.34
0.05 2.85 0 -170.978
0.05 2.95 0 -220.677
0.05 3.05 0 -259.291
0.15 0.05 0 -17.8991
0.15 0.15 0 -20.2203
0.15 0.25 0 -21.1747
0.15 0.35 0 -21.849
0.15 0.45 0 -22.3883
0.15 0.55 0 -22.8615
0.15 0.65 0 -23.3204
0.15 0.75 0 -23.8074
0.15 0.85 0 -24.3598
0.15 0.95 0 -25.0118
0.15 1.05 0 -25.7967
0.15 1.15 0 -26.7482
0.15 1.25 0 -27.9008
0.15 1.35 0 -29.2916
0.15 1.45 0 -30.9607
0.15 1.55 0 -32.953
0.15 1.65 0 -35.3193
0.15 1.75 0 -38.1193
0.15 1.85 0 -41.4243
0.15 1.95 0 -45.323
0.15 2.05 0 -49.9294
0.15 2.15 0 -55.3959
0.15 2.25 0 -61.9341
0.15 2.35 0 -69.8462
0.15 2.45 0 -79.5692
0.15 2.55 0 -91.721
0.15 2.65 0 -107.103
0.15 2.75 0 -126.524
0.15 2.85 0 -149.999
0.15 2.95 0 -173.141
0.15 3.05 0 -168.348
0.25 0.05 0 -19.0086
0.25 0.15 0 -20.9688
0.25 0.25 0 -21.6089
0.25 0.35 0 -22.09
0.25 0.45 0 -22.5082
0.25 0.55 0 -22.8972
0.25 0.65 0 -23.291
0.25 0.75 0 -23.7229
0.25 0.85 0 -24.2253
0.25 0.95 0 -24.83
0.25 1.05 0 -25.5684
0.25 1.15 0 -26.4728
0.25 1.25 0 -27.5769
0.25 1.35 0 -28.9166
0.25 1.45 0 -30.5312
0.25 1.55 0 -32.4643
0.25 1.65 0 -34.7656
0.25 1.75 0 -37.4928
0.25 1.85 0 -40.7148
0.25 1.95 0 -44.5155
0.25 2.05 0 -48.9998
0.25 2.15 0 -54.3005
0.25 2.25 0 -60.5846
0.25 2.35 0 -68.054
0.25 2.45 0 -76.9255
0.25 2.55 0 -87.3688
0.25 2.65 0 -99.3757
0.25 2.75 0 -112.55
0.25 2.85 0 -125.627
0.25 2.95 0 -134.121
0.25 3.05 0 -118.975
0.35 0.05 0 -19.926
0.35 0.15 0 -21.6983
0.35 0.25 0 -22.0964
0.35 0.35 0 -22.3853
0.35 0.45 0 -22.6569
0.35 0.55 0 -22.9304
0.35 0.65 0 -23.228
0.35 0.75 0 -23.5754
0.35 0.85 0 -24.0004
0.35 0.95 0 -24.5313
0.35 1.05 0 -25.1976
0.35 1.15 0 -26.0297
0.35 1.25 0 -27.0601
0.35 1.35 0 -28.3234
0.35 1.45 0 -29.8578
0.35 1.55 0 -31.7056
0.35 1.65 0 -33.9148
0.35 1.75 0 -36.5405
0.35 1.85 0 -39.6465
0.35 1.95 0 -43.3073
0.35 2.05 0 -47.6078
0.35 2.15 0 -52.6399
0.35 2.25 0 -58.49
0.35 2.35 0 -65.2097
0.35 2.45 0 -72.7649
0.35 2.55 0 -80.9736
0.35 2.65 0 -89.4733
0.35 2.75 0 -97.7343
0.35 2.85 0 -104.793
0.35 2.95 0 -107.328
0.35 3.05 0 -91.9153
0.45 0.05 0 -20.728
0.45 0.15 0 -22.3801
0.45 0.25 0 -22.5826
0.45 0.35 0 -22.6903
0.45 0.45 0 -22.8058
0.45 0.55 0 -22.9449
0.45 0.65 0 -23.1242
0.45 0.75 0 -23.3649
0.45 0.85 0 -23.6906
0.45 0.95 0 -24.1269
0.45 1.05 0 -24.7011
0.45 1.15 0 -25.442
0.45 1.25 0 -26.3806
0.45 1.35 0 -27.5505
0.45 1.45 0 -28.9885
0.45 1.55 0 -30.7355
0.45 1.65 0 -32.8369
0.45 1.75 0 -35.3428
0.45 1.85 0 -38.3078
0.45 1.95 0 -41.7875
0.45 2.05 0 -45.8318
0.45 2.15 0 -50.4703
0.45 2.25 0 -55.687
0.45 2.35 0 -61.3879
0.45 2.45 0 -67.3758
0.45 2.55 0 -73.3682
0.45 2.65 0 -79.0814
0.45 2.75 0 -84.2713
0.45 2.85 0 -88.3285
0.45 2.95 0 -88.6448
0.45 3.05 0 -75.0877
0.55 0.05 0 -21.4701
0.55 0.15 0 -23.0215
0.55 0.25 0 -23.0485
0.55 0.35 0 -22.982
0.55 0.45 0 -22.9365
0.55 0.55 0 -22.9294
0.55 0.65 0 -22.9756
0.55 0.75 0 -23.0936
0.55 0.85 0 -23.3042
0.55 0.95 0 -23.6311
0.55 1.05 0 -24.0993
0.55 1.15 0 -24.7364
0.55 1.25 0 -25.5718
0.55 1.35 0 -26.6381
0.55 1.45 0 -27.9703
0.55 1.55 0 -29.6066
0.55 1.65 0 -31.5876
0.55 1.75 0 -33.9544
0.55 1.85 0 -36.7447
0.55 1.95 0 -39.9847
0.55 2.05 0 -43.6764
0.55 2.15 0 -47.7787
0.55 2.25 0 -52.1871
0.55 2.35 0 -56.7266
0.55 2.45 0 -61.1801
0.55 2.55 0 -65.3679
0.55 2.65 0 -69.2247
0.55 2.75 0 -72.7057
0.55 2.85 0 -75.2889
0.55 2.95 0 -74.805
0.55 3.05 0 -63.2576
0.65 0.05 0 -22.1847
0.65 0.15 0 -23.6345
