x y z p
0.05 0.05 0 -16.0534
0.05 0.15 0 -18.9502
0.05 0.25 0 -20.2012
0.05 0.35 0 -20.9991
0.05 0.45 0 -21.6237
0.05 0.55 0 -22.1971
0.05 0.65 0 -22.7889
0.05 0.75 0 -23.446
0.05 0.85 0 -24.2046
0.05 0.95 0 -25.096
0.05 1.05 0 -26.1497
0.05 1.15 0 -27.3951
0.05 1.25 0 -28.8634
0.05 1.35 0 -30.5884
0.05 1.45 0 -32.6075
0.05 1.55 0 -34.9631
0.05 1.65 0 -37.7037
0.05 1.75 0 -40.8859
0.05 1.85 0 -44.5773
0.05 1.95 0 -48.8617
0.05 2.05 0 -53.8477
0.05 2.15 0 -59.6837
0.05 2.25 0 -66.5854
0.05 2.35 0 -74.8841
0.05 2.45 0 -85.1163
0.05 2.55 0 -98.1853
0.05 2.65 0 -115.647
0.05 2.75 0 -140.143
0.05 2.85 0 -175.69
0.05 2.95 0 -225.126
0.05 3.05 0 -262.934
0.15 0.05 0 -17.3263
0.15 0.15 0 -19.5503
0.15 0.25 0 -20.4523
0.15 0.35 0 -21.1046
0.15 0.45 0 -21.6614
0.15 0.55 0 -22.1965
0.15 0.65 0 -22.7626
0.15 0.75 0 -23.3998
0.15 0.85 0 -24.1416
0.15 0.95 0 -25.0175
0.15 1.05 0 -26.056
0.15 1.15 0 -27.286
0.15 1.25 0 -28.7379
0.15 1.35 0 -30.4452
0.15 1.45 0 -32.4451
0.15 1.55 0 -34.7795
0.15 1.65 0 -37.4969
0.15 1.75 0 -40.6534
0.15 1.85 0 -44.3163
0.15 1.95 0 -48.5682
0.15 2.05 0 -53.5154
0.15 2.15 0 -59.3007
0.15 2.25 0 -66.1247
0.15 2.35 0 -74.2788
0.15 2.45 0 -84.1903
0.15 2.55 0 -96.4701
0.15 2.65 0 -111.917
0.15 2.75 0 -131.339
0.15 2.85 0 -154.751
0.15 2.95 0 -177.724
0.15 3.05 0 -172.253
0.25 0.05 0 -18.4669
0.25 0.15 0 -20.2928
0.25 0.25 0 -20.8517
0.25 0.35 0 -21.2931
0.25 0.45 0 -21.7199
0.25 0.55 0 -22.1689
0.25 0.65 0 -22.6723
0.25 0.75 0 -23.2597
0.25 0.85 0 -23.9583
0.25 0.95 0 -24.7941
0.25 1.05 0 -25.7931
0.25 1.15 0 -26.9825
0.25 1.25 0 -28.3916
0.25 1.35 0 -30.0528
0.25 1.45 0 -32.0027
0.25 1.55 0 -34.2825
0.25 1.65 0 -36.9398
0.25 1.75 0 -40.0297
0.25 1.85 0 -43.6171
0.25 1.95 0 -47.7802
0.25 2.05 0 -52.6155
0.25 2.15 0 -58.2449
0.25 2.25 0 -64.8227
0.25 2.35 0 -72.5376
0.25 2.45 0 -81.5957
0.25 2.55 0 -92.1607
0.25 2.65 0 -104.228
0.25 2.75 0 -117.415
0.25 2.85 0 -130.472
0.25 2.95 0 -138.868
0.25 3.05 0 -123.082
0.35 0.05 0 -19.4363
0.35 0.15 0 -21.001
0.35 0.25 0 -21.2677
0.35 0.35 0 -21.4897
0.35 0.45 0 -21.7594
0.35 0.55 0 -22.093
0.35 0.65 0 -22.5074
0.35 0.75 0 -23.0214
0.35 0.85 0 -23.6554
0.35 0.95 0 -24.4305
0.35 1.05 0 -25.3697
0.35 1.15 0 -26.4977
0.35 1.25 0 -27.8425
0.35 1.35 0 -29.4353
0.35 1.45 0 -31.3119
0.35 1.55 0 -33.5132
0.35 1.65 0 -36.0858
0.35 1.75 0 -39.0831
0.35 1.85 0 -42.5655
0.35 1.95 0 -46.6017
0.35 2.05 0 -51.2672
0.35 2.15 0 -56.6413
0.35 2.25 0 -62.795
0.35 2.35 0 -69.7647
0.35 2.45 0 -77.5056
0.35 2.55 0 -85.8341
0.35 2.65 0 -94.3998
0.35 2.75 0 -102.696
0.35 2.85 0 -109.775
0.35 2.95 0 -112.249
0.35 3.05 0 -96.1899
0.45 0.05 0 -20.2631
0.45 0.15 0 -21.6126
0.45 0.25 0 -21.6236
0.45 0.35 0 -21.6364
0.45 0.45 0 -21.7432
0.45 0.55 0 -21.9493
0.45 0.65 0 -22.2603
0.45 0.75 0 -22.6863
0.45 0.85 0 -23.2411
0.45 0.95 0 -23.9412
