x y z u v w
0.05 0.05 0 0.0199227 0.0416866 0
0.05 0.15 0 0.0177355 0.0710992 0
0.05 0.25 0 0.0103138 0.049623 0
0.05 0.35 0 0.0051872 0.0356715 0
0.05 0.45 0 0.00215879 0.0289311 0
0.05 0.55 0 0.000271661 0.0266752 0
0.05 0.65 0 -0.00106949 0.0273732 0
0.05 0.75 0 -0.0021591 0.0302955 0
0.05 0.85 0 -0.00313807 0.0351096 0
0.05 0.95 0 -0.00407907 0.0416783 0
0.05 1.05 0 -0.0050262 0.0499708 0
0.05 1.15 0 -0.00601272 0.0600264 0
0.05 1.25 0 -0.00706972 0.071943 0
0.05 1.35 0 -0.00823184 0.0858775 0
0.05 1.45 0 -0.00954274 0.102057 0
0.05 1.55 0 -0.0110626 0.120802 0
0.05 1.65 0 -0.0128798 0.142565 0
0.05 1.75 0 -0.0151295 0.167999 0
0.05 1.85 0 -0.0180259 0.198065 0
0.05 1.95 0 -0.021914 0.234225 0
0.05 2.05 0 -0.0273536 0.278737 0
0.05 2.15 0 -0.035245 0.335154 0
0.05 2.25 0 -0.046991 0.409055 0
0.05 2.35 0 -0.0646176 0.50904 0
0.05 2.45 0 -0.0905295 0.64763 0
0.05 2.55 0 -0.125825 0.840608 0
0.05 2.65 0 -0.163955 1.09994 0
0.05 2.75 0 -0.171009 1.40643 0
0.05 2.85 0 -0.0314568 1.63183 0
0.05 2.95 0 0.584433 1.40652 0
0.05 3.05 0 2.50176 0.557583 0
0.15 0.05 0 0.0477112 0.0708377 0
0.15 0.15 0 0.0495535 0.133703 0
0.15 0.25 0 0.0323819 0.114505 0
0.15 0.35 0 0.017285 0.0964366 0
0.15 0.45 0 0.00661643 0.0873065 0
0.15 0.55 0 -0.000987169 0.0865389 0
0.15 0.65 0 -0.00686857 0.092763 0
0.15 0.75 0 -0.0118639 0.104971 0
0.15 0.85 0 -0.0164497 0.122591 0
0.15 0.95 0 -0.0209087 0.145381 0
0.15 1.05 0 -0.0254327 0.173336 0
0.15 1.15 0 -0.030178 0.206643 0
