x y z p
0.05 0.05 0 -14.2395
0.05 0.15 0 -16.8044
0.05 0.25 0 -17.9425
0.05 0.35 0 -18.7289
0.05 0.45 0 -19.4154
0.05 0.55 0 -20.1077
0.05 0.65 0 -20.8632
0.05 0.75 0 -21.7186
0.05 0.85 0 -22.7016
0.05 0.95 0 -23.8362
0.05 1.05 0 -25.1453
0.05 1.15 0 -26.653
0.05 1.25 0 -28.3851
0.05 1.35 0 -30.3714
0.05 1.45 0 -32.6461
0.05 1.55 0 -35.2499
0.05 1.65 0 -38.2317
0.05 1.75 0 -41.6513
0.05 1.85 0 -45.5824
0.05 1.95 0 -50.1179
0.05 2.05 0 -55.3765
0.05 2.15 0 -61.5158
0.05 2.25 0 -68.7551
0.05 2.35 0 -77.4196
0.05 2.45 0 -88.0271
0.05 2.55 0 -101.45
0.05 2.65 0 -119.204
0.05 2.75 0 -143.893
0.05 2.85 0 -179.494
0.05 2.95 0 -228.782
0.05 3.05 0 -265.952
0.15 0.05 0 -15.3956
0.15 0.15 0 -17.3295
0.15 0.25 0 -18.1432
0.15 0.35 0 -18.796
0.15 0.45 0 -19.4225
0.15 0.55 0 -20.0829
0.15 0.65 0 -20.8181
0.15 0.75 0 -21.6584
0.15 0.85 0 -22.6287
0.15 0.95 0 -23.7514
0.15 1.05 0 -25.0486
0.15 1.15 0 -26.5435
0.15 1.25 0 -28.2616
0.15 1.35 0 -30.232
0.15 1.45 0 -32.4883
0.15 1.55 0 -35.0709
0.15 1.65 0 -38.028
0.15 1.75 0 -41.4191
0.15 1.85 0 -45.3174
0.15 1.95 0 -49.8153
0.15 2.05 0 -55.0305
0.15 2.15 0 -61.1166
0.15 2.25 0 -68.2799
0.15 2.35 0 -76.8067
0.15 2.45 0 -87.1047
0.15 2.55 0 -99.7503
0.15 2.65 0 -115.499
0.15 2.75 0 -135.12
0.15 2.85 0 -158.609
0.15 2.95 0 -181.51
0.15 3.05 0 -175.504
0.25 0.05 0 -16.3983
0.25 0.15 0 -17.9277
0.25 0.25 0 -18.418
0.25 0.35 0 -18.8823
0.25 0.45 0 -19.3991
0.25 0.55 0 -19.9909
0.25 0.65 0 -20.6784
0.25 0.75 0 -21.4817
0.25 0.85 0 -22.42
0.25 0.95 0 -23.5123
0.25 1.05 0 -24.7787
0.25 1.15 0 -26.2406
0.25 1.25 0 -27.9222
0.25 1.35 0 -29.8513
0.25 1.45 0 -32.0604
0.25 1.55 0 -34.5883
0.25 1.65 0 -37.482
0.25 1.75 0 -40.7993
0.25 1.85 0 -44.6118
0.25 1.95 0 -49.0089
0.25 2.05 0 -54.102
0.25 2.15 0 -60.0281
0.25 2.25 0 -66.9511
0.25 2.35 0 -75.0567
0.25 2.45 0 -84.5286
0.25 2.55 0 -95.4895
0.25 2.65 0 -107.886
0.25 2.75 0 -121.303
0.25 2.85 0 -134.491
0.25 2.95 0 -142.89
0.25 3.05 0 -126.588
0.35 0.05 0 -17.1356
0.35 0.15 0 -18.4009
0.35 0.25 0 -18.6317
0.35 0.35 0 -18.9135
0.35 0.45 0 -19.3068
0.35 0.55 0 -19.8121
0.35 0.65 0 -20.4348
0.35 0.75 0 -21.1852
0.35 0.85 0 -22.0764
0.35 0.95 0 -23.1234
0.35 1.05 0 -24.3433
0.35 1.15 0 -25.7558
0.35 1.25 0 -27.3832
0.35 1.35 0 -29.2517
0.35 1.45 0 -31.3924
0.35 1.55 0 -33.8424
0.35 1.65 0 -36.6469
0.35 1.75 0 -39.8616
0.35 1.85 0 -43.5545
0.35 1.95 0 -47.8082
0.35 2.05 0 -52.7182
0.35 2.15 0 -58.3849
0.35 2.25 0 -64.8946
0.35 2.35 0 -72.2829
0.35 2.45 0 -80.4797
0.35 2.55 0 -89.2551
0.35 2.65 0 -98.21
0.35 2.75 0 -106.813
0.35 2.85 0 -114.116
0.35 2.95 0 -116.668
0.35 3.05 0 -100.065
0.45 0.05 0 -17.5782
0.45 0.15 0 -18.6649
0.45 0.25 0 -18.7043
0.45 0.35 0 -18.8344
0.45 0.45 0 -19.1125
0.45 0.55 0 -19.529
0.45 0.65 0 -20.08
0.45 0.75 0 -20.7685
0.45 0.85 0 -21.6024
0.45 0.95 0 -22.5931
0.45 1.05 0 -23.7552
