x y z p
0.05 0.05 0 -16.9777
0.05 0.15 0 -20.0466
0.05 0.25 0 -21.3766
0.05 0.35 0 -22.2111
0.05 0.45 0 -22.8334
0.05 0.55 0 -23.366
0.05 0.65 0 -23.8808
0.05 0.75 0 -24.4281
0.05 0.85 0 -25.0484
0.05 0.95 0 -25.7775
0.05 1.05 0 -26.649
0.05 1.15 0 -27.6959
0.05 1.25 0 -28.9518
0.05 1.35 0 -30.4523
0.05 1.45 0 -32.2358
0.05 1.55 0 -34.3451
0.05 1.65 0 -36.8292
0.05 1.75 0 -39.7456
0.05 1.85 0 -43.1644
0.05 1.95 0 -47.1731
0.05 2.05 0 -51.8866
0.05 2.15 0 -57.4614
0.05 2.25 0 -64.123
0.05 2.35 0 -72.2126
0.05 2.45 0 -82.2756
0.05 2.55 0 -95.2217
0.05 2.65 0 -112.611
0.05 2.75 0 -137.089
0.05 2.85 0 -172.684
0.05 2.95 0 -222.283
0.05 3.05 0 -260.605
0.15 0.05 0 -18.2944
0.15 0.15 0 -20.6694
0.15 0.25 0 -21.6451
0.15 0.35 0 -22.3348
0.15 0.45 0 -22.8903
0.15 0.55 0 -23.3845
0.15 0.65 0 -23.8722
0.15 0.75 0 -24.3977
0.15 0.85 0 -24.9989
0.15 0.95 0 -25.7104
0.15 1.05 0 -26.5648
0.15 1.15 0 -27.5946
0.15 1.25 0 -28.833
0.15 1.35 0 -30.3151
0.15 1.45 0 -32.0789
0.15 1.55 0 -34.1666
0.15 1.65 0 -36.6269
0.15 1.75 0 -39.5165
0.15 1.85 0 -42.9047
0.15 1.95 0 -46.8781
0.15 2.05 0 -51.549
0.15 2.15 0 -57.0687
0.15 2.25 0 -63.6484
0.15 2.35 0 -71.5903
0.15 2.45 0 -81.3317
0.15 2.55 0 -93.4906
0.15 2.65 0 -108.869
0.15 2.75 0 -128.274
0.15 2.85 0 -151.717
0.15 2.95 0 -174.794
0.15 3.05 0 -169.755
0.25 0.05 0 -19.4412
0.25 0.15 0 -21.4424
0.25 0.25 0 -22.0906
0.25 0.35 0 -22.5775
0.25 0.45 0 -23.0051
0.25 0.55 0 -23.4106
0.25 0.65 0 -23.8303
0.25 0.75 0 -24.2992
0.25 0.85 0 -24.8503
0.25 0.95 0 -25.5151
0.25 1.05 0 -26.3246
0.25 1.15 0 -27.3096
0.25 1.25 0 -28.5022
0.25 1.35 0 -29.9363
0.25 1.45 0 -31.6488
0.25 1.55 0 -33.6808
0.25 1.65 0 -36.0791
0.25 1.75 0 -38.8989
0.25 1.85 0 -42.2064
0.25 1.95 0 -46.0833
