x y z p
0.05 0.05 0 -16.9388
0.05 0.15 0 -20.001
0.05 0.25 0 -21.3278
0.05 0.35 0 -22.1607
0.05 0.45 0 -22.7837
0.05 0.55 0 -23.3199
0.05 0.65 0 -23.8416
0.05 0.75 0 -24.3993
0.05 0.85 0 -25.0336
0.05 0.95 0 -25.7801
0.05 1.05 0 -26.6722
0.05 1.15 0 -27.7426
0.05 1.25 0 -29.0248
0.05 1.35 0 -30.5536
0.05 1.45 0 -32.3673
0.05 1.55 0 -34.508
0.05 1.65 0 -37.0241
0.05 1.75 0 -39.9723
0.05 1.85 0 -43.4219
0.05 1.95 0 -47.4596
0.05 2.05 0 -52.1995
0.05 2.15 0 -57.7974
0.05 2.25 0 -64.4782
0.05 2.35 0 -72.5829
0.05 2.45 0 -82.6568
0.05 2.55 0 -95.6096
0.05 2.65 0 -113.001
0.05 2.75 0 -137.477
0.05 2.85 0 -173.064
0.05 2.95 0 -222.641
0.05 3.05 0 -260.897
0.15 0.05 0 -18.2542
0.15 0.15 0 -20.6236
0.15 0.25 0 -21.5959
0.15 0.35 0 -22.2836
0.15 0.45 0 -22.8393
0.15 0.55 0 -23.3368
0.15 0.65 0 -23.8312
0.15 0.75 0 -24.3671
0.15 0.85 0 -24.9823
0.15 0.95 0 -25.7112
0.15 1.05 0 -26.5864
0.15 1.15 0 -27.64
0.15 1.25 0 -28.9048
0.15 1.35 0 -30.4155
0.15 1.45 0 -32.2097
0.15 1.55 0 -34.3292
0.15 1.65 0 -36.8218
0.15 1.75 0 -39.7436
0.15 1.85 0 -43.1631
0.15 1.95 0 -47.1658
0.15 2.05 0 -51.8634
0.15 2.15 0 -57.4065
0.15 2.25 0 -64.0055
0.15 2.35 0 -71.9624
0.15 2.45 0 -81.7144
0.15 2.55 0 -93.8796
0.15 2.65 0 -109.26
0.15 2.75 0 -128.663
0.15 2.85 0 -152.1
0.15 2.95 0 -175.163
0.15 3.05 0 -170.069
0.25 0.05 0 -19.4032
0.25 0.15 0 -21.3971
0.25 0.25 0 -22.0401
0.25 0.35 0 -22.5234
0.25 0.45 0 -22.9499
0.25 0.55 0 -23.358
0.25 0.65 0 -23.7841
0.25 0.75 0 -24.2634
0.25 0.85 0 -24.8287
0.25 0.95 0 -25.5114
0.25 1.05 0 -26.3421
0.25 1.15 0 -27.3514
0.25 1.25 0 -28.571
0.25 1.35 0 -30.0344
0.25 1.45 0 -31.7782
0.25 1.55 0 -33.8428
0.25 1.65 0 -36.2745
0.25 1.75 0 -39.1276
0.25 1.85 0 -42.4673
0.25 1.95 0 -46.3746
0.25 2.05 0 -50.9514
0.25 2.15 0 -56.3287
0.25 2.25 0 -62.6722
0.25 2.35 0 -70.1837
0.25 2.45 0 -79.0808
0.25 2.55 0 -89.5343
0.25 2.65 0 -101.539
0.25 2.75 0 -114.702
0.25 2.85 0 -127.762
0.25 2.95 0 -136.208
0.25 3.05 0 -120.78
0.35 0.05 0 -20.3691
0.35 0.15 0 -22.1562
0.35 0.25 0 -22.5367
0.35 0.35 0 -22.8114
