x y z p
0.05 0.05 0 -16.3682
0.05 0.15 0 -19.3242
0.05 0.25 0 -20.6003
0.05 0.35 0 -21.4074
0.05 0.45 0 -22.0281
0.05 0.55 0 -22.586
0.05 0.65 0 -23.1524
0.05 0.75 0 -23.7762
0.05 0.85 0 -24.4954
0.05 0.95 0 -25.343
0.05 1.05 0 -26.35
0.05 1.15 0 -27.547
0.05 1.25 0 -28.9661
0.05 1.35 0 -30.6412
0.05 1.45 0 -32.61
0.05 1.55 0 -34.9142
0.05 1.65 0 -37.6015
0.05 1.75 0 -40.7276
0.05 1.85 0 -44.359
0.05 1.95 0 -48.5794
0.05 2.05 0 -53.4976
0.05 2.15 0 -59.2637
0.05 2.25 0 -66.0962
0.05 2.35 0 -74.3301
0.05 2.45 0 -84.5058
0.05 2.55 0 -97.5305
0.05 2.65 0 -114.962
0.05 2.75 0 -139.445
0.05 2.85 0 -174.998
0.05 2.95 0 -224.468
0.05 3.05 0 -262.393
0.15 0.05 0 -17.6572
0.15 0.15 0 -19.9339
0.15 0.25 0 -20.8586
0.15 0.35 0 -21.5194
0.15 0.45 0 -22.0718
0.15 0.55 0 -22.5907
0.15 0.65 0 -23.1305
0.15 0.75 0 -23.7335
0.15 0.85 0 -24.435
0.15 0.95 0 -25.2663
0.15 1.05 0 -26.2575
0.15 1.15 0 -27.4386
0.15 1.25 0 -28.8409
0.15 1.35 0 -30.4984
0.15 1.45 0 -32.4481
0.15 1.55 0 -34.7316
0.15 1.65 0 -37.3961
0.15 1.75 0 -40.4968
0.15 1.85 0 -44.1
0.15 1.95 0 -48.2876
0.15 2.05 0 -53.1663
0.15 2.15 0 -58.8805
0.15 2.25 0 -65.6338
0.15 2.35 0 -73.7214
0.15 2.45 0 -83.5752
0.15 2.55 0 -95.8105
0.15 2.65 0 -111.228
0.15 2.75 0 -130.637
0.15 2.85 0 -154.052
0.15 2.95 0 -177.046
0.15 3.05 0 -171.673
0.25 0.05 0 -18.8068
0.25 0.15 0 -20.6927
0.25 0.25 0 -21.2768
0.25 0.35 0 -21.7266
0.25 0.45 0 -22.1473
0.25 0.55 0 -22.5775
0.25 0.65 0 -23.0519
0.25 0.75 0 -23.6022
0.25 0.85 0 -24.2579
0.25 0.95 0 -25.0469
0.25 1.05 0 -25.9968
0.25 1.15 0 -27.1361
0.25 1.25 0 -28.4949
0.25 1.35 0 -30.1063
0.25 1.45 0 -32.0065
0.25 1.55 0 -34.2363
0.25 1.65 0 -36.8419
0.25 1.75 0 -39.8771
0.25 1.85 0 -43.4052
0.25 1.95 0 -47.5034
0.25 2.05 0 -52.2684
0.25 2.15 0 -57.8235
0.25 2.25 0 -64.3266
0.25 2.35 0 -71.9713
0.25 2.45 0 -80.9693
0.25 2.55 0 -91.4891
0.25 2.65 0 -103.528
0.25 2.75 0 -116.701
0.25 2.85 0 -129.755
0.25 2.95 0 -138.162
0.25 3.05 0 -122.469
0.35 0.05 0 -19.79
0.35 0.15 0 -21.4296
0.35 0.25 0 -21.7262
0.35 0.35 0 -21.9556
0.35 0.45 0 -22.2154
0.35 0.55 0 -22.5255
0.35 0.65 0 -22.9057
0.35 0.75 0 -23.3777
0.35 0.85 0 -23.9643
0.35 0.95 0 -24.6888
0.35 1.05 0 -25.5758
0.35 1.15 0 -26.6517
0.35 1.25 0 -27.9451
0.35 1.35 0 -29.488
0.35 1.45 0 -31.316
0.35 1.55 0 -33.4689
0.35 1.65 0 -35.9919
0.35 1.75 0 -38.9362
0.35 1.85 0 -42.3602
0.35 1.95 0 -46.3306
0.35 2.05 0 -50.9229
0.35 2.15 0 -56.218
