x y z p
0.05 0.05 0 -16.9612
0.05 0.15 0 -20.0257
0.05 0.25 0 -21.3535
0.05 0.35 0 -22.1856
0.05 0.45 0 -22.8032
0.05 0.55 0 -23.3277
0.05 0.65 0 -23.8297
0.05 0.75 0 -24.3589
0.05 0.85 0 -24.9558
0.05 0.95 0 -25.6561
0.05 1.05 0 -26.4937
0.05 1.15 0 -27.502
0.05 1.25 0 -28.7154
0.05 1.35 0 -30.1702
0.05 1.45 0 -31.9058
0.05 1.55 0 -33.9661
0.05 1.65 0 -36.4011
0.05 1.75 0 -39.2699
0.05 1.85 0 -42.6434
0.05 1.95 0 -46.6107
0.05 2.05 0 -51.2873
0.05 2.15 0 -56.8308
0.05 2.25 0 -63.4669
0.05 2.35 0 -71.5371
0.05 2.45 0 -81.5867
0.05 2.55 0 -94.5254
0.05 2.65 0 -111.913
0.05 2.75 0 -136.396
0.05 2.85 0 -172.008
0.05 2.95 0 -221.647
0.05 3.05 0 -260.084
0.15 0.05 0 -18.2744
0.15 0.15 0 -20.6464
0.15 0.25 0 -21.6213
0.15 0.35 0 -22.3098
0.15 0.45 0 -22.8616
0.15 0.55 0 -23.3483
0.15 0.65 0 -23.8236
0.15 0.75 0 -24.3313
0.15 0.85 0 -24.9091
0.15 0.95 0 -25.5916
0.15 1.05 0 -26.4119
0.15 1.15 0 -27.4028
0.15 1.25 0 -28.5983
0.15 1.35 0 -30.0342
0.15 1.45 0 -31.7495
0.15 1.55 0 -33.7877
0.15 1.65 0 -36.1983
0.15 1.75 0 -39.0396
0.15 1.85 0 -42.382
0.15 1.95 0 -46.3134
0.15 2.05 0 -50.9471
0.15 2.15 0 -56.4353
0.15 2.25 0 -62.9896
0.15 2.35 0 -70.9124
0.15 2.45 0 -80.6408
0.15 2.55 0 -92.793
0.15 2.65 0 -108.17
0.15 2.75 0 -127.58
0.15 2.85 0 -151.036
0.15 2.95 0 -174.139
0.15 3.05 0 -169.198
0.25 0.05 0 -19.414
0.25 0.15 0 -21.4154
0.25 0.25 0 -22.0665
0.25 0.35 0 -22.5553
0.25 0.45 0 -22.9814
0.25 0.55 0 -23.3809
0.25 0.65 0 -23.7891
0.25 0.75 0 -24.2405
0.25 0.85 0 -24.7681
0.25 0.95 0 -25.4036
0.25 1.05 0 -26.1781
0.25 1.15 0 -27.1232
0.25 1.25 0 -28.2717
0.25 1.35 0 -29.6582
0.25 1.45 0 -31.3207
0.25 1.55 0 -33.3014
0.25 1.65 0 -35.6485
0.25 1.75 0 -38.4183
0.25 1.85 0 -41.6786
0.25 1.95 0 -45.5124
0.25 2.05 0 -50.024
0.25 2.15 0 -55.3458
0.25 2.25 0 -61.645
0.25 2.35 0 -69.1237
0.25 2.45 0 -77.9992
0.25 2.55 0 -88.4417
0.25 2.65 0 -100.444
0.25 2.75 0 -113.611
0.25 2.85 0 -126.679
0.25 2.95 0 -135.15
0.25 3.05 0 -119.865
0.35 0.05 0 -20.3628
0.35 0.15 0 -22.1676
0.35 0.25 0 -22.5665
0.35 0.35 0 -22.8547
0.35 0.45 0 -23.128
0.35 0.55 0 -23.4075
0.35 0.65 0 -23.7166
0.35 0.75 0 -24.0822
0.35 0.85 0 -24.532
0.35 0.95 0 -25.0945
0.35 1.05 0 -25.7984
0.35 1.15 0 -26.6734
0.35 1.25 0 -27.7507
0.35 1.35 0 -29.0636
0.35 1.45 0 -30.6488
0.35 1.55 0 -32.5468
0.35 1.65 0 -34.8041
0.35 1.75 0 -37.4742
0.35 1.85 0 -40.6196
0.35 1.95 0 -44.3137
0.35 2.05 0 -48.6409
0.35 2.15 0 -53.6929
0.35 2.25 0 -59.5563
0.35 2.35 0 -66.2832
0.35 2.45 0 -73.8407
0.35 2.55 0 -82.048
0.35 2.65 0 -90.545
0.35 2.75 0 -98.8045
0.35 2.85 0 -105.863
0.35 2.95 0 -108.384
0.35 3.05 0 -92.8331
0.45 0.05 0 -21.1984
0.45 0.15 0 -22.8733
0.45 0.25 0 -23.0646
0.45 0.35 0 -23.1616
0.45 0.45 0 -23.2709
0.45 0.55 0 -23.4106
0.45 0.65 0 -23.5983
0.45 0.75 0 -23.8555
0.45 0.85 0 -24.2062
0.45 0.95 0 -24.6754
0.45 1.05 0 -25.2896
0.45 1.15 0 -26.0765
0.45 1.25 0 -27.0656
0.45 1.35 0 -28.2889
0.45 1.45 0 -29.7815
0.45 1.55 0 -31.5821
0.45 1.65 0 -33.7344
0.45 1.75 0 -36.2867
0.45 1.85 0 -39.2919
0.45 1.95 0 -42.8049
0.45 2.05 0 -46.8747
0.45 2.15 0 -51.5311
0.45 2.25 0 -56.7587
0.45 2.35 0 -62.4648
0.45 2.45 0 -68.4538
0.45 2.55 0 -74.4458
0.45 2.65 0 -80.1598
0.45 2.75 0 -85.3542
0.45 2.85 0 -89.4172
0.45 2.95 0 -89.7216
0.45 3.05 0 -76.0251
0.55 0.05 0 -21.9768
0.55 0.15 0 -23.5386
0.55 0.25 0 -23.5403
0.55 0.35 0 -23.451
0.55 0.45 0 -23.3904
0.55 0.55 0 -23.3778
0.55 0.65 0 -23.4289
0.55 0.75 0 -23.5622
0.55 0.85 0 -23.7985
0.55 0.95 0 -24.1604
0.55 1.05 0 -24.672
0.55 1.15 0 -25.3591
0.55 1.25 0 -26.2498
0.55 1.35 0 -27.3742
0.55 1.45 0 -28.7654
0.55 1.55 0 -30.4593
0.55 1.65 0 -32.4943
0.55 1.75 0 -34.9094
0.55 1.85 0 -37.7406
0.55 1.95 0 -41.0131
0.55 2.05 0 -44.7287
0.55 2.15 0 -48.8466
0.55 2.25 0 -53.2636
0.55 2.35 0 -57.8067
0.55 2.45 0 -62.2615
0.55 2.55 0 -66.4512
0.55 2.65 0 -70.313
0.55 2.75 0 -73.8031
0.55 2.85 0 -76.3952
0.55 2.95 0 -75.9004
0.55 3.05 0 -64.2112
0.65 0.05 0 -22.7297
0.65 0.15 0 -24.1741
0.65 0.25 0 -23.9873
0.65 0.35 0 -23.7106
0.65 0.45 0 -23.475
0.65 0.55 0 -23.302
0.65 0.65 0 -23.2069
0.65 0.75 0 -23.2065
0.65 0.85 0 -23.3192
0.65 0.95 0 -23.5653
0.65 1.05 0 -23.9669
0.65 1.15 0 -24.5479
0.65 1.25 0 -25.3344
0.65 1.35 0 -26.3543
0.65 1.45 0 -27.6374
0.65 1.55 0 -29.2143
0.65 1.65 0 -31.1144
0.65 1.75 0 -33.3614
0.65 1.85 0 -35.9671
0.65 1.95 0 -38.9199
0.65 2.05 0 -42.1719
0.65 2.15 0 -45.6266
0.65 2.25 0 -49.1388
0.65 2.35 0 -52.5422
0.65 2.45 0 -55.7114
0.65 2.55 0 -58.6313
0.65 2.65 0 -61.3831
0.65 2.75 0 -63.9391
0.65 2.85 0 -65.7475
0.65 2.95 0 -64.991
0.65 3.05 0 -55.0686
