x y z u v w
0.05 0.05 0 0.0199831 0.0415694 0
0.05 0.15 0 0.0176193 0.0709653 0
0.05 0.25 0 0.00996817 0.0499124 0
0.05 0.35 0 0.00464727 0.0367883 0
0.05 0.45 0 0.0014888 0.0311778 0
0.05 0.55 0 -0.000463071 0.0302331 0
0.05 0.65 0 -0.0018151 0.0323129 0
0.05 0.75 0 -0.00287655 0.0366015 0
0.05 0.85 0 -0.00380195 0.0427066 0
0.05 0.95 0 -0.00467439 0.0504535 0
0.05 1.05 0 -0.00554466 0.0597895 0
0.05 1.15 0 -0.00644915 0.0707413 0
0.05 1.25 0 -0.00741905 0.0833973 0
0.05 1.35 0 -0.00848677 0.0979028 0
0.05 1.45 0 -0.00969252 0.114469 0
0.05 1.55 0 -0.0110931 0.133392 0
0.05 1.65 0 -0.0127747 0.155099 0
0.05 1.75 0 -0.0148739 0.180213 0
0.05 1.85 0 -0.0176097 0.209676 0
0.05 1.95 0 -0.0213365 0.244937 0
0.05 2.05 0 -0.0266272 0.288269 0
0.05 2.15 0 -0.034396 0.343261 0
0.05 2.25 0 -0.0460559 0.415554 0
0.05 2.35 0 -0.0636323 0.513816 0
0.05 2.45 0 -0.0895093 0.65062 0
0.05 2.55 0 -0.12473 0.841739 0
0.05 2.65 0 -0.162646 1.09899 0
0.05 2.75 0 -0.169197 1.40281 0
0.05 2.85 0 -0.0287759 1.62445 0
0.05 2.95 0 0.587934 1.39489 0
0.05 3.05 0 2.50423 0.550757 0
0.15 0.05 0 0.0477281 0.0709621 0
0.15 0.15 0 0.0484922 0.134778 0
0.15 0.25 0 0.0301893 0.117912 0
0.15 0.35 0 0.0142559 0.103302 0
0.15 0.45 0 0.00310567 0.0982999 0
0.15 0.55 0 -0.00466763 0.101919 0
0.15 0.65 0 -0.0104819 0.112477 0
0.15 0.75 0 -0.0152497 0.128757 0
0.15 0.85 0 -0.0195112 0.150057 0
0.15 0.95 0 -0.0235951 0.17607 0
0.15 1.05 0 -0.0277205 0.206762 0
0.15 1.15 0 -0.0320538 0.242311 0
0.15 1.25 0 -0.036745 0.283073 0
0.15 1.35 0 -0.0419564 0.329583 0
0.15 1.45 0 -0.0478928 0.382594 0
0.15 1.55 0 -0.0548403 0.44315 0
0.15 1.65 0 -0.0632193 0.5127 0
0.15 1.75 0 -0.0736572 0.593282 0
0.15 1.85 0 -0.0870902 0.687757 0
0.15 1.95 0 -0.104895 0.800114 0
0.15 2.05 0 -0.129045 0.935787 0
0.15 2.15 0 -0.162232 1.10184 0
0.15 2.25 0 -0.207773 1.30664 0
0.15 2.35 0 -0.26877 1.55819 0
0.15 2.45 0 -0.345127 1.85909 0
0.15 2.55 0 -0.425134 2.19436 0
0.15 2.65 0 -0.464346 2.50597 0
0.15 2.75 0 -0.337893 2.64995 0
0.15 2.85 0 0.255539 2.36076 0
0.15 2.95 0 1.95991 1.38127 0
0.15 3.05 0 5.97819 0.348027 0
0.25 0.05 0 0.0574715 0.0845258 0
0.25 0.15 0 0.0672465 0.17026 0
0.25 0.25 0 0.0446415 0.167795 0
0.25 0.35 0 0.0191863 0.164196 0
0.25 0.45 0 -0.00176342 0.169262 0
0.25 0.55 0 -0.0181086 0.183935 0
0.25 0.65 0 -0.0312689 0.207516 0
0.25 0.75 0 -0.0425642 0.239181 0
0.25 0.85 0 -0.0529514 0.278401 0
0.25 0.95 0 -0.0630964 0.325008 0
0.25 1.05 0 -0.073484 0.37915 0
0.25 1.15 0 -0.0845063 0.441256 0
0.25 1.25 0 -0.0965307 0.512009 0
0.25 1.35 0 -0.109962 0.592363 0
0.25 1.45 0 -0.125311 0.683589 0
0.25 1.55 0 -0.143271 0.787364 0
0.25 1.65 0 -0.164815 0.905891 0
0.25 1.75 0 -0.191305 1.04204 0
0.25 1.85 0 -0.224599 1.19948 0
0.25 1.95 0 -0.267103 1.38262 0
0.25 2.05 0 -0.321668 1.59633 0
0.25 2.15 0 -0.39105 1.84482 0
0.25 2.25 0 -0.476365 2.12902 0
0.25 2.35 0 -0.573354 2.44131 0
0.25 2.45 0 -0.664231 2.75561 0
0.25 2.55 0 -0.701516 3.01165 0
0.25 2.65 0 -0.57964 3.09614 0
0.25 2.75 0 -0.0935653 2.83824 0
0.25 2.85 0 1.10193 2.07114 0
0.25 2.95 0 3.48304 0.863133 0
0.25 3.05 0 7.45962 0.0915242 0
0.35 0.05 0 0.0577117 0.094009 0
0.35 0.15 0 0.0704496 0.19748 0
0.35 0.25 0 0.0445422 0.211791 0
0.35 0.35 0 0.0110151 0.224809 0
0.35 0.45 0 -0.0196556 0.245848 0
0.35 0.55 0 -0.0456421 0.276506 0
0.35 0.65 0 -0.0678765 0.316897 0
0.35 0.75 0 -0.0877902 0.366808 0
0.35 0.85 0 -0.106643 0.426141 0
0.35 0.95 0 -0.125425 0.49506 0
0.35 1.05 0 -0.144916 0.574019 0
0.35 1.15 0 -0.165776 0.663755 0
0.35 1.25 0 -0.188642 0.765273 0
0.35 1.35 0 -0.21421 0.879854 0
0.35 1.45 0 -0.243337 1.00908 0
0.35 1.55 0 -0.277137 1.1549 0
0.35 1.65 0 -0.317077 1.31959 0
0.35 1.75 0 -0.365033 1.50579 0
0.35 1.85 0 -0.423233 1.71621 0
0.35 1.95 0 -0.493945 1.95309 0
0.35 2.05 0 -0.57864 2.21687 0
0.35 2.15 0 -0.676136 2.50365 0
0.35 2.25 0 -0.77888 2.80087 0
0.35 2.35 0 -0.866136 3.08035 0
0.35 2.45 0 -0.892643 3.2893 0
0.35 2.55 0 -0.772381 3.34247 0
0.35 2.65 0 -0.360928 3.12585 0
0.35 2.75 0 0.551585 2.53226 0
0.35 2.85 0 2.21323 1.553 0
0.35 2.95 0 4.81385 0.43547 0
0.35 3.05 0 8.26313 -0.0525002 0
0.45 0.05 0 0.0504122 0.102989 0
0.45 0.15 0 0.0577035 0.223987 0
0.45 0.25 0 0.0262223 0.256583 0
0.45 0.35 0 -0.0151377 0.289186 0
0.45 0.45 0 -0.055132 0.329726 0
0.45 0.55 0 -0.0909748 0.37966 0
0.45 0.65 0 -0.123156 0.439556 0
0.45 0.75 0 -0.153089 0.509771 0
0.45 0.85 0 -0.182225 0.59071 0
0.45 0.95 0 -0.211812 0.682959 0
0.45 1.05 0 -0.242891 0.787325 0
0.45 1.15 0 -0.276373 0.904837 0
0.45 1.25 0 -0.313128 1.03672 0
0.45 1.35 0 -0.354083 1.1844 0
0.45 1.45 0 -0.400317 1.3494 0
0.45 1.55 0 -0.453137 1.53334 0
0.45 1.65 0 -0.51409 1.73776 0
0.45 1.75 0 -0.584838 1.96375 0
0.45 1.85 0 -0.666747 2.21136 0
0.45 1.95 0 -0.75995 2.4783 0
0.45 2.05 0 -0.861502 2.75791 0
0.45 2.15 0 -0.962085 3.0358 0
0.45 2.25 0 -1.04065 3.28531 0
0.45 2.35 0 -1.05661 3.46235 0
0.45 2.45 0 -0.940386 3.50236 0
0.45 2.55 0 -0.585846 3.32534 0
0.45 2.65 0 0.147729 2.85802 0
0.45 2.75 0 1.41282 2.0802 0
0.45 2.85 0 3.32046 1.08885 0
0.45 2.95 0 5.85228 0.161886 0
0.45 3.05 0 8.73212 -0.118808 0
0.55 0.05 0 0.034806 0.112427 0
0.55 0.15 0 0.0279281 0.25211 0
0.55 0.25 0 -0.0124065 0.30454 0
0.55 0.35 0 -0.0620642 0.358594 0
0.55 0.45 0 -0.11103 0.420686 0
0.55 0.55 0 -0.15656 0.491839 0
0.55 0.65 0 -0.19903 0.572861 0
0.55 0.75 0 -0.239859 0.664579 0
0.55 0.85 0 -0.280619 0.767887 0
0.55 0.95 0 -0.322736 0.88379 0
0.55 1.05 0 -0.367431 1.01341 0
0.55 1.15 0 -0.415764 1.15799 0
0.55 1.25 0 -0.46871 1.3188 0
0.55 1.35 0 -0.527227 1.49706 0
0.55 1.45 0 -0.592311 1.69383 0
0.55 1.55 0 -0.664981 1.90975 0
0.55 1.65 0 -0.746131 2.14467 0
0.55 1.75 0 -0.83611 2.39701 0
0.55 1.85 0 -0.933835 2.6627 0
0.55 1.95 0 -1.03515 2.93358 0
0.55 2.05 0 -1.1301 3.19497 0
0.55 2.15 0 -1.19881 3.42273 0
0.55 2.25 0 -1.20607 3.58035 0
0.55 2.35 0 -1.09557 3.61791 0
0.55 2.45 0 -0.78666 3.47666 0
0.55 2.55 0 -0.178233 3.10341 0
0.55 2.65 0 0.834333 2.4773 0
0.55 2.75 0 2.32659 1.64348 0
0.55 2.85 0 4.30017 0.7386 0
0.55 2.95 0 6.63212 0.00144715 0
0.55 3.05 0 9.02369 -0.144414 0
0.65 0.05 0 0.00961385 0.122229 0
0.65 0.15 0 -0.0202264 0.281557 0
0.65 0.25 0 -0.0727094 0.354905 0
0.65 0.35 0 -0.131257 0.431351 0
0.65 0.45 0 -0.188838 0.515873 0
0.65 0.55 0 -0.243695 0.609035 0
0.65 0.65 0 -0.296483 0.711796 0
0.65 0.75 0 -0.348719 0.825379 0
0.65 0.85 0 -0.402057 0.951107 0
0.65 0.95 0 -0.457996 1.09033 0
0.65 1.05 0 -0.517805 1.24441 0
0.65 1.15 0 -0.582524 1.41461 0
0.65 1.25 0 -0.652994 1.602 0
0.65 1.35 0 -0.72987 1.80728 0
0.65 1.45 0 -0.813584 2.0305 0
0.65 1.55 0 -0.904194 2.27067 0
0.65 1.65 0 -1.00101 2.52518 0
0.65 1.75 0 -1.10182 2.78888 0
0.65 1.85 0 -1.2016 3.05288 0
0.65 1.95 0 -1.2903 3.30285 0
0.65 2.05 0 -1.34978 3.51714 0
0.65 2.15 0 -1.35 3.66512 0
0.65 2.25 0 -1.24532 3.70719 0
0.65 2.35 0 -0.973015 3.59838 0
0.65 2.45 0 -0.457029 3.29809 0
0.65 2.55 0 0.379844 2.78695 0
0.65 2.65 0 1.59451 2.08707 0
0.65 2.75 0 3.19657 1.27686 0
0.65 2.85 0 5.12248 0.490835 0
0.65 2.95 0 7.21537 -0.087989 0
0.65 3.05 0 9.2162 -0.149936 0
0.75 0.05 0 -0.0259846 0.13175 0
0.75 0.15 0 -0.0874633 0.310476 0
0.75 0.25 0 -0.155094 0.404675 0
0.75 0.35 0 -0.223014 0.503238 0
0.75 0.45 0 -0.288817 0.609836 0
0.75 0.55 0 -0.352566 0.724639 0
0.75 0.65 0 -0.415555 0.848731 0
0.75 0.75 0 -0.479491 0.983665 0
0.75 0.85 0 -0.546059 1.1311 0
0.75 0.95 0 -0.61671 1.29263 0
0.75 1.05 0 -0.692578 1.46968 0
0.75 1.15 0 -0.774435 1.66335 0
0.75 1.25 0 -0.862655 1.87422 0
0.75 1.35 0 -0.957138 2.10208 0
0.75 1.45 0 -1.05715 2.3455 0
0.75 1.55 0 -1.161 2.6013 0
0.75 1.65 0 -1.26544 2.86384 0
0.75 1.75 0 -1.36464 3.12399 0
0.75 1.85 0 -1.44857 3.36803 0
0.75 1.95 0 -1.50077 3.5764 0
0.75 2.05 0 -1.49565 3.72287 0
0.75 2.15 0 -1.39605 3.77494 0
0.75 2.25 0 -1.1525 3.69677 0
0.75 2.35 0 -0.706181 3.45603 0
0.75 2.45 0 0.00236609 3.03507 0
0.75 2.55 0 1.01859 2.44429 0
0.75 2.65 0 2.35595 1.7322 0
0.75 2.75 0 3.97985 0.985812 0
0.75 2.85 0 5.79757 0.319267 0
0.75 2.95 0 7.65581 -0.134975 0
0.75 3.05 0 9.34993 -0.145676 0
0.85 0.05 0 -0.0718653 0.140063 0
0.85 0.15 0 -0.173134 0.336186 0
0.85 0.25 0 -0.258564 0.449538 0
0.85 0.35 0 -0.336246 0.568397 0
0.85 0.45 0 -0.409921 0.695296 0
0.85 0.55 0 -0.482178 0.830076 0
0.85 0.65 0 -0.555238 0.973925 0
0.85 0.75 0 -0.631062 1.12864 0
0.85 0.85 0 -0.711294 1.29609 0
0.85 0.95 0 -0.797183 1.47799 0
0.85 1.05 0 -0.889494 1.67563 0
0.85 1.15 0 -0.988418 1.88972 0
0.85 1.25 0 -1.09345 2.12005 0
0.85 1.35 0 -1.2032 2.36512 0
0.85 1.45 0 -1.31511 2.62164 0
0.85 1.55 0 -1.42496 2.88386 0
0.85 1.65 0 -1.52614 3.14284 0
0.85 1.75 0 -1.60848 3.38558 0
0.85 1.85 0 -1.65675 3.59425 0
0.85 1.95 0 -1.64879 3.74582 0
0.85 2.05 0 -1.55396 3.81268 0
0.85 2.15 0 -1.33279 3.76505 0
0.85 2.25 0 -0.939122 3.57602 0
0.85 2.35 0 -0.326269 3.22947 0
0.85 2.45 0 0.542839 2.72932 0
0.85 2.55 0 1.68312 2.10694 0
0.85 2.65 0 3.07615 1.42233 0
0.85 2.75 0 4.66361 0.756783 0
0.85 2.85 0 6.34683 0.199452 0
0.85 2.95 0 7.99228 -0.157237 0
0.85 3.05 0 9.44625 -0.136743 0
0.95 0.05 0 -0.126786 0.146215 0
0.95 0.15 0 -0.274912 0.355887 0
