x y z u v w
0.05 0.05 0 0.0194748 0.0408168 0
0.05 0.15 0 0.0173182 0.0696516 0
0.05 0.25 0 0.0100535 0.0486948 0
0.05 0.35 0 0.00503931 0.0351007 0
0.05 0.45 0 0.00207791 0.0285588 0
0.05 0.55 0 0.000230428 0.0264044 0
0.05 0.65 0 -0.00108681 0.0271463 0
0.05 0.75 0 -0.00216236 0.0300782 0
0.05 0.85 0 -0.00313416 0.0348832 0
0.05 0.95 0 -0.00407308 0.041435 0
0.05 1.05 0 -0.00502188 0.0497108 0
0.05 1.15 0 -0.00601266 0.059756 0
0.05 1.25 0 -0.00707543 0.0716721 0
0.05 1.35 0 -0.0082438 0.0856178 0
0.05 1.45 0 -0.00956056 0.101821 0
0.05 1.55 0 -0.0110852 0.120599 0
0.05 1.65 0 -0.0129053 0.142404 0
0.05 1.75 0 -0.0151561 0.167883 0
0.05 1.85 0 -0.0180516 0.197996 0
0.05 1.95 0 -0.0219372 0.234199 0
0.05 2.05 0 -0.0273732 0.278749 0
0.05 2.15 0 -0.035261 0.335198 0
0.05 2.25 0 -0.047005 0.409126 0
0.05 2.35 0 -0.0646336 0.509138 0
0.05 2.45 0 -0.0905558 0.647765 0
0.05 2.55 0 -0.125877 0.84081 0
0.05 2.65 0 -0.16406 1.10027 0
0.05 2.75 0 -0.171211 1.40702 0
0.05 2.85 0 -0.0318065 1.63288 0
0.05 2.95 0 0.583949 1.40813 0
0.05 3.05 0 2.50142 0.558528 0
0.15 0.05 0 0.0465969 0.0693796 0
0.15 0.15 0 0.0483448 0.131026 0
0.15 0.25 0 0.03154 0.112372 0
0.15 0.35 0 0.0167784 0.0948125 0
0.15 0.45 0 0.00634295 0.0859932 0
0.15 0.55 0 -0.00110987 0.0853678 0
0.15 0.65 0 -0.00689825 0.0916185 0
0.15 0.75 0 -0.0118417 0.103785 0
0.15 0.85 0 -0.0164061 0.121335 0
0.15 0.95 0 -0.0208667 0.144053 0
0.15 1.05 0 -0.0254088 0.171957 0
0.15 1.15 0 -0.0301831 0.205249 0
0.15 1.25 0 -0.0353384 0.244303 0
0.15 1.35 0 -0.041046 0.289679 0
0.15 1.45 0 -0.0475254 0.342174 0
0.15 1.55 0 -0.055076 0.402888 0
0.15 1.65 0 -0.0641237 0.473339 0
0.15 1.75 0 -0.075287 0.555628 0
0.15 1.85 0 -0.0894742 0.652656 0
0.15 1.95 0 -0.108015 0.768403 0
0.15 2.05 0 -0.132823 0.908229 0
0.15 2.15 0 -0.166533 1.07905 0
0.15 2.25 0 -0.212429 1.28907 0
0.15 2.35 0 -0.273631 1.54608 0
0.15 2.45 0 -0.350154 1.85257 0
0.15 2.55 0 -0.430504 2.19361 0
0.15 2.65 0 -0.47056 2.51144 0
0.15 2.75 0 -0.345728 2.66241 0
0.15 2.85 0 0.245532 2.38066 0
0.15 2.95 0 1.94894 1.40589 0
0.15 3.05 0 5.97188 0.360841 0
0.25 0.05 0 0.0568493 0.0816893 0
0.25 0.15 0 0.0695056 0.162465 0
0.25 0.25 0 0.0501919 0.154837 0
0.25 0.35 0 0.0271127 0.144519 0
0.25 0.45 0 0.00744271 0.141992 0
0.25 0.55 0 -0.00853607 0.1489 0
0.25 0.65 0 -0.0219894 0.165065 0
0.25 0.75 0 -0.0340073 0.189995 0
0.25 0.85 0 -0.0453677 0.223346 0
0.25 0.95 0 -0.0566127 0.265029 0
0.25 1.05 0 -0.0681546 0.315211 0
0.25 1.15 0 -0.0803575 0.374309 0
0.25 1.25 0 -0.0935966 0.443 0
0.25 1.35 0 -0.10831 0.522256 0
0.25 1.45 0 -0.12505 0.613401 0
0.25 1.55 0 -0.144547 0.718198 0
0.25 1.65 0 -0.167788 0.838954 0
0.25 1.75 0 -0.196107 0.978634 0
0.25 1.85 0 -0.231282 1.14094 0
0.25 1.95 0 -0.275597 1.33028 0
0.25 2.05 0 -0.331749 1.55135 0
0.25 2.15 0 -0.402354 1.80812 0
0.25 2.25 0 -0.488456 2.10121 0
0.25 2.35 0 -0.585852 2.42269 0
0.25 2.45 0 -0.676984 2.74628 0
0.25 2.55 0 -0.714756 3.01166 0
0.25 2.65 0 -0.593992 3.10556 0
0.25 2.75 0 -0.109672 2.85691 0
0.25 2.85 0 1.08446 2.09766 0
0.25 2.95 0 3.46735 0.89247 0
0.25 3.05 0 7.45258 0.105937 0
0.35 0.05 0 0.0596021 0.0891515 0
0.35 0.15 0 0.0789141 0.183287 0
0.35 0.25 0 0.0586936 0.187519 0
0.35 0.35 0 0.0287051 0.188833 0
0.35 0.45 0 -0.000508702 0.197742 0
0.35 0.55 0 -0.026642 0.216796 0
0.35 0.65 0 -0.0501097 0.246705 0
0.35 0.75 0 -0.0719089 0.287572 0
0.35 0.85 0 -0.0929784 0.339413 0
0.35 0.95 0 -0.114096 0.402383 0
0.35 1.05 0 -0.135928 0.476864 0
0.35 1.15 0 -0.159108 0.563499 0
0.35 1.25 0 -0.184307 0.66323 0
0.35 1.35 0 -0.212302 0.777324 0
0.35 1.45 0 -0.244046 0.907416 0
0.35 1.55 0 -0.280729 1.05554 0
0.35 1.65 0 -0.323845 1.22414 0
0.35 1.75 0 -0.375213 1.41595 0
0.35 1.85 0 -0.436904 1.63376 0
0.35 1.95 0 -0.510944 1.87976 0
0.35 2.05 0 -0.598513 2.15416 0
0.35 2.15 0 -0.698168 2.45276 0
0.35 2.25 0 -0.802226 2.76253 0
0.35 2.35 0 -0.890032 3.05488 0
0.35 2.45 0 -0.916658 3.27665 0
0.35 2.55 0 -0.796556 3.34228 0
0.35 2.65 0 -0.385606 3.13743 0
0.35 2.75 0 0.526453 2.55417 0
0.35 2.85 0 2.18926 1.58236 0
0.35 2.95 0 4.79524 0.466417 0
0.35 3.05 0 8.25609 -0.0376174 0
0.45 0.05 0 0.0579508 0.0952897 0
0.45 0.15 0 0.0778197 0.200901 0
0.45 0.25 0 0.0547834 0.216965 0
0.45 0.35 0 0.0175996 0.231788 0
0.45 0.45 0 -0.0216388 0.255095 0
0.45 0.55 0 -0.0591073 0.289475 0
0.45 0.65 0 -0.0943847 0.336057 0
0.45 0.75 0 -0.128184 0.395377 0
0.45 0.85 0 -0.16147 0.467793 0
0.45 0.95 0 -0.19519 0.553712 0
0.45 1.05 0 -0.230248 0.653717 0
0.45 1.15 0 -0.267547 0.768621 0
0.45 1.25 0 -0.308053 0.899499 0
0.45 1.35 0 -0.352855 1.04769 0
0.45 1.45 0 -0.403212 1.21477 0
0.45 1.55 0 -0.460576 1.40248 0
0.45 1.65 0 -0.526544 1.61252 0
0.45 1.75 0 -0.602687 1.84618 0
0.45 1.85 0 -0.690115 2.10358 0
0.45 1.95 0 -0.788558 2.38241 0
0.45 2.05 0 -0.894593 2.67576 0
0.45 2.15 0 -0.998477 2.96883 0
0.45 2.25 0 -1.07892 3.23441 0
0.45 2.35 0 -1.09543 3.42781 0
0.45 2.45 0 -0.978806 3.4839 0
0.45 2.55 0 -0.623414 3.32209 0
0.45 2.65 0 0.111279 2.86846 0
0.45 2.75 0 1.37838 2.1019 0
0.45 2.85 0 3.29049 1.11821 0
0.45 2.95 0 5.83118 0.192923 0
0.45 3.05 0 8.72486 -0.103829 0
0.55 0.05 0 0.0522731 0.101263 0
0.55 0.15 0 0.0666797 0.218186 0
0.55 0.25 0 0.0375551 0.246447 0
0.55 0.35 0 -0.00834967 0.275934 0
0.55 0.45 0 -0.0586255 0.315478 0
0.55 0.55 0 -0.108591 0.367306 0
0.55 0.65 0 -0.157179 0.43261 0
0.55 0.75 0 -0.204802 0.512146 0
0.55 0.85 0 -0.252379 0.606494 0
0.55 0.95 0 -0.300967 0.716242 0
0.55 1.05 0 -0.351653 0.842087 0
