x y z u v w
0.05 0.05 0 0.0202805 0.0424236 0
0.05 0.15 0 0.0180497 0.072359 0
0.05 0.25 0 0.0104855 0.0505208 0
0.05 0.35 0 0.00525385 0.0363664 0
0.05 0.45 0 0.00215927 0.0295766 0
0.05 0.55 0 0.000231488 0.0273695 0
0.05 0.65 0 -0.00113337 0.0281755 0
0.05 0.75 0 -0.00223428 0.0312376 0
0.05 0.85 0 -0.00321475 0.036203 0
0.05 0.95 0 -0.00414928 0.042918 0
0.05 1.05 0 -0.0050835 0.0513385 0
0.05 1.15 0 -0.00605215 0.0614935 0
0.05 1.25 0 -0.00708782 0.073473 0
0.05 1.35 0 -0.00822666 0.087429 0
0.05 1.45 0 -0.00951393 0.103587 0
0.05 1.55 0 -0.0110114 0.122267 0
0.05 1.65 0 -0.0128087 0.143927 0
0.05 1.75 0 -0.0150425 0.169224 0
0.05 1.85 0 -0.0179277 0.199129 0
0.05 1.95 0 -0.0218097 0.23511 0
0.05 2.05 0 -0.027248 0.279438 0
0.05 2.15 0 -0.0351418 0.335671 0
0.05 2.25 0 -0.0468918 0.409395 0
0.05 2.35 0 -0.06452 0.50921 0
0.05 2.45 0 -0.0904249 0.647626 0
0.05 2.55 0 -0.125693 0.840405 0
0.05 2.65 0 -0.163758 1.09946 0
0.05 2.75 0 -0.170681 1.40551 0
0.05 2.85 0 -0.0309197 1.63019 0
0.05 2.95 0 0.585163 1.40403 0
0.05 3.05 0 2.50228 0.556129 0
0.15 0.05 0 0.0485689 0.072097 0
0.15 0.15 0 0.0503802 0.136135 0
0.15 0.25 0 0.032826 0.116762 0
0.15 0.35 0 0.0173901 0.0986412 0
0.15 0.45 0 0.00648253 0.0896853 0
0.15 0.55 0 -0.00127427 0.0892691 0
0.15 0.65 0 -0.0072415 0.0959539 0
0.15 0.75 0 -0.0122688 0.10867 0
0.15 0.85 0 -0.0168425 0.126791 0
0.15 0.95 0 -0.0212536 0.15003 0
0.15 1.05 0 -0.0257011 0.178349 0
0.15 1.15 0 -0.0303484 0.211906 0
0.15 1.25 0 -0.035357 0.251049 0
0.15 1.35 0 -0.0409105 0.296327 0
0.15 1.45 0 -0.0472402 0.348538 0
0.15 1.55 0 -0.0546564 0.408798 0
0.15 1.65 0 -0.0635939 0.478653 0
0.15 1.75 0 -0.0746779 0.560236 0
0.15 1.85 0 -0.0888195 0.65649 0
0.15 1.95 0 -0.107348 0.771435 0
0.15 2.05 0 -0.13217 0.910463 0
0.15 2.15 0 -0.165908 1.08052 0
0.15 2.25 0 -0.211829 1.2898 0
0.15 2.35 0 -0.273023 1.54608 0
