x y z p
0.05 0.05 0 -16.1607
0.05 0.15 0 -19.0793
0.05 0.25 0 -20.3461
0.05 0.35 0 -21.1429
0.05 0.45 0 -21.7363
0.05 0.55 0 -22.2405
0.05 0.65 0 -22.7222
0.05 0.75 0 -23.2286
0.05 0.85 0 -23.7986
0.05 0.95 0 -24.4673
0.05 1.05 0 -25.2684
0.05 1.15 0 -26.236
0.05 1.25 0 -27.4054
0.05 1.35 0 -28.814
0.05 1.45 0 -30.5027
0.05 1.55 0 -32.5168
0.05 1.65 0 -34.9079
0.05 1.75 0 -37.7361
0.05 1.85 0 -41.0737
0.05 1.95 0 -45.0102
0.05 2.05 0 -49.6619
0.05 2.15 0 -55.1861
0.05 2.25 0 -61.8086
0.05 2.35 0 -69.8704
0.05 2.45 0 -79.9165
0.05 2.55 0 -92.8565
0.05 2.65 0 -110.251
0.05 2.75 0 -134.753
0.05 2.85 0 -170.404
0.05 2.95 0 -220.133
0.05 3.05 0 -258.844
0.15 0.05 0 -17.409
0.15 0.15 0 -19.6673
0.15 0.25 0 -20.5987
0.15 0.35 0 -21.2597
0.15 0.45 0 -21.7911
0.15 0.55 0 -22.26
0.15 0.65 0 -22.7166
0.15 0.75 0 -23.2024
0.15 0.85 0 -23.7538
0.15 0.95 0 -24.4048
0.15 1.05 0 -25.1886
0.15 1.15 0 -26.1385
0.15 1.25 0 -27.2895
0.15 1.35 0 -28.6786
0.15 1.45 0 -30.3463
0.15 1.55 0 -32.3376
0.15 1.65 0 -34.7036
0.15 1.75 0 -37.5039
0.15 1.85 0 -40.81
0.15 1.95 0 -44.7106
0.15 2.05 0 -49.3193
0.15 2.15 0 -54.7886
0.15 2.25 0 -61.3297
0.15 2.35 0 -69.2447
0.15 2.45 0 -78.9705
0.15 2.55 0 -91.1253
0.15 2.65 0 -106.511
0.15 2.75 0 -125.938
0.15 2.85 0 -149.421
0.15 2.95 0 -172.582
0.15 3.05 0 -167.869
0.25 0.05 0 -18.4853
0.25 0.15 0 -20.3921
0.25 0.25 0 -21.0178
0.25 0.35 0 -21.4913
0.25 0.45 0 -21.9051
0.25 0.55 0 -22.2922
0.25 0.65 0 -22.6853
0.25 0.75 0 -23.117
0.25 0.85 0 -23.6192
0.25 0.95 0 -24.2232
0.25 1.05 0 -24.9605
0.25 1.15 0 -25.8634
0.25 1.25 0 -26.9656
0.25 1.35 0 -28.3034
0.25 1.45 0 -29.9164
0.25 1.55 0 -31.8484
0.25 1.65 0 -34.1493
0.25 1.75 0 -36.8769
0.25 1.85 0 -40.1002
0.25 1.95 0 -43.903
0.25 2.05 0 -48.3901
0.25 2.15 0 -53.6939
0.25 2.25 0 -59.9814
0.25 2.35 0 -67.4541
0.25 2.45 0 -76.329
0.25 2.55 0 -86.7756
0.25 2.65 0 -98.7858
0.25 2.75 0 -111.963
0.25 2.85 0 -125.043
0.25 2.95 0 -133.546
0.25 3.05 0 -118.474
0.35 0.05 0 -19.3716
0.35 0.15 0 -21.0956
0.35 0.25 0 -21.4868
0.35 0.35 0 -21.7739
0.35 0.45 0 -22.0458
0.35 0.55 0 -22.3207
0.35 0.65 0 -22.6199
0.35 0.75 0 -22.9687
0.35 0.85 0 -23.3944
0.35 0.95 0 -23.9252
0.35 1.05 0 -24.5903
0.35 1.15 0 -25.4207
0.35 1.25 0 -26.4489
0.35 1.35 0 -27.7099
0.35 1.45 0 -29.2423
0.35 1.55 0 -31.0888
0.35 1.65 0 -33.2976
0.35 1.75 0 -35.9239
0.35 1.85 0 -39.0316
0.35 1.95 0 -42.6951
0.35 2.05 0 -46.999
