x y z p
0.05 0.05 0 -11.7175
0.05 0.15 0 -13.8584
0.05 0.25 0 -14.9053
0.05 0.35 0 -15.7368
0.05 0.45 0 -16.5492
0.05 0.55 0 -17.4211
0.05 0.65 0 -18.3945
0.05 0.75 0 -19.497
0.05 0.85 0 -20.7507
0.05 0.95 0 -22.1757
0.05 1.05 0 -23.7928
0.05 1.15 0 -25.6241
0.05 1.25 0 -27.694
0.05 1.35 0 -30.0305
0.05 1.45 0 -32.666
0.05 1.55 0 -35.6385
0.05 1.65 0 -38.9932
0.05 1.75 0 -42.7855
0.05 1.85 0 -47.0849
0.05 1.95 0 -51.9805
0.05 2.05 0 -57.5933
0.05 2.15 0 -64.089
0.05 2.25 0 -71.711
0.05 2.35 0 -80.8132
0.05 2.45 0 -91.9526
0.05 2.55 0 -106.006
0.05 2.65 0 -124.461
0.05 2.75 0 -149.798
0.05 2.85 0 -185.827
0.05 2.95 0 -235.077
0.05 3.05 0 -271.196
0.15 0.05 0 -12.6514
0.15 0.15 0 -14.2546
0.15 0.25 0 -15.0344
0.15 0.35 0 -15.7595
0.15 0.45 0 -16.5258
0.15 0.55 0 -17.3738
0.15 0.65 0 -18.3319
0.15 0.75 0 -19.4227
0.15 0.85 0 -20.6661
0.15 0.95 0 -22.0811
0.15 1.05 0 -23.6878
0.15 1.15 0 -25.5077
0.15 1.25 0 -27.5651
0.15 1.35 0 -29.8874
0.15 1.45 0 -32.5066
0.15 1.55 0 -35.4603
0.15 1.65 0 -38.7931
0.15 1.75 0 -42.5598
0.15 1.85 0 -46.8283
0.15 1.95 0 -51.6868
0.15 2.05 0 -57.252
0.15 2.15 0 -63.6868
0.15 2.25 0 -71.2165
0.15 2.35 0 -80.1672
0.15 2.45 0 -90.9836
0.15 2.55 0 -104.272
0.15 2.65 0 -120.748
0.15 2.75 0 -141.081
0.15 2.85 0 -165.1
0.15 2.95 0 -188.161
0.15 3.05 0 -181.295
0.25 0.05 0 -13.3349
0.25 0.15 0 -14.6164
0.25 0.25 0 -15.1519
0.25 0.35 0 -15.7389
0.25 0.45 0 -16.4264
0.25 0.55 0 -17.2248
0.25 0.65 0 -18.1474
0.25 0.75 0 -19.209
0.25 0.85 0 -20.4254
0.25 0.95 0 -21.8135
0.25 1.05 0 -23.3916
0.25 1.15 0 -25.1804
0.25 1.25 0 -27.2031
0.25 1.35 0 -29.4862
0.25 1.45 0 -32.0608
0.25 1.55 0 -34.9631
0.25 1.65 0 -38.2362
0.25 1.75 0 -41.9324
0.25 1.85 0 -46.1167
0.25 1.95 0 -50.8712
0.25 2.05 0 -56.3047
0.25 2.15 0 -62.5586
0.25 2.25 0 -69.8234
0.25 2.35 0 -78.3268
0.25 2.45 0 -88.3191
0.25 2.55 0 -99.9605
0.25 2.65 0 -113.192
0.25 2.75 0 -127.492
0.25 2.85 0 -141.46
0.25 2.95 0 -150.285
0.25 3.05 0 -133.217
0.35 0.05 0 -13.6615
0.35 0.15 0 -14.7777
0.35 0.25 0 -15.148
0.35 0.35 0 -15.6156
0.35 0.45 0 -16.2197
0.35 0.55 0 -16.9571
0.35 0.65 0 -17.8306
0.35 0.75 0 -18.8488
0.35 0.85 0 -20.0232
0.35 0.95 0 -21.3683
0.35 1.05 0 -22.9005
0.35 1.15 0 -24.6389
0.35 1.25 0 -26.6053
0.35 1.35 0 -28.8252
0.35 1.45 0 -31.3279
0.35 1.55 0 -34.1479
0.35 1.65 0 -37.326
0.35 1.75 0 -40.9112
0.35 1.85 0 -44.9629
0.35 1.95 0 -49.5551
0.35 2.05 0 -54.778
0.35 2.15 0 -60.7419
0.35 2.25 0 -67.5648
0.35 2.35 0 -75.3513
0.35 2.45 0 -84.1135
0.35 2.55 0 -93.6973
0.35 2.65 0 -103.686
0.35 2.75 0 -113.428
0.35 2.85 0 -121.738
0.35 2.95 0 -124.87
0.35 3.05 0 -107.543
0.45 0.05 0 -13.6654
0.45 0.15 0 -14.7011
0.45 0.25 0 -14.9738
0.45 0.35 0 -15.3532
0.45 0.45 0 -15.8832
0.45 0.55 0 -16.5574
0.45 0.65 0 -17.3743
0.45 0.75 0 -18.3384
0.45 0.85 0 -19.4582
0.45 0.95 0 -20.7455
0.45 1.05 0 -22.215
0.45 1.15 0 -23.884
0.45 1.25 0 -25.7728
0.45 1.35 0 -27.905
0.45 1.45 0 -30.3079
0.45 1.55 0 -33.0135
0.45 1.65 0 -36.059
0.45 1.75 0 -39.4884
0.45 1.85 0 -43.3531
0.45 1.95 0 -47.7126
0.45 2.05 0 -52.6332
0.45 2.15 0 -58.1789
0.45 2.25 0 -64.395
0.45 2.35 0 -71.2639
0.45 2.45 0 -78.6644
0.45 2.55 0 -86.3227
0.45 2.65 0 -93.8606
0.45 2.75 0 -100.801
0.45 2.85 0 -106.248
0.45 2.95 0 -107.194
0.45 3.05 0 -91.7207
0.55 0.05 0 -13.4091
0.55 0.15 0 -14.4002
0.55 0.25 0 -14.6191
0.55 0.35 0 -14.9368
0.55 0.45 0 -15.4046
0.55 0.55 0 -16.018
0.55 0.65 0 -16.7745
0.55 0.75 0 -17.6764
0.55 0.85 0 -18.7305
0.55 0.95 0 -19.9466
0.55 1.05 0 -21.3373
0.55 1.15 0 -22.9183
0.55 1.25 0 -24.7079
0.55 1.35 0 -26.7274
0.55 1.45 0 -29.0015
0.55 1.55 0 -31.5586
0.55 1.65 0 -34.4309
0.55 1.75 0 -37.6552
0.55 1.85 0 -41.2716
0.55 1.95 0 -45.3221
0.55 2.05 0 -49.8448
0.55 2.15 0 -54.8626
0.55 2.25 0 -60.361
0.55 2.35 0 -66.2638
0.55 2.45 0 -72.4056
0.55 2.55 0 -78.551
0.55 2.65 0 -84.4183
0.55 2.75 0 -89.6634
0.55 2.85 0 -93.5153
0.55 2.95 0 -93.5805
0.55 3.05 0 -80.1644
0.65 0.05 0 -12.9492
0.65 0.15 0 -13.9034
0.65 0.25 0 -14.0922
0.65 0.35 0 -14.3664
0.65 0.45 0 -14.782
0.65 0.55 0 -15.3376
0.65 0.65 0 -16.0313
0.65 0.75 0 -16.8649
0.65 0.85 0 -17.8438
0.65 0.95 0 -18.9762
0.65 1.05 0 -20.2732
0.65 1.15 0 -21.7484
0.65 1.25 0 -23.4179
0.65 1.35 0 -25.3005
0.65 1.45 0 -27.4175
0.65 1.55 0 -29.7927
0.65 1.65 0 -32.4526
0.65 1.75 0 -35.425
0.65 1.85 0 -38.7379
0.65 1.95 0 -42.4159
0.65 2.05 0 -46.4732
0.65 2.15 0 -50.9031
0.65 2.25 0 -55.6634
0.65 2.35 0 -60.6607
0.65 2.45 0 -65.7505
0.65 2.55 0 -70.7475
0.65 2.65 0 -75.444
0.65 2.75 0 -79.5355
0.65 2.85 0 -82.3764
0.65 2.95 0 -82.086
0.65 3.05 0 -70.5361
0.75 0.05 0 -12.3264
0.75 0.15 0 -13.239
0.75 0.25 0 -13.4088
0.75 0.35 0 -13.6501
0.75 0.45 0 -14.0202
0.75 0.55 0 -14.5202
0.75 0.65 0 -15.1494
0.75 0.75 0 -15.9095
0.75 0.85 0 -16.805
0.75 0.95 0 -17.8428
0.75 1.05 0 -19.0324
0.75 1.15 0 -20.3856
0.75 1.25 0 -21.916
0.75 1.35 0 -23.6394
0.75 1.45 0 -25.5737
0.75 1.55 0 -27.7378
0.75 1.65 0 -30.1518
0.75 1.75 0 -32.8353
0.75 1.85 0 -35.8052
0.75 1.95 0 -39.0721
0.75 2.05 0 -42.6344
0.75 2.15 0 -46.4709
0.75 2.25 0 -50.5314
0.75 2.35 0 -54.7317
0.75 2.45 0 -58.9535
0.75 2.55 0 -63.0535
0.75 2.65 0 -66.8532
0.75 2.75 0 -70.0875
0.75 2.85 0 -72.2349
0.75 2.95 0 -71.8275
0.75 3.05 0 -61.9067
0.85 0.05 0 -11.5683
0.85 0.15 0 -12.4308
0.85 0.25 0 -12.5862
0.85 0.35 0 -12.8001
0.85 0.45 0 -13.1286
0.85 0.55 0 -13.5744
0.85 0.65 0 -14.1373
0.85 0.75 0 -14.8193
0.85 0.85 0 -15.6242
0.85 0.95 0 -16.5578
0.85 1.05 0 -17.6282
0.85 1.15 0 -18.8449
0.85 1.25 0 -20.2196
0.85 1.35 0 -21.7649
0.85 1.45 0 -23.4951
0.85 1.55 0 -25.4247
0.85 1.65 0 -27.568
0.85 1.75 0 -29.9375
0.85 1.85 0 -32.5419
0.85 1.95 0 -35.3829
0.85 2.05 0 -38.4507
