x y z u v w
0.05 0.05 0 0.00247848 0.0200202 0
0.05 0.15 0 0.000836395 0.0406684 0
0.05 0.25 0 -0.000585432 0.0419255 0
0.05 0.35 0 -0.00136997 0.0438305 0
0.05 0.45 0 -0.00186389 0.0468373 0
0.05 0.55 0 -0.00225886 0.0506648 0
0.05 0.65 0 -0.002633 0.0552053 0
0.05 0.75 0 -0.00302064 0.0604508 0
0.05 0.85 0 -0.00344102 0.0664428 0
0.05 0.95 0 -0.00390877 0.0732539 0
0.05 1.05 0 -0.00443826 0.0809835 0
0.05 1.15 0 -0.00504592 0.0897587 0
0.05 1.25 0 -0.00575223 0.0997407 0
0.05 1.35 0 -0.00658401 0.111133 0
0.05 1.45 0 -0.00757748 0.124198 0
0.05 1.55 0 -0.00878297 0.139274 0
0.05 1.65 0 -0.0102722 0.156811 0
0.05 1.75 0 -0.0121503 0.17742 0
0.05 1.85 0 -0.0145764 0.201951 0
0.05 1.95 0 -0.0178011 0.23162 0
0.05 2.05 0 -0.0222392 0.268245 0
0.05 2.15 0 -0.0286222 0.314674 0
0.05 2.25 0 -0.0383329 0.375629 0
0.05 2.35 0 -0.0540326 0.459584 0
0.05 2.45 0 -0.0804324 0.580812 0
0.05 2.55 0 -0.121389 0.763969 0
0.05 2.65 0 -0.173357 1.02749 0
0.05 2.75 0 -0.186667 1.35944 0
0.05 2.85 0 -0.0397428 1.60518 0
0.05 2.95 0 0.609418 1.36907 0
0.05 3.05 0 2.5303 0.533345 0
0.15 0.05 0 0.00289215 0.0301514 0
0.15 0.15 0 -0.000328939 0.0642947 0
0.15 0.25 0 -0.00329297 0.0705484 0
0.15 0.35 0 -0.00526558 0.0753451 0
0.15 0.45 0 -0.00674605 0.0808974 0
0.15 0.55 0 -0.00805887 0.0874538 0
0.15 0.65 0 -0.00936074 0.0950842 0
0.15 0.75 0 -0.0107344 0.103864 0
0.15 0.85 0 -0.0122349 0.113899 0
0.15 0.95 0 -0.0139094 0.125328 0
0.15 1.05 0 -0.0158071 0.138329 0
0.15 1.15 0 -0.0179862 0.153125 0
0.15 1.25 0 -0.02052 0.169996 0
0.15 1.35 0 -0.0235046 0.189297 0
0.15 1.45 0 -0.0270703 0.21148 0
0.15 1.55 0 -0.0313974 0.237136 0
0.15 1.65 0 -0.0367427 0.267047 0
0.15 1.75 0 -0.0434804 0.302268 0
0.15 1.85 0 -0.0521728 0.34426 0
0.15 1.95 0 -0.0636945 0.395094 0
0.15 2.05 0 -0.0794642 0.457793 0
0.15 2.15 0 -0.101902 0.536908 0
0.15 2.25 0 -0.135355 0.639505 0
0.15 2.35 0 -0.187662 0.776628 0
0.15 2.45 0 -0.270878 0.964912 0
0.15 2.55 0 -0.391557 1.22046 0
0.15 2.65 0 -0.514035 1.53666 0
0.15 2.75 0 -0.474386 1.80514 0
0.15 2.85 0 0.10442 1.74834 0
0.15 2.95 0 1.89776 1.02759 0
0.15 3.05 0 5.9993 0.231021 0
0.25 0.05 0 -0.00148947 0.031232 0
0.25 0.15 0 -0.00501007 0.0672176 0
0.25 0.25 0 -0.00810015 0.0748096 0
0.25 0.35 0 -0.0107164 0.0805916 0
0.25 0.45 0 -0.013092 0.0868737 0
0.25 0.55 0 -0.0154195 0.0940433 0
0.25 0.65 0 -0.0178305 0.102263 0
0.25 0.75 0 -0.0204202 0.111657 0
0.25 0.85 0 -0.0232687 0.122361 0
0.25 0.95 0 -0.0264551 0.134527 0
0.25 1.05 0 -0.0300679 0.148344 0
0.25 1.15 0 -0.0342138 0.164041 0
0.25 1.25 0 -0.0390287 0.181901 0
0.25 1.35 0 -0.0446912 0.202277 0
0.25 1.45 0 -0.0514418 0.225615 0
0.25 1.55 0 -0.0596124 0.252484 0
0.25 1.65 0 -0.0696704 0.283621 0
0.25 1.75 0 -0.0822898 0.319999 0
0.25 1.85 0 -0.0984673 0.362916 0
0.25 1.95 0 -0.119719 0.414126 0
0.25 2.05 0 -0.148424 0.476027 0
0.25 2.15 0 -0.188453 0.551885 0
0.25 2.25 0 -0.246294 0.64603 0
0.25 2.35 0 -0.332573 0.763663 0
0.25 2.45 0 -0.460581 0.908824 0
