x y z u v w
0.05 0.05 0 0.0203728 0.0426202 0
0.05 0.15 0 0.018113 0.0727128 0
0.05 0.25 0 0.0104902 0.0508334 0
0.05 0.35 0 0.00520986 0.0367196 0
0.05 0.45 0 0.00208001 0.0300471 0
0.05 0.55 0 0.000129002 0.0280113 0
0.05 0.65 0 -0.0012488 0.0290221 0
0.05 0.75 0 -0.00235392 0.0323048 0
0.05 0.85 0 -0.00333126 0.0374918 0
0.05 0.95 0 -0.00425647 0.0444169 0
0.05 1.05 0 -0.00517613 0.0530255 0
0.05 1.15 0 -0.00612576 0.0633375 0
0.05 1.25 0 -0.00713865 0.0754355 0
0.05 1.35 0 -0.00825176 0.0894654 0
0.05 1.45 0 -0.00951127 0.105648 0
0.05 1.55 0 -0.0109801 0.124301 0
0.05 1.65 0 -0.0127495 0.145882 0
0.05 1.75 0 -0.0149575 0.17105 0
0.05 1.85 0 -0.0178208 0.200784 0
0.05 1.95 0 -0.0216862 0.236558 0
0.05 2.05 0 -0.0271139 0.280655 0
0.05 2.15 0 -0.0350033 0.336643 0
0.05 2.25 0 -0.0467537 0.41012 0
0.05 2.35 0 -0.0643844 0.509691 0
0.05 2.45 0 -0.090288 0.647867 0
0.05 2.55 0 -0.125541 0.840395 0
0.05 2.65 0 -0.16356 1.09915 0
0.05 2.75 0 -0.170381 1.40477 0
0.05 2.85 0 -0.0304537 1.62882 0
0.05 2.95 0 0.585785 1.40191 0
0.05 3.05 0 2.50273 0.554895 0
0.15 0.05 0 0.0487723 0.0724552 0
0.15 0.15 0 0.0504683 0.136918 0
0.15 0.25 0 0.0326998 0.117753 0
0.15 0.35 0 0.0170749 0.0999995 0
0.15 0.45 0 0.00602839 0.0915693 0
0.15 0.55 0 -0.00181668 0.0917884 0
0.15 0.65 0 -0.00782673 0.0991664 0
0.15 0.75 0 -0.0128579 0.112587 0
0.15 0.85 0 -0.0174027 0.131385 0
0.15 0.95 0 -0.0217574 0.155241 0
0.15 1.05 0 -0.0261252 0.184087 0
0.15 1.15 0 -0.0306732 0.218059 0
0.15 1.25 0 -0.0355659 0.257486 0
0.15 1.35 0 -0.040991 0.302901 0
0.15 1.45 0 -0.0471843 0.355091 0
0.15 1.55 0 -0.054462 0.41517 0
0.15 1.65 0 -0.0632662 0.484685 0
0.15 1.75 0 -0.0742299 0.565786 0
0.15 1.85 0 -0.0882719 0.661434 0
0.15 1.95 0 -0.106727 0.775681 0
0.15 2.05 0 -0.131507 0.913954 0
0.15 2.15 0 -0.165231 1.08323 0
0.15 2.25 0 -0.211159 1.29174 0
0.15 2.35 0 -0.272368 1.54727 0
0.15 2.45 0 -0.348805 1.85225 0
0.15 2.55 0 -0.428883 2.19161 0
0.15 2.65 0 -0.468359 2.50738 0
0.15 2.75 0 -0.342556 2.65571 0
0.15 2.85 0 0.249916 2.37091 0
0.15 2.95 0 1.95392 1.39421 0
0.15 3.05 0 5.97479 0.354814 0
0.25 0.05 0 0.059479 0.085466 0
0.25 0.15 0 0.0721822 0.170304 0
0.25 0.25 0 0.0513757 0.163257 0
0.25 0.35 0 0.0267543 0.153859 0
0.25 0.45 0 0.005906 0.152868 0
0.25 0.55 0 -0.0108374 0.161789 0
0.25 0.65 0 -0.0246871 0.180224 0
0.25 0.75 0 -0.0367928 0.207467 0
0.25 0.85 0 -0.0479885 0.242985 0
0.25 0.95 0 -0.0588653 0.286533 0
0.25 1.05 0 -0.0698797 0.338156 0
0.25 1.15 0 -0.0814371 0.398181 0
0.25 1.25 0 -0.0939531 0.467228 0
0.25 1.35 0 -0.107907 0.546238 0
0.25 1.45 0 -0.123893 0.63654 0
0.25 1.55 0 -0.142686 0.739932 0
0.25 1.65 0 -0.165311 0.85879 0
0.25 1.75 0 -0.193138 0.996173 0
0.25 1.85 0 -0.227971 1.1559 0
0.25 1.95 0 -0.2721 1.34249 0
0.25 2.05 0 -0.32821 1.56078 0
0.25 2.15 0 -0.398877 1.8148 0
0.25 2.25 0 -0.485074 2.10524 0
0.25 2.35 0 -0.582497 2.42413 0
0.25 2.45 0 -0.673451 2.7451 0
0.25 2.55 0 -0.710697 3.0077 0
0.25 2.65 0 -0.588961 3.09852 0
0.25 2.75 0 -0.10333 2.84656 0
0.25 2.85 0 1.09187 2.08438 0
0.25 2.95 0 3.47426 0.878397 0
0.25 3.05 0 7.45572 0.0991232 0
0.35 0.05 0 0.0620843 0.0935962 0
0.35 0.15 0 0.0809814 0.193139 0
0.35 0.25 0 0.0585653 0.199416 0
0.35 0.35 0 0.0263108 0.203251 0
0.35 0.45 0 -0.00463944 0.215295 0
0.35 0.55 0 -0.0318497 0.237868 0
0.35 0.65 0 -0.0557725 0.271401 0
0.35 0.75 0 -0.0774916 0.31573 0
0.35 0.85 0 -0.098039 0.370647 0
0.35 0.95 0 -0.11828 0.436123 0
0.35 1.05 0 -0.138963 0.512398 0
0.35 1.15 0 -0.160797 0.600019 0
0.35 1.25 0 -0.18453 0.699869 0
0.35 1.35 0 -0.211018 0.813199 0
0.35 1.45 0 -0.241292 0.941672 0
0.35 1.55 0 -0.276625 1.0874 0
0.35 1.65 0 -0.318586 1.25292 0
0.35 1.75 0 -0.369058 1.44114 0
0.35 1.85 0 -0.430153 1.65501 0
0.35 1.95 0 -0.503902 1.8969 0
0.35 2.05 0 -0.591453 2.16718 0
0.35 2.15 0 -0.691279 2.46177 0
0.35 2.25 0 -0.795561 2.76769 0
0.35 2.35 0 -0.883472 3.05633 0
0.35 2.45 0 -0.909898 3.27444 0
0.35 2.55 0 -0.789156 3.3364 0
0.35 2.65 0 -0.377167 3.12788 0
0.35 2.75 0 0.535939 2.54129 0
0.35 2.85 0 2.19893 1.56719 0
0.35 2.95 0 4.803 0.451372 0
0.35 3.05 0 8.25904 -0.0446871 0
0.45 0.05 0 0.0595981 0.100535 0
0.45 0.15 0 0.0778166 0.213198 0
0.45 0.25 0 0.0515653 0.233143 0
0.45 0.35 0 0.0113454 0.252483 0
0.45 0.45 0 -0.0300894 0.280864 0
0.45 0.55 0 -0.0687656 0.320509 0
0.45 0.65 0 -0.104322 0.372194 0
0.45 0.75 0 -0.137602 0.436151 0
0.45 0.85 0 -0.169714 0.51249 0
0.45 0.95 0 -0.201742 0.60143 0
0.45 1.05 0 -0.234716 0.703415 0
0.45 1.15 0 -0.26966 0.819168 0
0.45 1.25 0 -0.30766 0.949723 0
0.45 1.35 0 -0.349929 1.09643 0
0.45 1.45 0 -0.397859 1.26092 0
