x y z u v w
0.05 0.05 0 0.00841207 0.0276794 0
0.05 0.15 0 0.00531088 0.0527857 0
0.05 0.25 0 0.00122176 0.0492348 0
0.05 0.35 0 -0.00114478 0.0493167 0
0.05 0.45 0 -0.00241329 0.0525936 0
0.05 0.55 0 -0.00319189 0.0577426 0
0.05 0.65 0 -0.00378261 0.064148 0
0.05 0.75 0 -0.00431852 0.0715854 0
0.05 0.85 0 -0.00486147 0.0800092 0
0.05 0.95 0 -0.00544581 0.0894619 0
0.05 1.05 0 -0.00609606 0.10004 0
0.05 1.15 0 -0.00683474 0.111882 0
0.05 1.25 0 -0.00768659 0.125169 0
0.05 1.35 0 -0.00868208 0.140133 0
0.05 1.45 0 -0.00986144 0.157069 0
0.05 1.55 0 -0.0112808 0.176357 0
0.05 1.65 0 -0.0130221 0.198503 0
0.05 1.75 0 -0.0152124 0.224196 0
0.05 1.85 0 -0.0180598 0.254424 0
0.05 1.95 0 -0.0219184 0.290681 0
0.05 2.05 0 -0.0274113 0.335304 0
0.05 2.15 0 -0.0355414 0.392126 0
0.05 2.25 0 -0.0479178 0.467143 0
0.05 2.35 0 -0.0663853 0.569637 0
0.05 2.45 0 -0.0929571 0.711847 0
0.05 2.55 0 -0.126716 0.907725 0
0.05 2.65 0 -0.159664 1.16377 0
0.05 2.75 0 -0.156129 1.45322 0
0.05 2.85 0 -0.00397616 1.64188 0
0.05 2.95 0 0.619331 1.36748 0
0.05 3.05 0 2.52358 0.525513 0
0.15 0.05 0 0.0143239 0.0495141 0
0.15 0.15 0 0.00813415 0.105036 0
0.15 0.25 0 -0.00103161 0.114785 0
0.15 0.35 0 -0.00718395 0.12343 0
0.15 0.45 0 -0.0110549 0.134547 0
0.15 0.55 0 -0.0138041 0.148154 0
0.15 0.65 0 -0.0161136 0.164066 0
0.15 0.75 0 -0.0183295 0.182238 0
0.15 0.85 0 -0.0206372 0.20276 0
0.15 0.95 0 -0.023155 0.225836 0
0.15 1.05 0 -0.0259784 0.251762 0
0.15 1.15 0 -0.0292027 0.280932 0
0.15 1.25 0 -0.032938 0.313847 0
0.15 1.35 0 -0.037324 0.351146 0
0.15 1.45 0 -0.0425482 0.393652 0
0.15 1.55 0 -0.0488738 0.44244 0
0.15 1.65 0 -0.0566869 0.498951 0
0.15 1.75 0 -0.0665791 0.565176 0
0.15 1.85 0 -0.0794969 0.643955 0
0.15 1.95 0 -0.0969919 0.739464 0
0.15 2.05 0 -0.121573 0.857954 0
0.15 2.15 0 -0.156969 1.00851 0
0.15 2.25 0 -0.207781 1.20335 0
0.15 2.35 0 -0.277393 1.4554 0
0.15 2.45 0 -0.362928 1.77113 0
0.15 2.55 0 -0.44525 2.13318 0
0.15 2.65 0 -0.470411 2.47197 0
0.15 2.75 0 -0.310058 2.62499 0
0.15 2.85 0 0.32473 2.31475 0
0.15 2.95 0 2.04839 1.30063 0
0.15 3.05 0 6.02903 0.299563 0
0.25 0.05 0 0.00553905 0.056817 0
0.25 0.15 0 -0.00189765 0.124996 0
0.25 0.25 0 -0.0119184 0.144058 0
0.25 0.35 0 -0.0199279 0.159629 0
0.25 0.45 0 -0.026032 0.176251 0
0.25 0.55 0 -0.0311033 0.194879 0
0.25 0.65 0 -0.0358079 0.2159 0
0.25 0.75 0 -0.040563 0.23958 0
0.25 0.85 0 -0.0456407 0.266198 0
