x y z u v w
0.05 0.05 0 0.0197363 0.0409815 0
0.05 0.15 0 0.0173098 0.0700167 0
0.05 0.25 0 0.00967514 0.0494556 0
0.05 0.35 0 0.00437791 0.036843 0
0.05 0.45 0 0.00124745 0.0317012 0
0.05 0.55 0 -0.000670773 0.0311693 0
0.05 0.65 0 -0.00198558 0.0335973 0
0.05 0.75 0 -0.00300978 0.0381658 0
0.05 0.85 0 -0.0039012 0.0444857 0
0.05 0.95 0 -0.00474557 0.0523903 0
0.05 1.05 0 -0.00559549 0.0618395 0
0.05 1.15 0 -0.00648836 0.072875 0
0.05 1.25 0 -0.00745538 0.085601 0
0.05 1.35 0 -0.00852779 0.100178 0
0.05 1.45 0 -0.00974319 0.116827 0
0.05 1.55 0 -0.0111542 0.135852 0
0.05 1.65 0 -0.0128418 0.157675 0
0.05 1.75 0 -0.0149365 0.182906 0
0.05 1.85 0 -0.0176522 0.212461 0
0.05 1.95 0 -0.0213406 0.247761 0
0.05 2.05 0 -0.0265756 0.291047 0
0.05 2.15 0 -0.0342769 0.345881 0
0.05 2.25 0 -0.0458673 0.417892 0
0.05 2.35 0 -0.0633836 0.515756 0
0.05 2.45 0 -0.089218 0.652074 0
0.05 2.55 0 -0.124413 0.84265 0
0.05 2.65 0 -0.162302 1.09932 0
0.05 2.75 0 -0.168797 1.40249 0
0.05 2.85 0 -0.0282624 1.62336 0
0.05 2.95 0 0.588556 1.393 0
0.05 3.05 0 2.50465 0.549626 0
0.15 0.05 0 0.0470018 0.0701903 0
0.15 0.15 0 0.0472712 0.133756 0
0.15 0.25 0 0.0288531 0.118152 0
0.15 0.35 0 0.0129692 0.10503 0
0.15 0.45 0 0.0019549 0.101439 0
0.15 0.55 0 -0.00563735 0.106276 0
0.15 0.65 0 -0.0112544 0.117816 0
0.15 0.75 0 -0.0158306 0.134838 0
0.15 0.85 0 -0.0199219 0.156661 0
0.15 0.95 0 -0.0238686 0.183014 0
0.15 1.05 0 -0.0278974 0.21391 0
0.15 1.15 0 -0.0321784 0.249578 0
0.15 1.25 0 -0.036861 0.290425 0
0.15 1.35 0 -0.0421005 0.337036 0
0.15 1.45 0 -0.0480877 0.390198 0
0.15 1.55 0 -0.0550877 0.450965 0
0.15 1.65 0 -0.0634937 0.520771 0
0.15 1.75 0 -0.0739053 0.601604 0
0.15 1.85 0 -0.0872353 0.69625 0
0.15 1.95 0 -0.10485 0.808603 0
0.15 2.05 0 -0.128731 0.944003 0
0.15 2.15 0 -0.1616 1.10945 0
0.15 2.25 0 -0.206825 1.3133 0
0.15 2.35 0 -0.267556 1.56359 0
0.15 2.45 0 -0.343737 1.863 0
0.15 2.55 0 -0.423653 2.19667 0
0.15 2.65 0 -0.462813 2.50666 0
0.15 2.75 0 -0.336266 2.64902 0
0.15 2.85 0 0.257323 2.3583 0
0.15 2.95 0 1.96169 1.37783 0
0.15 3.05 0 5.97917 0.34618 0
0.25 0.05 0 0.0559922 0.0840907 0
0.25 0.15 0 0.0643087 0.170426 0
0.25 0.25 0 0.0412319 0.170315 0
0.25 0.35 0 0.0158733 0.169308 0
0.25 0.45 0 -0.00468602 0.176752 0
0.25 0.55 0 -0.0205117 0.193403 0
0.25 0.65 0 -0.033122 0.218506 0
0.25 0.75 0 -0.0438972 0.251252 0
0.25 0.85 0 -0.0538328 0.291163 0
0.25 0.95 0 -0.0636209 0.338142 0
0.25 1.05 0 -0.0737633 0.392427 0
0.25 1.15 0 -0.08466 0.454538 0
0.25 1.25 0 -0.0966747 0.525253 0
0.25 1.35 0 -0.110193 0.60561 0
0.25 1.45 0 -0.125686 0.696939 0
0.25 1.55 0 -0.143791 0.800937 0
0.25 1.65 0 -0.16541 0.919778 0
0.25 1.75 0 -0.191833 1.05625 0
0.25 1.85 0 -0.224858 1.21387 0
0.25 1.95 0 -0.266871 1.39692 0
0.25 2.05 0 -0.320751 1.6101 0
0.25 2.15 0 -0.389337 1.85751 0
0.25 2.25 0 -0.47387 2.14007 0
0.25 2.35 0 -0.570226 2.45024 0
0.25 2.45 0 -0.660708 2.76208 0
0.25 2.55 0 -0.697847 3.01553 0
0.25 2.65 0 -0.575992 3.09745 0
0.25 2.75 0 -0.0900066 2.83718 0
0.25 2.85 0 1.1053 2.06814 0
0.25 2.95 0 3.4858 0.859184 0
0.25 3.05 0 7.4608 0.0894821 0
0.35 0.05 0 0.0546788 0.0942196 0
0.35 0.15 0 0.0645358 0.199692 0
0.35 0.25 0 0.0377912 0.217803 0
0.35 0.35 0 0.00458713 0.234662 0
0.35 0.45 0 -0.0251925 0.259038 0
0.35 0.55 0 -0.0500706 0.292342 0
0.35 0.65 0 -0.0711757 0.334665 0
0.35 0.75 0 -0.0900493 0.385852 0
0.35 0.85 0 -0.108017 0.445898 0
0.35 0.95 0 -0.126111 0.515085 0
0.35 1.05 0 -0.14514 0.593998 0
0.35 1.15 0 -0.165778 0.683512 0
0.35 1.25 0 -0.188651 0.78477 0
0.35 1.35 0 -0.214419 0.899178 0
0.35 1.45 0 -0.243859 1.02841 0
0.35 1.55 0 -0.277973 1.17444 0
0.35 1.65 0 -0.318089 1.33951 0
0.35 1.75 0 -0.365938 1.52614 0
0.35 1.85 0 -0.423639 1.73685 0
0.35 1.95 0 -0.49342 1.97364 0
0.35 2.05 0 -0.576814 2.23672 0
0.35 2.15 0 -0.672804 2.52206 0
0.35 2.25 0 -0.774086 2.81706 0
0.35 2.35 0 -0.860177 3.09364 0
0.35 2.45 0 -0.885999 3.29923 0
0.35 2.55 0 -0.765565 3.34885 0
0.35 2.65 0 -0.354355 3.12877 0
0.35 2.75 0 0.557632 2.53208 0
0.35 2.85 0 2.21844 1.5504 0
0.35 2.95 0 4.81761 0.431627 0
0.35 3.05 0 8.26452 -0.0545402 0
0.45 0.05 0 0.0447003 0.103926 0
0.45 0.15 0 0.0472423 0.228483 0
0.45 0.25 0 0.014745 0.266395 0
0.45 0.35 0 -0.0257244 0.304007 0
0.45 0.45 0 -0.0639916 0.348664 0
0.45 0.55 0 -0.097852 0.401696 0
0.45 0.65 0 -0.128096 0.463723 0
0.45 0.75 0 -0.156292 0.535224 0
0.45 0.85 0 -0.183977 0.616752 0
0.45 0.95 0 -0.212458 0.709057 0
0.45 1.05 0 -0.242818 0.813121 0
0.45 1.15 0 -0.275985 0.930159 0
0.45 1.25 0 -0.312817 1.06159 0
0.45 1.35 0 -0.354175 1.20898 0
0.45 1.45 0 -0.40101 1.374 0
0.45 1.55 0 -0.454438 1.55833 0
0.45 1.65 0 -0.515767 1.76344 0
0.45 1.75 0 -0.586417 1.99026 0
0.45 1.85 0 -0.667566 2.23859 0
0.45 1.95 0 -0.759279 2.50581 0
0.45 2.05 0 -0.858714 2.78495 0
0.45 2.15 0 -0.956836 3.06139 0
0.45 2.25 0 -1.033 3.3084 0
0.45 2.35 0 -1.04705 3.48199 0
0.45 2.45 0 -0.92971 3.51786 0
0.45 2.55 0 -0.574926 3.33632 0
0.45 2.65 0 0.158143 2.86446 0
0.45 2.75 0 1.42215 2.08243 0
0.45 2.85 0 3.32812 1.08762 0
0.45 2.95 0 5.85749 0.158573 0
0.45 3.05 0 8.73394 -0.120763 0
0.55 0.05 0 0.0252923 0.113834 0
0.55 0.15 0 0.011481 0.258152 0
0.55 0.25 0 -0.0297296 0.316933 0
0.55 0.35 0 -0.0775152 0.376639 0
0.55 0.45 0 -0.123571 0.44312 0
0.55 0.55 0 -0.165988 0.517372 0
0.55 0.65 0 -0.205534 0.600349 0
0.55 0.75 0 -0.24381 0.693073 0
0.55 0.85 0 -0.282487 0.796644 0
0.55 0.95 0 -0.323059 0.912276 0
0.55 1.05 0 -0.3668 1.04132 0
0.55 1.15 0 -0.414801 1.18524 0
0.55 1.25 0 -0.468018 1.34554 0
0.55 1.35 0 -0.527313 1.52368 0
0.55 1.45 0 -0.593488 1.72087 0
0.55 1.55 0 -0.667269 1.93782 0
0.55 1.65 0 -0.749178 2.1743 0
0.55 1.75 0 -0.839187 2.42854 0
0.55 1.85 0 -0.935912 2.69612 0
0.55 1.95 0 -1.03508 2.96843 0
0.55 2.05 0 -1.12689 3.23034 0
0.55 2.15 0 -1.19186 3.45735 0
0.55 2.25 0 -1.1954 3.61274 0
0.55 2.35 0 -1.08185 3.64664 0
0.55 2.45 0 -0.771025 3.50049 0
0.55 2.55 0 -0.161989 3.12145 0
