x y z p
0.05 0.05 0 -9.53859
0.05 0.15 0 -11.3617
0.05 0.25 0 -12.3792
0.05 0.35 0 -13.2784
0.05 0.45 0 -14.2033
0.05 0.55 0 -15.2111
0.05 0.65 0 -16.3338
0.05 0.75 0 -17.5942
0.05 0.85 0 -19.0125
0.05 0.95 0 -20.6082
0.05 1.05 0 -22.402
0.05 1.15 0 -24.4166
0.05 1.25 0 -26.6775
0.05 1.35 0 -29.2141
0.05 1.45 0 -32.06
0.05 1.55 0 -35.255
0.05 1.65 0 -38.846
0.05 1.75 0 -42.8898
0.05 1.85 0 -47.4561
0.05 1.95 0 -52.6328
0.05 2.05 0 -58.5361
0.05 2.15 0 -65.3222
0.05 2.25 0 -73.2304
0.05 2.35 0 -82.6021
0.05 2.45 0 -94.0513
0.05 2.55 0 -108.462
0.05 2.65 0 -127.487
0.05 2.75 0 -153.504
0.05 2.85 0 -190.282
0.05 2.95 0 -239.845
0.05 3.05 0 -275.279
0.15 0.05 0 -10.2378
0.15 0.15 0 -11.6416
0.15 0.25 0 -12.455
0.15 0.35 0 -13.2731
0.15 0.45 0 -14.1622
0.15 0.55 0 -15.1506
0.15 0.65 0 -16.2601
0.15 0.75 0 -17.5097
0.15 0.85 0 -18.9178
0.15 0.95 0 -20.5031
0.15 1.05 0 -22.2858
0.15 1.15 0 -24.2882
0.15 1.25 0 -26.5355
0.15 1.35 0 -29.0565
0.15 1.45 0 -31.8848
0.15 1.55 0 -35.0596
0.15 1.65 0 -38.6273
0.15 1.75 0 -42.6441
0.15 1.85 0 -47.1789
0.15 1.95 0 -52.3186
0.15 2.05 0 -58.1759
0.15 2.15 0 -64.9059
0.15 2.25 0 -72.7204
0.15 2.35 0 -81.9518
0.15 2.45 0 -93.0438
0.15 2.55 0 -106.714
0.15 2.65 0 -123.712
0.15 2.75 0 -144.852
0.15 2.85 0 -169.733
0.15 2.95 0 -193.433
0.15 3.05 0 -186.115
0.25 0.05 0 -10.6448
0.25 0.15 0 -11.8313
0.25 0.25 0 -12.4762
0.25 0.35 0 -13.1962
0.25 0.45 0 -14.0267
0.25 0.55 0 -14.9756
0.25 0.65 0 -16.0542
0.25 0.75 0 -17.2761
0.25 0.85 0 -18.657
0.25 0.95 0 -20.2137
0.25 1.05 0 -21.9652
0.25 1.15 0 -23.9329
0.25 1.25 0 -26.141
0.25 1.35 0 -28.6175
0.25 1.45 0 -31.3945
0.25 1.55 0 -34.5099
0.25 1.65 0 -38.0081
0.25 1.75 0 -41.9426
0.25 1.85 0 -46.3785
0.25 1.95 0 -51.3968
0.25 2.05 0 -57.101
0.25 2.15 0 -63.6241
0.25 2.25 0 -71.1481
0.25 2.35 0 -79.8945
0.25 2.45 0 -90.1679
0.25 2.55 0 -102.191
0.25 2.65 0 -116.107
0.25 2.75 0 -131.372
0.25 2.85 0 -146.504
0.25 2.95 0 -156.15
0.25 3.05 0 -138.812
0.35 0.05 0 -10.7341
0.35 0.15 0 -11.8265
0.35 0.25 0 -12.3677
0.35 0.35 0 -13.0059
0.35 0.45 0 -13.7741
0.35 0.55 0 -14.6728
0.35 0.65 0 -15.7071
0.35 0.75 0 -16.8865
0.35 0.85 0 -18.2236
0.35 0.95 0 -19.7335
0.35 1.05 0 -21.4336
0.35 1.15 0 -23.3436
0.35 1.25 0 -25.4863
0.35 1.35 0 -27.8881
0.35 1.45 0 -30.5789
0.35 1.55 0 -33.5939
0.35 1.65 0 -36.9742
0.35 1.75 0 -40.7682
0.35 1.85 0 -45.0338
0.35 1.95 0 -49.841
0.35 2.05 0 -55.2745
0.35 2.15 0 -61.4378
0.35 2.25 0 -68.4488
0.35 2.35 0 -76.4384
0.35 2.45 0 -85.483
0.35 2.55 0 -95.5778
0.35 2.65 0 -106.381
0.35 2.75 0 -117.254
0.35 2.85 0 -126.648
0.35 2.95 0 -130.529
0.35 3.05 0 -113.011
0.45 0.05 0 -10.5821
0.45 0.15 0 -11.6261
0.45 0.25 0 -12.1063
0.45 0.35 0 -12.6819
0.45 0.45 0 -13.3916
0.45 0.55 0 -14.2353
0.45 0.65 0 -15.2158
0.45 0.75 0 -16.3403
0.45 0.85 0 -17.6191
0.45 0.95 0 -19.0652
0.45 1.05 0 -20.6942
0.45 1.15 0 -22.5243
0.45 1.25 0 -24.5763
0.45 1.35 0 -26.8739
0.45 1.45 0 -29.4446
0.45 1.55 0 -32.3196
0.45 1.65 0 -35.5349
0.45 1.75 0 -39.132
0.45 1.85 0 -43.1586
0.45 1.95 0 -47.6692
0.45 2.05 0 -52.725
0.45 2.15 0 -58.391
0.45 2.25 0 -64.728
0.45 2.35 0 -71.7681
0.45 2.45 0 -79.4841
0.45 2.55 0 -87.698
0.45 2.65 0 -96.0722
0.45 2.75 0 -103.945
0.45 2.85 0 -110.203
0.45 2.95 0 -111.652
0.45 3.05 0 -96.0931
0.55 0.05 0 -10.2513
0.55 0.15 0 -11.2544
0.55 0.25 0 -11.6942
0.55 0.35 0 -12.2199
