x y z u v w
0.05 0.05 0 0.018818 0.0391499 0
0.05 0.15 0 0.0161557 0.0672265 0
0.05 0.25 0 0.00863994 0.0484744 0
0.05 0.35 0 0.00350053 0.0376016 0
0.05 0.45 0 0.000521458 0.03393 0
0.05 0.55 0 -0.00125377 0.0346001 0
0.05 0.65 0 -0.00243467 0.0379768 0
0.05 0.75 0 -0.00333605 0.043259 0
0.05 0.85 0 -0.004118 0.0500795 0
0.05 0.95 0 -0.00486846 0.0582983 0
0.05 1.05 0 -0.00564273 0.067906 0
0.05 1.15 0 -0.00648149 0.0789809 0
0.05 1.25 0 -0.00741963 0.0916695 0
0.05 1.35 0 -0.00849155 0.106181 0
0.05 1.45 0 -0.00973586 0.122791 0
0.05 1.55 0 -0.011202 0.141851 0
0.05 1.65 0 -0.0129612 0.163822 0
0.05 1.75 0 -0.0151268 0.18933 0
0.05 1.85 0 -0.0178887 0.219267 0
0.05 1.95 0 -0.0215716 0.254982 0
0.05 2.05 0 -0.0267263 0.298603 0
0.05 2.15 0 -0.0342631 0.353547 0
0.05 2.25 0 -0.0456169 0.425305 0
0.05 2.35 0 -0.0628597 0.522458 0
0.05 2.45 0 -0.0884334 0.65759 0
0.05 2.55 0 -0.12342 0.846576 0
0.05 2.65 0 -0.161153 1.10135 0
0.05 2.75 0 -0.167476 1.40238 0
0.05 2.85 0 -0.0266738 1.62077 0
0.05 2.95 0 0.590373 1.38796 0
0.05 3.05 0 2.50585 0.546547 0
0.15 0.05 0 0.0441 0.0679868 0
0.15 0.15 0 0.0427249 0.131321 0
0.15 0.25 0 0.0242766 0.120167 0
0.15 0.35 0 0.0089076 0.11182 0
0.15 0.45 0 -0.00143339 0.112456 0
0.15 0.55 0 -0.00833493 0.120746 0
0.15 0.65 0 -0.0132985 0.13495 0
0.15 0.75 0 -0.0172804 0.153903 0
0.15 0.85 0 -0.0208465 0.177004 0
0.15 0.95 0 -0.024345 0.204069 0
0.15 1.05 0 -0.0280132 0.235209 0
0.15 1.15 0 -0.0320365 0.270764 0
0.15 1.25 0 -0.0365823 0.311271 0
0.15 1.35 0 -0.0418213 0.357462 0
0.15 1.45 0 -0.0479486 0.410285 0
0.15 1.55 0 -0.0552114 0.470942 0
0.15 1.65 0 -0.0639534 0.540978 0
0.15 1.75 0 -0.074688 0.622405 0
0.15 1.85 0 -0.0882111 0.717915 0
0.15 1.95 0 -0.105763 0.831173 0
0.15 2.05 0 -0.129226 0.967167 0
0.15 2.15 0 -0.161292 1.13248 0
0.15 2.25 0 -0.205401 1.33511 0
0.15 2.35 0 -0.264882 1.58288 0
0.15 2.45 0 -0.339913 1.8785 0
0.15 2.55 0 -0.418976 2.20739 0
0.15 2.65 0 -0.457622 2.51199 0
0.15 2.75 0 -0.330763 2.64877 0
0.15 2.85 0 0.263051 2.3528 0
0.15 2.95 0 1.96708 1.36887 0
0.15 3.05 0 5.98202 0.341203 0
0.25 0.05 0 0.0499729 0.082957 0
0.25 0.15 0 0.0537606 0.171661 0
0.25 0.25 0 0.0300872 0.179088 0
0.25 0.35 0 0.00583738 0.185777 0
0.25 0.45 0 -0.0130306 0.199892 0
0.25 0.55 0 -0.0270764 0.221882 0
0.25 0.65 0 -0.0380106 0.251002 0
0.25 0.75 0 -0.0472771 0.286562 0
0.25 0.85 0 -0.0558901 0.328232 0
0.25 0.95 0 -0.0645535 0.376064 0
0.25 1.05 0 -0.0737923 0.430454 0
0.25 1.15 0 -0.0840447 0.492101 0
0.25 1.25 0 -0.095722 0.561995 0
0.25 1.35 0 -0.109252 0.64142 0
0.25 1.45 0 -0.125118 0.731976 0
0.25 1.55 0 -0.143908 0.835615 0
0.25 1.65 0 -0.166395 0.954694 0
0.25 1.75 0 -0.193641 1.09204 0
0.25 1.85 0 -0.227142 1.25103 0
0.25 1.95 0 -0.268966 1.43553 0
0.25 2.05 0 -0.321751 1.64966 0
0.25 2.15 0 -0.388283 1.89684 0
0.25 2.25 0 -0.470012 2.1774 0
0.25 2.35 0 -0.56328 2.48345 0
0.25 2.45 0 -0.650997 2.78915 0
0.25 2.55 0 -0.686206 3.03488 0
0.25 2.65 0 -0.563467 3.10824 0
0.25 2.75 0 -0.0775361 2.83946 0
0.25 2.85 0 1.11683 2.06302 0
0.25 2.95 0 3.49487 0.849681 0
0.25 3.05 0 7.46455 0.0841718 0
0.35 0.05 0 0.0432611 0.094501 0
0.35 0.15 0 0.0448084 0.205412 0
0.35 0.25 0 0.0171436 0.234089 0
0.35 0.35 0 -0.0137945 0.26102 0
0.35 0.45 0 -0.0402617 0.293751 0
0.35 0.55 0 -0.0617279 0.333491 0
0.35 0.65 0 -0.0796759 0.38046 0
0.35 0.75 0 -0.0957459 0.434723 0
0.35 0.85 0 -0.111277 0.496497 0
0.35 0.95 0 -0.127311 0.566274 0
