x y z u v w
0.05 0.05 0 0.0202592 0.0422996 0
0.05 0.15 0 0.0179574 0.0721843 0
0.05 0.25 0 0.010302 0.0505886 0
0.05 0.35 0 0.00498005 0.0368579 0
0.05 0.45 0 0.00181465 0.0306425 0
0.05 0.55 0 -0.000157024 0.0291163 0
0.05 0.65 0 -0.00153981 0.0306606 0
0.05 0.75 0 -0.00263737 0.0344748 0
0.05 0.85 0 -0.00359848 0.0401713 0
0.05 0.95 0 -0.00450191 0.047571 0
0.05 1.05 0 -0.00539598 0.0566102 0
0.05 1.15 0 -0.00631657 0.0673024 0
0.05 1.25 0 -0.00729626 0.079723 0
0.05 1.35 0 -0.00837062 0.094009 0
0.05 1.45 0 -0.00958447 0.11037 0
0.05 1.55 0 -0.011 0.12911 0
0.05 1.65 0 -0.0127087 0.150673 0
0.05 1.75 0 -0.0148509 0.175708 0
0.05 1.85 0 -0.0176469 0.205186 0
0.05 1.95 0 -0.0214487 0.240586 0
0.05 2.05 0 -0.0268223 0.284201 0
0.05 2.15 0 -0.0346721 0.339625 0
0.05 2.25 0 -0.0463999 0.412482 0
0.05 2.35 0 -0.0640231 0.511409 0
0.05 2.45 0 -0.089925 0.648938 0
0.05 2.55 0 -0.125162 0.840811 0
0.05 2.65 0 -0.163116 1.09885 0
0.05 2.75 0 -0.169777 1.40358 0
0.05 2.85 0 -0.0295651 1.62637 0
0.05 2.95 0 0.586943 1.39806 0
0.05 3.05 0 2.50354 0.552631 0
0.15 0.05 0 0.0484754 0.0719957 0
0.15 0.15 0 0.0498067 0.136306 0
0.15 0.25 0 0.0317412 0.118025 0
0.15 0.35 0 0.0158818 0.101584 0
0.15 0.45 0 0.0046854 0.0946978 0
0.15 0.55 0 -0.00322129 0.0965594 0
0.15 0.65 0 -0.00921909 0.105577 0
0.15 0.75 0 -0.0141854 0.120564 0
0.15 0.85 0 -0.0186323 0.140813 0
0.15 0.95 0 -0.0228697 0.165978 0
0.15 1.05 0 -0.0271073 0.195981 0
0.15 1.15 0 -0.0315116 0.230944 0
0.15 1.25 0 -0.036242 0.271179 0
0.15 1.35 0 -0.0414783 0.317195 0
0.15 1.45 0 -0.0474492 0.369744 0
0.15 1.55 0 -0.0544681 0.429899 0
0.15 1.65 0 -0.0629801 0.49917 0
0.15 1.75 0 -0.0736298 0.579677 0
0.15 1.85 0 -0.087356 0.674373 0
0.15 1.95 0 -0.105519 0.787328 0
0.15 2.05 0 -0.130058 0.92402 0
0.15 2.15 0 -0.163614 1.09151 0
0.15 2.25 0 -0.209456 1.2981 0
0.15 2.35 0 -0.270647 1.55169 0
0.15 2.45 0 -0.347093 1.85475 0
0.15 2.55 0 -0.427133 2.19221 0
0.15 2.65 0 -0.466424 2.50601 0
0.15 2.75 0 -0.340201 2.65221 0
0.15 2.85 0 0.252861 2.36519 0
0.15 2.95 0 1.95712 1.38708 0
0.15 3.05 0 5.97663 0.351095 0
0.25 0.05 0 0.0588951 0.0852114 0
0.25 0.15 0 0.0704353 0.17049 0
0.25 0.25 0 0.0487017 0.165269 0
0.25 0.35 0 0.0234694 0.15836 0
0.25 0.45 0 0.00231554 0.160162 0
0.25 0.55 0 -0.0144827 0.171924 0
0.25 0.65 0 -0.0282071 0.19308 0
0.25 0.75 0 -0.0400749 0.222827 0
0.25 0.85 0 -0.0509719 0.260588 0
0.25 0.95 0 -0.0615208 0.306105 0
0.25 1.05 0 -0.0721889 0.359422 0
0.25 1.15 0 -0.0833746 0.420859 0
0.25 1.25 0 -0.0954753 0.491017 0
0.25 1.35 0 -0.108947 0.570799 0
0.25 1.45 0 -0.124364 0.661475 0
0.25 1.55 0 -0.142495 0.764776 0
0.25 1.65 0 -0.164375 0.883014 0
0.25 1.75 0 -0.191408 1.01921 0
0.25 1.85 0 -0.225452 1.17716 0
0.25 1.95 0 -0.268866 1.36145 0
0.25 2.05 0 -0.324402 1.57699 0
0.25 2.15 0 -0.394689 1.82796 0
0.25 2.25 0 -0.480716 2.1152 0
0.25 2.35 0 -0.578139 2.43089 0
0.25 2.45 0 -0.669171 2.74874 0
0.25 2.55 0 -0.70643 3.0083 0
0.25 2.65 0 -0.584508 3.09617 0
0.25 2.75 0 -0.0984752 2.84138 0
0.25 2.85 0 1.09705 2.07682 0
0.25 2.95 0 3.47887 0.869934 0
0.25 3.05 0 7.45779 0.0949484 0
0.35 0.05 0 0.0607184 0.0938584 0
0.35 0.15 0 0.0771055 0.195029 0
0.35 0.25 0 0.0528543 0.204572 0
0.35 0.35 0 0.019551 0.212421 0
0.35 0.45 0 -0.0117758 0.228686 0
0.35 0.55 0 -0.0388722 0.25533 0
0.35 0.65 0 -0.0623702 0.292579 0
0.35 0.75 0 -0.083499 0.340185 0
0.35 0.85 0 -0.103391 0.397925 0
0.35 0.95 0 -0.122963 0.465796 0
0.35 1.05 0 -0.142972 0.54407 0
0.35 1.15 0 -0.164104 0.63331 0
0.35 1.25 0 -0.18706 0.734384 0
