x y z p
0.05 0.05 0 -16.4931
0.05 0.15 0 -19.4702
0.05 0.25 0 -20.7601
0.05 0.35 0 -21.5688
0.05 0.45 0 -22.1684
0.05 0.55 0 -22.6756
0.05 0.65 0 -23.1582
0.05 0.75 0 -23.6645
0.05 0.85 0 -24.2336
0.05 0.95 0 -24.9011
0.05 1.05 0 -25.701
0.05 1.15 0 -26.6673
0.05 1.25 0 -27.8353
0.05 1.35 0 -29.2425
0.05 1.45 0 -30.9295
0.05 1.55 0 -32.9416
0.05 1.65 0 -35.3305
0.05 1.75 0 -38.1562
0.05 1.85 0 -41.4909
0.05 1.95 0 -45.4244
0.05 2.05 0 -50.073
0.05 2.15 0 -55.5943
0.05 2.25 0 -62.214
0.05 2.35 0 -70.2734
0.05 2.45 0 -80.3174
0.05 2.55 0 -93.2556
0.05 2.65 0 -110.648
0.05 2.75 0 -135.146
0.05 2.85 0 -170.789
0.05 2.95 0 -220.498
0.05 3.05 0 -259.145
0.15 0.05 0 -17.7674
0.15 0.15 0 -20.0711
0.15 0.25 0 -21.0187
0.15 0.35 0 -21.6888
0.15 0.45 0 -22.2252
0.15 0.55 0 -22.6963
0.15 0.65 0 -23.1534
0.15 0.75 0 -23.6387
0.15 0.85 0 -24.189
0.15 0.95 0 -24.8388
0.15 1.05 0 -25.6212
0.15 1.15 0 -26.5697
0.15 1.25 0 -27.7193
0.15 1.35 0 -29.107
0.15 1.45 0 -30.773
0.15 1.55 0 -32.7624
0.15 1.65 0 -35.1261
0.15 1.75 0 -37.9239
0.15 1.85 0 -41.2271
0.15 1.95 0 -45.1245
0.15 2.05 0 -49.7301
0.15 2.15 0 -55.1963
0.15 2.25 0 -61.7345
0.15 2.35 0 -69.647
0.15 2.45 0 -79.3706
0.15 2.55 0 -91.5233
0.15 2.65 0 -106.907
0.15 2.75 0 -126.33
0.15 2.85 0 -149.808
0.15 2.95 0 -172.958
0.15 3.05 0 -168.192
0.25 0.05 0 -18.8677
0.25 0.15 0 -20.8131
0.25 0.25 0 -21.4488
0.25 0.35 0 -21.9274
0.25 0.45 0 -22.3437
0.25 0.55 0 -22.7314
0.25 0.65 0 -23.1238
0.25 0.75 0 -23.5542
0.25 0.85 0 -24.0549
0.25 0.95 0 -24.6573
0.25 1.05 0 -25.3931
0.25 1.15 0 -26.2946
0.25 1.25 0 -27.3955
0.25 1.35 0 -28.7319
0.25 1.45 0 -30.3432
0.25 1.55 0 -32.2733
0.25 1.65 0 -34.5719
0.25 1.75 0 -37.2969
0.25 1.85 0 -40.5171
0.25 1.95 0 -44.3166
0.25 2.05 0 -48.8002
0.25 2.15 0 -54.1007
0.25 2.25 0 -60.385
0.25 2.35 0 -67.8549
0.25 2.45 0 -76.7272
0.25 2.55 0 -87.1715
0.25 2.65 0 -99.1798
0.25 2.75 0 -112.356
0.25 2.85 0 -125.435
0.25 2.95 0 -133.932
0.25 3.05 0 -118.811
0.35 0.05 0 -19.7763
0.35 0.15 0 -21.5354
0.35 0.25 0 -21.9315
0.35 0.35 0 -22.2196
0.35 0.45 0 -22.4908
0.35 0.55 0 -22.7639
0.35 0.65 0 -23.0608
0.35 0.75 0 -23.4072
0.35 0.85 0 -23.8305
0.35 0.95 0 -24.3593
0.35 1.05 0 -25.0228
0.35 1.15 0 -25.8518
0.35 1.25 0 -26.8787
0.35 1.35 0 -28.1385
0.35 1.45 0 -29.6694
0.35 1.55 0 -31.514
0.35 1.65 0 -33.7204
0.35 1.75 0 -36.3437
0.35 1.85 0 -39.4481
0.35 1.95 0 -43.1078
0.35 2.05 0 -47.4078
0.35 2.15 0 -52.44
0.35 2.25 0 -58.2906
0.35 2.35 0 -65.0111
0.35 2.45 0 -72.5673
0.35 2.55 0 -80.777
0.35 2.65 0 -89.2777
0.35 2.75 0 -97.539
0.35 2.85 0 -104.597
0.35 2.95 0 -107.135
0.35 3.05 0 -91.7472
0.45 0.05 0 -20.5693
0.45 0.15 0 -22.2097
0.45 0.25 0 -22.4123
0.45 0.35 0 -22.5213
0.45 0.45 0 -22.6379
0.45 0.55 0 -22.7777
0.45 0.65 0 -22.9573
0.45 0.75 0 -23.1974
0.45 0.85 0 -23.5217
0.45 0.95 0 -23.9559
0.45 1.05 0 -24.5272
0.45 1.15 0 -25.2646
0.45 1.25 0 -26.1994
0.45 1.35 0 -27.3654
0.45 1.45 0 -28.7996
0.45 1.55 0 -30.5431
0.45 1.65 0 -32.6415
0.45 1.75 0 -35.1452
0.45 1.85 0 -38.1086
0.45 1.95 0 -41.5875
0.45 2.05 0 -45.6317
0.45 2.15 0 -50.2707
0.45 2.25 0 -55.4882
0.45 2.35 0 -61.1903
0.45 2.45 0 -67.1793
0.45 2.55 0 -73.1725
0.45 2.65 0 -78.8858
0.45 2.75 0 -84.075
0.45 2.85 0 -88.131
0.45 2.95 0 -88.4492
0.45 3.05 0 -74.9171
0.55 0.05 0 -21.3017
0.55 0.15 0 -22.8432
0.55 0.25 0 -22.8728
0.55 0.35 0 -22.8096
0.55 0.45 0 -22.767
0.55 0.55 0 -22.7621
0.55 0.65 0 -22.8094
0.55 0.75 0 -22.9273
0.55 0.85 0 -23.1368
0.55 0.95 0 -23.4614
0.55 1.05 0 -23.9265
0.55 1.15 0 -24.5597
0.55 1.25 0 -25.3909
0.55 1.35 0 -26.4528
0.55 1.45 0 -27.7808
0.55 1.55 0 -29.4135
0.55 1.65 0 -31.3915
0.55 1.75 0 -33.7561
0.55 1.85 0 -36.545
0.55 1.95 0 -39.7846
0.55 2.05 0 -43.4767
0.55 2.15 0 -47.5799
0.55 2.25 0 -51.9896
0.55 2.35 0 -56.5303
0.55 2.45 0 -60.9849
0.55 2.55 0 -65.173
0.55 2.65 0 -69.0291
0.55 2.75 0 -72.5086
