x y z p
0.05 0.05 0 -16.9085
0.05 0.15 0 -19.9627
0.05 0.25 0 -21.2858
0.05 0.35 0 -22.1145
0.05 0.45 0 -22.7288
0.05 0.55 0 -23.249
0.05 0.65 0 -23.7454
0.05 0.75 0 -24.2673
0.05 0.85 0 -24.855
0.05 0.95 0 -25.5442
0.05 1.05 0 -26.3688
0.05 1.15 0 -27.3626
0.05 1.25 0 -28.5602
0.05 1.35 0 -29.9982
0.05 1.45 0 -31.7163
0.05 1.55 0 -33.7591
0.05 1.65 0 -36.177
0.05 1.75 0 -39.0294
0.05 1.85 0 -42.3879
0.05 1.95 0 -46.3416
0.05 2.05 0 -51.0065
0.05 2.15 0 -56.5404
0.05 2.25 0 -63.1689
0.05 2.35 0 -71.2337
0.05 2.45 0 -81.2798
0.05 2.55 0 -94.2168
0.05 2.65 0 -111.605
0.05 2.75 0 -136.091
0.05 2.85 0 -171.711
0.05 2.95 0 -221.366
0.05 3.05 0 -259.855
0.15 0.05 0 -18.2169
0.15 0.15 0 -20.5808
0.15 0.25 0 -21.5524
0.15 0.35 0 -22.2384
0.15 0.45 0 -22.7873
0.15 0.55 0 -23.2701
0.15 0.65 0 -23.7401
0.15 0.75 0 -24.2405
0.15 0.85 0 -24.8092
0.15 0.95 0 -25.4806
0.15 1.05 0 -26.2878
0.15 1.15 0 -27.2641
0.15 1.25 0 -28.4436
0.15 1.35 0 -29.8625
0.15 1.45 0 -31.5602
0.15 1.55 0 -33.5805
0.15 1.65 0 -35.9738
0.15 1.75 0 -38.7985
0.15 1.85 0 -42.1257
0.15 1.95 0 -46.0434
0.15 2.05 0 -50.6654
0.15 2.15 0 -56.144
0.15 2.25 0 -62.6907
0.15 2.35 0 -70.6081
0.15 2.45 0 -80.3333
0.15 2.55 0 -92.4842
0.15 2.65 0 -107.862
0.15 2.75 0 -127.275
0.15 2.85 0 -150.736
0.15 2.95 0 -173.851
0.15 3.05 0 -168.952
0.25 0.05 0 -19.3508
0.25 0.15 0 -21.3461
0.25 0.25 0 -21.9961
0.25 0.35 0 -22.4839
0.25 0.45 0 -22.9083
0.25 0.55 0 -23.3047
0.25 0.65 0 -23.708
0.25 0.75 0 -24.1524
0.25 0.85 0 -24.6709
0.25 0.95 0 -25.295
0.25 1.05 0 -26.0562
0.25 1.15 0 -26.9863
0.25 1.25 0 -28.1182
0.25 1.35 0 -29.4871
0.25 1.45 0 -31.1314
0.25 1.55 0 -33.0937
0.25 1.65 0 -35.4228
0.25 1.75 0 -38.1756
0.25 1.85 0 -41.4201
0.25 1.95 0 -45.24
0.25 2.05 0 -49.7398
0.25 2.15 0 -55.052
0.25 2.25 0 -61.344
0.25 2.35 0 -68.8177
0.25 2.45 0 -77.6905
0.25 2.55 0 -88.132
0.25 2.65 0 -100.135
0.25 2.75 0 -113.304
0.25 2.85 0 -126.375
0.25 2.95 0 -134.853
0.25 3.05 0 -119.608
0.35 0.05 0 -20.2929
0.35 0.15 0 -22.0941
0.35 0.25 0 -22.4946
0.35 0.35 0 -22.7839
0.35 0.45 0 -23.0572
0.35 0.55 0 -23.3347
0.35 0.65 0 -23.6397
0.35 0.75 0 -23.9986
0.35 0.85 0 -24.4392
0.35 0.95 0 -24.9901
0.35 1.05 0 -25.6801
0.35 1.15 0 -26.5393
0.35 1.25 0 -27.5991
0.35 1.35 0 -28.8935
0.35 1.45 0 -30.4594
0.35 1.55 0 -32.3381
0.35 1.65 0 -34.5764
0.35 1.75 0 -37.2287
0.35 1.85 0 -40.3578
0.35 1.95 0 -44.0378
0.35 2.05 0 -48.3531
0.35 2.15 0 -53.3958
0.35 2.25 0 -59.2525
0.35 2.35 0 -65.9752
0.35 2.45 0 -73.5304
0.35 2.55 0 -81.7371
0.35 2.65 0 -90.2343
0.35 2.75 0 -98.4941
0.35 2.85 0 -105.553
0.35 2.95 0 -108.078
0.35 3.05 0 -92.5674
0.45 0.05 0 -21.1209
0.45 0.15 0 -22.7953
0.45 0.25 0 -22.9917
0.45 0.35 0 -23.0927
0.45 0.45 0 -23.2042
0.45 0.55 0 -23.3433
0.45 0.65 0 -23.5276
0.45 0.75 0 -23.7784
0.45 0.85 0 -24.1197
0.45 0.95 0 -24.5767
0.45 1.05 0 -25.1762
0.45 1.15 0 -25.9462
0.45 1.25 0 -26.9166
0.45 1.35 0 -28.12
0.45 1.45 0 -29.592
0.45 1.55 0 -31.3719
0.45 1.65 0 -33.5041
0.45 1.75 0 -36.0377
0.45 1.85 0 -39.0261
0.45 1.95 0 -42.5246
0.45 2.05 0 -46.5828
0.45 2.15 0 -51.2304
0.45 2.25 0 -56.452
0.45 2.35 0 -62.1544
0.45 2.45 0 -68.1416
0.45 2.55 0 -74.1328
0.45 2.65 0 -79.8461
0.45 2.75 0 -85.039
0.45 2.85 0 -89.1003
0.45 2.95 0 -89.4084
0.45 3.05 0 -75.7528
0.55 0.05 0 -21.8907
0.55 0.15 0 -23.4563
0.55 0.25 0 -23.4674
0.55 0.35 0 -23.3858
0.55 0.45 0 -23.3299
0.55 0.55 0 -23.3183
0.55 0.65 0 -23.3667
0.55 0.75 0 -23.4937
0.55 0.85 0 -23.7202
0.55 0.95 0 -24.0691
0.55 1.05 0 -24.5648
0.55 1.15 0 -25.2336
0.55 1.25 0 -26.104
0.55 1.35 0 -27.2068
0.55 1.45 0 -28.5758
0.55 1.55 0 -30.2475
0.55 1.65 0 -32.2611
0.55 1.75 0 -34.6564
0.55 1.85 0 -37.4702
0.55 1.95 0 -40.7282
0.55 2.05 0 -44.4324
0.55 2.15 0 -48.542
0.55 2.25 0 -52.9537
0.55 2.35 0 -57.4936
0.55 2.45 0 -61.9467
0.55 2.55 0 -66.1349
0.55 2.65 0 -69.9948
0.55 2.75 0 -73.482
0.55 2.85 0 -76.0715
0.55 2.95 0 -75.5801
0.55 3.05 0 -63.9327
