x y z u v w
0.05 0.05 0 0.0201856 0.042223 0
0.05 0.15 0 0.01797 0.0720114 0
0.05 0.25 0 0.0104474 0.0502591 0
0.05 0.35 0 0.00524728 0.0361417 0
0.05 0.45 0 0.00217332 0.0293419 0
0.05 0.55 0 0.000258529 0.0270937 0
0.05 0.65 0 -0.00109884 0.0278397 0
0.05 0.75 0 -0.00219654 0.030832 0
0.05 0.85 0 -0.00317733 0.035725 0
0.05 0.95 0 -0.0041151 0.042371 0
0.05 1.05 0 -0.005055 0.0507307 0
0.05 1.15 0 -0.00603127 0.0608373 0
0.05 1.25 0 -0.007076 0.0727838 0
0.05 1.35 0 -0.00822483 0.0867244 0
0.05 1.45 0 -0.00952242 0.102886 0
0.05 1.55 0 -0.0110299 0.121588 0
0.05 1.65 0 -0.0128365 0.143288 0
0.05 1.75 0 -0.0150781 0.16864 0
0.05 1.85 0 -0.0179692 0.198614 0
0.05 1.95 0 -0.021855 0.234672 0
0.05 2.05 0 -0.027295 0.279082 0
0.05 2.15 0 -0.0351886 0.335398 0
0.05 2.25 0 -0.0469372 0.409204 0
0.05 2.35 0 -0.0645645 0.509097 0
0.05 2.45 0 -0.0904711 0.647593 0
0.05 2.55 0 -0.125748 0.840458 0
0.05 2.65 0 -0.163836 1.09962 0
0.05 2.75 0 -0.170805 1.40584 0
0.05 2.85 0 -0.0311196 1.6308 0
0.05 2.95 0 0.584893 1.40495 0
0.05 3.05 0 2.50209 0.556668 0
0.15 0.05 0 0.0483464 0.07175 0
0.15 0.15 0 0.0501866 0.135445 0
0.15 0.25 0 0.0327537 0.11607 0
0.15 0.35 0 0.0174247 0.0978923 0
0.15 0.45 0 0.00659362 0.0888029 0
0.15 0.55 0 -0.00111409 0.0881953 0
0.15 0.65 0 -0.0070549 0.0946544 0
0.15 0.75 0 -0.0120747 0.107132 0
0.15 0.85 0 -0.0166567 0.125022 0
0.15 0.95 0 -0.0210893 0.148054 0
0.15 1.05 0 -0.0255691 0.1762 0
0.15 1.15 0 -0.0302574 0.209632 0
0.15 1.25 0 -0.0353129 0.248704 0
0.15 1.35 0 -0.0409169 0.293971 0
0.15 1.45 0 -0.0472977 0.346231 0
0.15 1.55 0 -0.0547628 0.406599 0
0.15 1.65 0 -0.0637441 0.476615 0
0.15 1.75 0 -0.0748642 0.558405 0
0.15 1.85 0 -0.0890324 0.6549 0
0.15 1.95 0 -0.107576 0.770108 0
0.15 2.05 0 -0.132404 0.909409 0
0.15 2.15 0 -0.16614 1.07974 0
0.15 2.25 0 -0.212053 1.28928 0
0.15 2.35 0 -0.273242 1.54582 0
0.15 2.45 0 -0.349689 1.85179 0
0.15 2.55 0 -0.429856 2.19218 0
0.15 2.65 0 -0.469565 2.50911 0
0.15 2.75 0 -0.344182 2.65884 0
0.15 2.85 0 0.247744 2.37559 0
0.15 2.95 0 1.95149 1.39987 0
0.15 3.05 0 5.97337 0.357741 0
0.25 0.05 0 0.0590745 0.0845189 0
0.25 0.15 0 0.0721618 0.168086 0
0.25 0.25 0 0.0520303 0.160246 0
0.25 0.35 0 0.0280173 0.149738 0
0.25 0.45 0 0.00761185 0.147341 0
0.25 0.55 0 -0.00886496 0.154671 0
0.25 0.65 0 -0.0226078 0.171442 0
0.25 0.75 0 -0.0347439 0.197051 0
0.25 0.85 0 -0.0460847 0.231054 0
0.25 0.95 0 -0.0572025 0.273276 0
0.25 1.05 0 -0.0685376 0.323821 0
0.25 1.15 0 -0.0804812 0.383066 0
0.25 1.25 0 -0.0934349 0.451667 0
0.25 1.35 0 -0.107861 0.530592 0
0.25 1.45 0 -0.124336 0.621183 0
0.25 1.55 0 -0.14361 0.725235 0
0.25 1.65 0 -0.166682 0.845098 0
0.25 1.75 0 -0.194896 0.983789 0
0.25 1.85 0 -0.230031 1.14506 0
0.25 1.95 0 -0.274363 1.33337 0
0.25 2.05 0 -0.33057 1.55345 0
0.25 2.15 0 -0.401243 1.80927 0
0.25 2.25 0 -0.487384 2.10147 0
0.25 2.35 0 -0.584743 2.42206 0
0.25 2.45 0 -0.675698 2.74468 0
0.25 2.55 0 -0.713093 3.00894 0
0.25 2.65 0 -0.591714 3.10149 0
0.25 2.75 0 -0.106612 2.85132 0
0.25 2.85 0 1.08816 2.09068 0
0.25 2.95 0 3.47084 0.885174 0
0.25 3.05 0 7.45417 0.102423 0
0.35 0.05 0 0.0619863 0.0923533 0
0.35 0.15 0 0.0818153 0.189979 0
0.35 0.25 0 0.060571 0.194684 0
0.35 0.35 0 0.0293105 0.196522 0
0.35 0.45 0 -0.000954983 0.206248 0
0.35 0.55 0 -0.0278001 0.226355 0
0.35 0.65 0 -0.0516446 0.257426 0
0.35 0.75 0 -0.0735281 0.299431 0
0.35 0.85 0 -0.0944408 0.352264 0
0.35 0.95 0 -0.115213 0.41598 0
0.35 1.05 0 -0.136565 0.490888 0
0.35 1.15 0 -0.159181 0.57759 0
0.35 1.25 0 -0.183783 0.67701 0
0.35 1.35 0 -0.211196 0.79043 0
0.35 1.45 0 -0.242415 0.919521 0
0.35 1.55 0 -0.278666 1.06638 0
0.35 1.65 0 -0.321469 1.2335 0
0.35 1.75 0 -0.372654 1.42373 0
0.35 1.85 0 -0.43429 1.63991 0
0.35 1.95 0 -0.508382 1.88431 0
0.35 2.05 0 -0.596074 2.15718 0
0.35 2.15 0 -0.695866 2.45434 0
0.35 2.25 0 -0.800005 2.76274 0
0.35 2.35 0 -0.887757 3.05374 0
0.35 2.45 0 -0.914116 3.27411 0
0.35 2.55 0 -0.793491 3.33824 0
0.35 2.65 0 -0.381812 3.13182 0
0.35 2.75 0 0.530953 2.54709 0
0.35 2.85 0 2.19398 1.5743 0
0.35 2.95 0 4.79908 0.458583 0
0.35 3.05 0 8.25754 -0.0412684 0
0.45 0.05 0 0.0601905 0.0989031 0
0.45 0.15 0 0.0802908 0.208801 0
0.45 0.25 0 0.0558874 0.226181 0
0.45 0.35 0 0.0170882 0.242444 0
0.45 0.45 0 -0.0234625 0.267457 0
0.45 0.55 0 -0.0617679 0.303686 0
0.45 0.65 0 -0.0973955 0.352099 0
0.45 0.75 0 -0.13111 0.413073 0
0.45 0.85 0 -0.16395 0.486826 0
0.45 0.95 0 -0.196947 0.57366 0
0.45 1.05 0 -0.231089 0.674085 0
0.45 1.15 0 -0.267365 0.788879 0
0.45 1.25 0 -0.306822 0.919117 0
0.45 1.35 0 -0.350626 1.06617 0
0.45 1.45 0 -0.400106 1.23169 0
0.45 1.55 0 -0.456768 1.41749 0
0.45 1.65 0 -0.522245 1.62539 0
0.45 1.75 0 -0.598123 1.85678 0
0.45 1.85 0 -0.685501 2.11188 0
0.45 1.95 0 -0.784069 2.38848 0
0.45 2.05 0 -0.890337 2.67971 0
0.45 2.15 0 -0.994472 2.9708 0
0.45 2.25 0 -1.07508 3.23451 0
0.45 2.35 0 -1.09156 3.42612 0
0.45 2.45 0 -0.974656 3.48045 0
0.45 2.55 0 -0.618739 3.31691 0
0.45 2.65 0 0.116565 2.86169 0
0.45 2.75 0 1.38403 2.0939 0
0.45 2.85 0 3.29579 1.10962 0
0.45 2.95 0 5.83501 0.184889 0
0.45 3.05 0 8.72613 -0.10752 0
0.55 0.05 0 0.0539836 0.105364 0
0.55 0.15 0 0.0679062 0.227529 0
0.55 0.25 0 0.0368895 0.258116 0
0.55 0.35 0 -0.0109906 0.290133 0
0.55 0.45 0 -0.062759 0.332431 0
0.55 0.55 0 -0.113551 0.387029 0
0.55 0.65 0 -0.162295 0.454909 0
0.55 0.75 0 -0.209477 0.536642 0
0.55 0.85 0 -0.256125 0.632661 0
0.55 0.95 0 -0.303416 0.743443 0
0.55 1.05 0 -0.352564 0.869626 0
0.55 1.15 0 -0.404808 1.01204 0
0.55 1.25 0 -0.461442 1.17172 0
0.55 1.35 0 -0.523825 1.34983 0
0.55 1.45 0 -0.593359 1.54753 0
0.55 1.55 0 -0.671387 1.76574 0
0.55 1.65 0 -0.758951 2.00469 0
0.55 1.75 0 -0.85629 2.26318 0
0.55 1.85 0 -0.961919 2.53749 0
0.55 1.95 0 -1.07101 2.81953 0
0.55 2.05 0 -1.1728 3.09449 0
0.55 2.15 0 -1.2466 3.3378 0
0.55 2.25 0 -1.2567 3.51225 0
0.55 2.35 0 -1.14671 3.56719 0
0.55 2.45 0 -0.836366 3.44307 0
0.55 2.55 0 -0.225165 3.08599 0
0.55 2.65 0 0.79112 2.47442 0
0.55 2.75 0 2.28831 1.6528 0
0.55 2.85 0 4.26901 0.756934 0
0.55 2.95 0 6.61137 0.0236674 0
0.55 3.05 0 9.01671 -0.13315 0
0.65 0.05 0 0.0428188 0.112144 0
0.65 0.15 0 0.0441288 0.247309 0
0.65 0.25 0 0.00261579 0.292012 0
0.65 0.35 0 -0.0564783 0.340937 0
0.65 0.45 0 -0.120736 0.401928 0
0.65 0.55 0 -0.185039 0.476384 0
0.65 0.65 0 -0.24798 0.56508 0
0.65 0.75 0 -0.30986 0.668594 0
0.65 0.85 0 -0.371692 0.787436 0
0.65 0.95 0 -0.434754 0.92215 0
0.65 1.05 0 -0.500405 1.07337 0
0.65 1.15 0 -0.570026 1.2418 0
0.65 1.25 0 -0.64498 1.42819 0
0.65 1.35 0 -0.726546 1.63312 0
0.65 1.45 0 -0.81578 1.85682 0
0.65 1.55 0 -0.913238 2.09867 0
0.65 1.65 0 -1.01847 2.35656 0
0.65 1.75 0 -1.12914 2.62593 0
0.65 1.85 0 -1.23965 2.89836 0
0.65 1.95 0 -1.33902 3.15978 0
