x y z u v w
0.05 0.05 0 0.0196187 0.0410892 0
0.05 0.15 0 0.0174539 0.0701008 0
0.05 0.25 0 0.0101398 0.0489729 0
0.05 0.35 0 0.00509022 0.0352578 0
0.05 0.45 0 0.00210788 0.0286443 0
0.05 0.55 0 0.000248067 0.0264483 0
0.05 0.65 0 -0.00107671 0.0271665 0
0.05 0.75 0 -0.00215693 0.0300856 0
0.05 0.85 0 -0.00313147 0.0348844 0
0.05 0.95 0 -0.00407177 0.0414336 0
0.05 1.05 0 -0.00502099 0.0497083 0
0.05 1.15 0 -0.00601154 0.0597522 0
0.05 1.25 0 -0.00707372 0.071666 0
0.05 1.35 0 -0.00824141 0.085608 0
0.05 1.45 0 -0.00955761 0.101806 0
0.05 1.55 0 -0.0110819 0.120578 0
0.05 1.65 0 -0.0129022 0.142376 0
0.05 1.75 0 -0.0151536 0.167849 0
0.05 1.85 0 -0.01805 0.197957 0
0.05 1.95 0 -0.0219368 0.234157 0
0.05 2.05 0 -0.027374 0.278707 0
0.05 2.15 0 -0.0352628 0.335156 0
0.05 2.25 0 -0.0470072 0.409087 0
0.05 2.35 0 -0.0646348 0.5091 0
0.05 2.45 0 -0.0905535 0.647724 0
0.05 2.55 0 -0.125867 0.840757 0
0.05 2.65 0 -0.164034 1.10019 0
0.05 2.75 0 -0.171157 1.40687 0
0.05 2.85 0 -0.031711 1.6326 0
0.05 2.95 0 0.584082 1.4077 0
0.05 3.05 0 2.50151 0.558274 0
0.15 0.05 0 0.0469585 0.0698353 0
0.15 0.15 0 0.0487458 0.131851 0
0.15 0.25 0 0.0318288 0.112999 0
0.15 0.35 0 0.0169631 0.0952473 0
0.15 0.45 0 0.00645508 0.0862958 0
0.15 0.55 0 -0.00104505 0.0855909 0
0.15 0.65 0 -0.00686348 0.0917993 0
0.15 0.75 0 -0.0118252 0.103947 0
0.15 0.85 0 -0.0163993 0.12149 0
0.15 0.95 0 -0.0208634 0.144207 0
0.15 1.05 0 -0.0254047 0.172109 0
0.15 1.15 0 -0.0301756 0.205394 0
0.15 1.25 0 -0.0353261 0.244434 0
0.15 1.35 0 -0.041029 0.289789 0
0.15 1.45 0 -0.0475045 0.342257 0
0.15 1.55 0 -0.055053 0.402938 0
0.15 1.65 0 -0.0641007 0.473356 0
0.15 1.75 0 -0.0752663 0.555612 0
0.15 1.85 0 -0.0894576 0.652611 0
0.15 1.95 0 -0.108004 0.768334 0
0.15 2.05 0 -0.132817 0.908141 0
0.15 2.15 0 -0.166531 1.07895 0
0.15 2.25 0 -0.212426 1.28895 0
0.15 2.35 0 -0.273622 1.54594 0
0.15 2.45 0 -0.350127 1.8524 0
0.15 2.55 0 -0.430444 2.19338 0
0.15 2.65 0 -0.470441 2.51111 0
0.15 2.75 0 -0.345522 2.66191 0
0.15 2.85 0 0.245839 2.37996 0
0.15 2.95 0 1.9493 1.40506 0
0.15 3.05 0 5.97209 0.360413 0
0.25 0.05 0 0.0573325 0.0822214 0
0.25 0.15 0 0.0701352 0.163477 0
0.25 0.25 0 0.0506973 0.155701 0
0.25 0.35 0 0.0274563 0.145213 0
0.25 0.45 0 0.00765388 0.142565 0
0.25 0.55 0 -0.00841889 0.149406 0
0.25 0.65 0 -0.0219333 0.165542 0
0.25 0.75 0 -0.0339864 0.190468 0
0.25 0.85 0 -0.0453625 0.223825 0
0.25 0.95 0 -0.0566087 0.265512 0
0.25 1.05 0 -0.068142 0.315687 0
0.25 1.15 0 -0.0803303 0.374765 0
0.25 1.25 0 -0.0935528 0.443419 0
0.25 1.35 0 -0.10825 0.522623 0
0.25 1.45 0 -0.124978 0.613702 0
0.25 1.55 0 -0.144469 0.718425 0
0.25 1.65 0 -0.167709 0.839103 0
0.25 1.75 0 -0.196033 0.978707 0
0.25 1.85 0 -0.231219 1.14095 0
0.25 1.95 0 -0.275546 1.33022 0
0.25 2.05 0 -0.331711 1.55124 0
