x y z u v w
0.05 0.05 0 0.0201484 0.0419979 0
0.05 0.15 0 0.0178231 0.0716759 0
0.05 0.25 0 0.0101668 0.0502973 0
0.05 0.35 0 0.00484041 0.0368167 0
0.05 0.45 0 0.00167275 0.03086 0
0.05 0.55 0 -0.000295023 0.0295915 0
0.05 0.65 0 -0.00166823 0.0313813 0
0.05 0.75 0 -0.00275293 0.0354205 0
0.05 0.85 0 -0.00370045 0.0413179 0
0.05 0.95 0 -0.00459146 0.0488943 0
0.05 1.05 0 -0.00547532 0.0580895 0
0.05 1.15 0 -0.00638801 0.0689208 0
0.05 1.25 0 -0.00736134 0.0814672 0
0.05 1.35 0 -0.00842943 0.095867 0
0.05 1.45 0 -0.00963511 0.112328 0
0.05 1.55 0 -0.0110385 0.13115 0
0.05 1.65 0 -0.0127294 0.152766 0
0.05 1.75 0 -0.0148472 0.177816 0
0.05 1.85 0 -0.0176126 0.207258 0
0.05 1.95 0 -0.0213795 0.242563 0
0.05 2.05 0 -0.0267173 0.286019 0
0.05 2.15 0 -0.0345346 0.341221 0
0.05 2.25 0 -0.0462374 0.413805 0
0.05 2.35 0 -0.0638454 0.512425 0
0.05 2.45 0 -0.0897407 0.649629 0
0.05 2.55 0 -0.124973 0.84117 0
0.05 2.65 0 -0.162907 1.09886 0
0.05 2.75 0 -0.169514 1.40318 0
0.05 2.85 0 -0.0291993 1.62544 0
0.05 2.95 0 0.587407 1.39655 0
0.05 3.05 0 2.50386 0.551743 0
0.15 0.05 0 0.0481857 0.0715573 0
0.15 0.15 0 0.0492877 0.135639 0
0.15 0.25 0 0.0311077 0.117927 0
0.15 0.35 0 0.0151933 0.102253 0
0.15 0.45 0 0.00399261 0.0961832 0
0.15 0.55 0 -0.0038775 0.0988319 0
0.15 0.65 0 -0.0098125 0.108564 0
0.15 0.75 0 -0.0147051 0.124174 0
0.15 0.85 0 -0.0190799 0.144952 0
0.15 0.95 0 -0.0232553 0.170565 0
0.15 1.05 0 -0.0274444 0.200949 0
0.15 1.15 0 -0.0318131 0.236246 0
0.15 1.25 0 -0.0365159 0.276779 0
0.15 1.35 0 -0.0417245 0.323063 0
0.15 1.45 0 -0.0476575 0.375842 0
0.15 1.55 0 -0.0546178 0.436171 0
0.15 1.65 0 -0.0630428 0.50553 0
0.15 1.75 0 -0.0735736 0.586004 0
0.15 1.85 0 -0.0871522 0.680512 0
0.15 1.95 0 -0.10515 0.7931 0
0.15 2.05 0 -0.129522 0.92924 0
0.15 2.15 0 -0.162933 1.096 0
0.15 2.25 0 -0.208667 1.30174 0
0.15 2.35 0 -0.269798 1.5544 0
0.15 2.45 0 -0.346224 1.8565 0
0.15 2.55 0 -0.426257 2.19299 0
0.15 2.65 0 -0.465506 2.50584 0
0.15 2.75 0 -0.33916 2.65105 0
0.15 2.85 0 0.254094 2.36305 0
0.15 2.95 0 1.95842 1.38431 0
0.15 3.05 0 5.97736 0.349641 0
0.25 0.05 0 0.0583628 0.0849045 0
0.25 0.15 0 0.0691751 0.170328 0
0.25 0.25 0 0.0470298 0.166231 0
0.25 0.35 0 0.0216413 0.160722 0
0.25 0.45 0 0.000515714 0.163951 0
0.25 0.55 0 -0.0161368 0.177027 0
0.25 0.65 0 -0.0296558 0.199316 0
0.25 0.75 0 -0.041304 0.229999 0
0.25 0.85 0 -0.0519994 0.268514 0
0.25 0.95 0 -0.0623838 0.314633 0
0.25 1.05 0 -0.0729308 0.368442 0
0.25 1.15 0 -0.0840335 0.4303 0
0.25 1.25 0 -0.0960738 0.500831 0
0.25 1.35 0 -0.109484 0.580948 0
0.25 1.45 0 -0.124812 0.67191 0
0.25 1.55 0 -0.142796 0.775413 0
0.25 1.65 0 -0.164455 0.893716 0
0.25 1.75 0 -0.191183 1.02977 0
0.25 1.85 0 -0.224851 1.18735 0
0.25 1.95 0 -0.267848 1.37095 0
0.25 2.05 0 -0.322973 1.58551 0
0.25 2.15 0 -0.392907 1.83524 0
0.25 2.25 0 -0.478684 2.12104 0
0.25 2.35 0 -0.57598 2.43518 0
0.25 2.45 0 -0.666993 2.75145 0
0.25 2.55 0 -0.704283 3.00947 0
0.25 2.65 0 -0.582368 3.09587 0
0.25 2.75 0 -0.096281 2.83972 0
0.25 2.85 0 1.09927 2.07404 0
0.25 2.95 0 3.48079 0.866682 0
0.25 3.05 0 7.45864 0.093322 0
0.35 0.05 0 0.0595873 0.0938963 0
0.35 0.15 0 0.0744464 0.19598 0
0.35 0.25 0 0.0493969 0.207505 0
0.35 0.35 0 0.0158788 0.217572 0
0.35 0.45 0 -0.0152734 0.235946 0
0.35 0.55 0 -0.0419762 0.264416 0
0.35 0.65 0 -0.0649917 0.303145 0
0.35 0.75 0 -0.0856413 0.35189 0
0.35 0.85 0 -0.105116 0.410477 0
0.35 0.95 0 -0.124365 0.478971 0
0.35 1.05 0 -0.144151 0.557717 0
0.35 1.15 0 -0.165144 0.647343 0
0.35 1.25 0 -0.18801 0.748761 0
0.35 1.35 0 -0.213503 0.863192 0
0.35 1.45 0 -0.242556 0.992198 0
0.35 1.55 0 -0.276375 1.13774 0
0.35 1.65 0 -0.316513 1.3022 0
0.35 1.75 0 -0.364913 1.48832 0
0.35 1.85 0 -0.423821 1.69897 0
0.35 1.95 0 -0.495467 1.93651 0
0.35 2.05 0 -0.58122 2.20148 0
0.35 2.15 0 -0.679748 2.49001 0
0.35 2.25 0 -0.783341 2.78945 0
0.35 2.35 0 -0.871138 3.0715 0
0.35 2.45 0 -0.89784 3.28317 0
0.35 2.55 0 -0.777486 3.33904 0
0.35 2.65 0 -0.365772 3.12493 0
0.35 2.75 0 0.547096 2.53352 0
0.35 2.85 0 2.20929 1.5559 0
0.35 2.95 0 4.81094 0.439078 0
0.35 3.05 0 8.26205 -0.0506707 0
0.45 0.05 0 0.0541612 0.102208 0
0.45 0.15 0 0.0650952 0.220394 0
0.45 0.25 0 0.0347788 0.248782 0
0.45 0.35 0 -0.00689111 0.277276 0
0.45 0.45 0 -0.047962 0.314331 0
0.45 0.55 0 -0.0851931 0.361572 0
0.45 0.65 0 -0.118796 0.419562 0
0.45 0.75 0 -0.150017 0.488563 0
0.45 0.85 0 -0.180206 0.56885 0
0.45 0.95 0 -0.210559 0.660855 0
0.45 1.05 0 -0.242098 0.765227 0
0.45 1.15 0 -0.275751 0.882843 0
0.45 1.25 0 -0.312446 1.01481 0
0.45 1.35 0 -0.353207 1.16243 0
0.45 1.45 0 -0.399249 1.32723 0
0.45 1.55 0 -0.452033 1.51085 0
0.45 1.65 0 -0.513254 1.71493 0
0.45 1.75 0 -0.584685 1.94074 0
0.45 1.85 0 -0.667726 2.18852 0
0.45 1.95 0 -0.762441 2.45618 0
0.45 2.05 0 -0.865712 2.73718 0
0.45 2.15 0 -0.967971 3.01718 0
0.45 2.25 0 -1.0479 3.26944 0
0.45 2.35 0 -1.0647 3.44968 0
0.45 2.45 0 -0.948744 3.49313 0
0.45 2.55 0 -0.593952 3.31953 0
0.45 2.65 0 0.140226 2.8554 0
0.45 2.75 0 1.40617 2.08034 0
0.45 2.85 0 3.31498 1.09112 0
0.45 2.95 0 5.84854 0.16526 0
0.45 3.05 0 8.73081 -0.117009 0
0.55 0.05 0 0.0415124 0.110985 0
0.55 0.15 0 0.040229 0.246425 0
0.55 0.25 0 0.00114437 0.293256 0
0.55 0.35 0 -0.0495215 0.342168 0
0.55 0.45 0 -0.100518 0.400142 0
0.55 0.55 0 -0.148398 0.468299 0
0.55 0.65 0 -0.193145 0.547352 0
0.55 0.75 0 -0.235962 0.63796 0
