x y z u v w
0.05 0.05 0 0.0151172 0.0339732 0
0.05 0.15 0 0.0118322 0.0602484 0
0.05 0.25 0 0.00523719 0.0479496 0
0.05 0.35 0 0.00101403 0.0424306 0
0.05 0.45 0 -0.00129778 0.0427021 0
0.05 0.55 0 -0.00261209 0.0462847 0
0.05 0.65 0 -0.0034693 0.0518548 0
0.05 0.75 0 -0.00413357 0.058816 0
0.05 0.85 0 -0.0047318 0.066929 0
0.05 0.95 0 -0.0053302 0.0761314 0
0.05 1.05 0 -0.00596958 0.0864585 0
0.05 1.15 0 -0.00668151 0.0980116 0
0.05 1.25 0 -0.00749686 0.110948 0
0.05 1.35 0 -0.00845191 0.125488 0
0.05 1.45 0 -0.00959486 0.141924 0
0.05 1.55 0 -0.0109938 0.160655 0
0.05 1.65 0 -0.0127484 0.18223 0
0.05 1.75 0 -0.0150047 0.207416 0
0.05 1.85 0 -0.01798 0.237305 0
0.05 1.95 0 -0.0219966 0.273464 0
0.05 2.05 0 -0.0275485 0.318181 0
0.05 2.15 0 -0.0354065 0.374858 0
0.05 2.25 0 -0.0467955 0.448651 0
0.05 2.35 0 -0.0635547 0.547414 0
0.05 2.45 0 -0.087994 0.682689 0
0.05 2.55 0 -0.121266 0.869284 0
0.05 2.65 0 -0.157008 1.11844 0
0.05 2.75 0 -0.161448 1.41055 0
0.05 2.85 0 -0.0191746 1.6173 0
0.05 2.95 0 0.598289 1.37276 0
0.05 3.05 0 2.51059 0.53627 0
0.15 0.05 0 0.032195 0.0618902 0
0.15 0.15 0 0.0268322 0.125507 0
0.15 0.25 0 0.0107061 0.1274 0
0.15 0.35 0 -0.0014131 0.13104 0
0.15 0.45 0 -0.00905015 0.140949 0
0.15 0.55 0 -0.0139644 0.156092 0
0.15 0.65 0 -0.0175054 0.175316 0
0.15 0.75 0 -0.0204495 0.197953 0
0.15 0.85 0 -0.0232215 0.223754 0
0.15 0.95 0 -0.0260687 0.252747 0
0.15 1.05 0 -0.0291595 0.285163 0
0.15 1.15 0 -0.0326359 0.321397 0
0.15 1.25 0 -0.0366468 0.362004 0
0.15 1.35 0 -0.0413749 0.407733 0
0.15 1.45 0 -0.0470665 0.459589 0
0.15 1.55 0 -0.0540668 0.518924 0
0.15 1.65 0 -0.0628634 0.587574 0
0.15 1.75 0 -0.0741349 0.668028 0
0.15 1.85 0 -0.0888009 0.763617 0
0.15 1.95 0 -0.108076 0.878679 0
0.15 2.05 0 -0.133534 1.01866 0
0.15 2.15 0 -0.167186 1.19 0
0.15 2.25 0 -0.211467 1.3996 0
0.15 2.35 0 -0.268677 1.65308 0
0.15 2.45 0 -0.338453 1.95022 0
0.15 2.55 0 -0.40974 2.27354 0
0.15 2.65 0 -0.439671 2.56387 0
0.15 2.75 0 -0.305362 2.6782 0
0.15 2.85 0 0.292441 2.35507 0
0.15 2.95 0 1.99421 1.34814 0
0.15 3.05 0 5.9954 0.326395 0
0.25 0.05 0 0.0279065 0.0771232 0
0.25 0.15 0 0.0221584 0.167526 0
0.25 0.25 0 0.00203861 0.190114 0
0.25 0.35 0 -0.0157382 0.210321 0
0.25 0.45 0 -0.0287434 0.234437 0
0.25 0.55 0 -0.0382934 0.263208 0
0.25 0.65 0 -0.0459469 0.296593 0
0.25 0.75 0 -0.0528043 0.334536 0
0.25 0.85 0 -0.0595675 0.377162 0
0.25 0.95 0 -0.0667038 0.424804 0
0.25 1.05 0 -0.0745723 0.478003 0
0.25 1.15 0 -0.0835084 0.537514 0
0.25 1.25 0 -0.0938877 0.604343 0
0.25 1.35 0 -0.106186 0.679809 0
0.25 1.45 0 -0.121044 0.765652 0
0.25 1.55 0 -0.139346 0.864173 0
0.25 1.65 0 -0.162282 0.978395 0
0.25 1.75 0 -0.191391 1.1122 0
0.25 1.85 0 -0.22852 1.27037 0
0.25 1.95 0 -0.27566 1.45828 0
0.25 2.05 0 -0.334596 1.68116 0
0.25 2.15 0 -0.406263 1.94244 0
0.25 2.25 0 -0.489437 2.24062 0
0.25 2.35 0 -0.577753 2.56392 0
0.25 2.45 0 -0.652721 2.88101 0
0.25 2.55 0 -0.668632 3.12668 0
0.25 2.65 0 -0.524392 3.18501 0
0.25 2.75 0 -0.0211874 2.88689 0
0.25 2.85 0 1.17958 2.07349 0
0.25 2.95 0 3.54749 0.829588 0
0.25 3.05 0 7.48676 0.068411 0
0.35 0.05 0 0.0106216 0.0860385 0
0.35 0.15 0 -0.00181821 0.193974 0
0.35 0.25 0 -0.0239107 0.233344 0
0.35 0.35 0 -0.0445789 0.268781 0
0.35 0.45 0 -0.0614909 0.306223 0
0.35 0.55 0 -0.075438 0.347216 0
0.35 0.65 0 -0.087763 0.392621 0
0.35 0.75 0 -0.0995957 0.443065 0
0.35 0.85 0 -0.111774 0.499155 0
0.35 0.95 0 -0.124943 0.561598 0
0.35 1.05 0 -0.139667 0.631273 0
0.35 1.15 0 -0.15653 0.709291 0
0.35 1.25 0 -0.176221 0.797066 0
