x y z p
0.05 0.05 0 -15.0309
0.05 0.15 0 -17.7385
0.05 0.25 0 -18.9203
0.05 0.35 0 -19.7054
0.05 0.45 0 -20.3596
0.05 0.55 0 -20.9967
0.05 0.65 0 -21.6794
0.05 0.75 0 -22.4485
0.05 0.85 0 -23.3349
0.05 0.95 0 -24.365
0.05 1.05 0 -25.5641
0.05 1.15 0 -26.9581
0.05 1.25 0 -28.5748
0.05 1.35 0 -30.4459
0.05 1.45 0 -32.6074
0.05 1.55 0 -35.1015
0.05 1.65 0 -37.9781
0.05 1.75 0 -41.297
0.05 1.85 0 -45.1303
0.05 1.95 0 -49.5671
0.05 2.05 0 -54.7206
0.05 2.15 0 -60.7417
0.05 2.25 0 -67.844
0.05 2.35 0 -76.3513
0.05 2.45 0 -86.7863
0.05 2.55 0 -100.035
0.05 2.65 0 -117.635
0.05 2.75 0 -142.213
0.05 2.85 0 -177.772
0.05 2.95 0 -227.118
0.05 3.05 0 -264.576
0.15 0.05 0 -16.2427
0.15 0.15 0 -18.2993
0.15 0.25 0 -19.1439
0.15 0.35 0 -19.7889
0.15 0.45 0 -20.3792
0.15 0.55 0 -20.9814
0.15 0.65 0 -21.6416
0.15 0.75 0 -22.3938
0.15 0.85 0 -23.2659
0.15 0.95 0 -24.2829
0.15 1.05 0 -25.4688
0.15 1.15 0 -26.8489
0.15 1.25 0 -28.4506
0.15 1.35 0 -30.3047
0.15 1.45 0 -32.4471
0.15 1.55 0 -34.9195
0.15 1.65 0 -37.7715
0.15 1.75 0 -41.0626
0.15 1.85 0 -44.8648
0.15 1.95 0 -49.2667
0.15 2.05 0 -54.3801
0.15 2.15 0 -60.3511
0.15 2.25 0 -67.3788
0.15 2.35 0 -75.7468
0.15 2.45 0 -85.8676
0.15 2.55 0 -98.3322
0.15 2.65 0 -113.919
0.15 2.75 0 -133.424
0.15 2.85 0 -156.859
0.15 2.95 0 -179.782
0.15 3.05 0 -174.018
0.25 0.05 0 -17.3202
0.25 0.15 0 -18.9673
0.25 0.25 0 -19.4741
0.25 0.35 0 -19.9178
0.25 0.45 0 -20.3884
0.25 0.55 0 -20.9144
0.25 0.65 0 -21.521
0.25 0.75 0 -22.2315
0.25 0.85 0 -23.0677
0.25 0.95 0 -24.051
0.25 1.05 0 -25.203
0.25 1.15 0 -26.5471
0.25 1.25 0 -28.1094
0.25 1.35 0 -29.9197
0.25 1.45 0 -32.0124
0.25 1.55 0 -34.4286
0.25 1.65 0 -37.2169
0.25 1.75 0 -40.4359
0.25 1.85 0 -44.1563
0.25 1.95 0 -48.4637
0.25 2.05 0 -53.4624
0.25 2.15 0 -59.2796
0.25 2.25 0 -66.0693
0.25 2.35 0 -74.0113
0.25 2.45 0 -83.2937
0.25 2.55 0 -94.0564
0.25 2.65 0 -106.273
0.25 2.75 0 -119.552
0.25 2.85 0 -132.653
0.25 2.95 0 -141.034
0.25 3.05 0 -124.966
0.35 0.05 0 -18.1798
0.35 0.15 0 -19.5498
0.35 0.25 0 -19.7742
0.35 0.35 0 -20.0158
0.35 0.45 0 -20.3475
0.35 0.55 0 -20.7753
0.35 0.65 0 -21.3081
0.35 0.75 0 -21.9587
0.35 0.85 0 -22.742
0.35 0.95 0 -23.675
0.35 1.05 0 -24.7761
0.35 1.15 0 -26.0665
0.35 1.25 0 -27.5704
0.35 1.35 0 -29.316
0.35 1.45 0 -31.3367
0.35 1.55 0 -33.6722
0.35 1.65 0 -36.3703
0.35 1.75 0 -39.4883
0.35 1.85 0 -43.094
0.35 1.95 0 -47.266
0.35 2.05 0 -52.091
0.35 2.15 0 -57.6564
0.35 2.25 0 -64.0344
0.35 2.35 0 -71.2512
0.35 2.45 0 -79.2399
0.35 2.55 0 -87.789
0.35 2.65 0 -96.5265
0.35 2.75 0 -104.943
0.35 2.85 0 -112.102
0.35 2.95 0 -114.592
0.35 3.05 0 -98.2348
0.45 0.05 0 -18.8027
0.45 0.15 0 -19.9635
0.45 0.25 0 -19.9614
0.45 0.35 0 -20.0244
0.45 0.45 0 -20.2213
0.45 0.55 0 -20.5459
0.45 0.65 0 -20.9962
0.45 0.75 0 -21.5767
0.45 0.85 0 -22.2965
0.45 0.95 0 -23.1679
0.45 1.05 0 -24.2066
0.45 1.15 0 -25.4313
0.45 1.25 0 -26.8643
0.45 1.35 0 -28.5323
0.45 1.45 0 -30.4675
0.45 1.55 0 -32.7085
0.45 1.65 0 -35.3016
0.45 1.75 0 -38.3009
0.45 1.85 0 -41.7677
0.45 1.95 0 -45.765
0.45 2.05 0 -50.3475
0.45 2.15 0 -55.5417
0.45 2.25 0 -61.3166
0.45 2.35 0 -67.5501
0.45 2.45 0 -74.0108
0.45 2.55 0 -80.3908
0.45 2.65 0 -86.4063
0.45 2.75 0 -91.8381
0.45 2.85 0 -96.0847
0.45 2.95 0 -96.4027
0.45 3.05 0 -81.8416
0.55 0.05 0 -19.1577
0.55 0.15 0 -20.1604
0.55 0.25 0 -19.9866
0.55 0.35 0 -19.9047
0.55 0.45 0 -19.9835
0.55 0.55 0 -20.211
0.55 0.65 0 -20.5788
0.55 0.75 0 -21.0859
0.55 0.85 0 -21.7368
0.55 0.95 0 -22.5405
0.55 1.05 0 -23.5098
0.55 1.15 0 -24.6615
0.55 1.25 0 -26.0162
0.55 1.35 0 -27.5993
0.55 1.45 0 -29.4417
0.55 1.55 0 -31.5801
0.55 1.65 0 -34.0574
0.55 1.75 0 -36.9213
0.55 1.85 0 -40.2193
0.55 1.95 0 -43.989
0.55 2.05 0 -48.2401
0.55 2.15 0 -52.9299
0.55 2.25 0 -57.939
0.55 2.35 0 -63.0644
0.55 2.45 0 -68.0576
0.55 2.55 0 -72.7193
0.55 2.65 0 -76.9853
0.55 2.75 0 -80.8192
0.55 2.85 0 -83.6737
0.55 2.95 0 -83.2159
0.55 3.05 0 -70.5859
0.65 0.05 0 -19.2218
0.65 0.15 0 -20.114
0.65 0.25 0 -19.8222
0.65 0.35 0 -19.6326
0.65 0.45 0 -19.6158
0.65 0.55 0 -19.7585
0.65 0.65 0 -20.0494
0.65 0.75 0 -20.4842
0.65 0.85 0 -21.0645
0.65 0.95 0 -21.7968
0.65 1.05 0 -22.6921
0.65 1.15 0 -23.7654
0.65 1.25 0 -25.0361
0.65 1.35 0 -26.5281
0.65 1.45 0 -28.2701
0.65 1.55 0 -30.2957
0.65 1.65 0 -32.6414
0.65 1.75 0 -35.3433
0.65 1.85 0 -38.4283
0.65 1.95 0 -41.9011
0.65 2.05 0 -45.7244
0.65 2.15 0 -49.8018
0.65 2.25 0 -53.9731
0.65 2.35 0 -58.0442
0.65 2.45 0 -61.858
0.65 2.55 0 -65.3724
0.65 2.65 0 -68.6485
0.65 2.75 0 -71.6359
0.65 2.85 0 -73.742
0.65 2.95 0 -73.0152
0.65 3.05 0 -62.0779
0.75 0.05 0 -18.9955
0.75 0.15 0 -19.8177
0.75 0.25 0 -19.4572
0.75 0.35 0 -19.1957
0.75 0.45 0 -19.1073
0.75 0.55 0 -19.1798
0.75 0.65 0 -19.4015
0.75 0.75 0 -19.7669
0.75 0.85 0 -20.2761
0.75 0.95 0 -20.9341
0.75 1.05 0 -21.7504
0.75 1.15 0 -22.7386
0.75 1.25 0 -23.9166
0.75 1.35 0 -25.3065
0.75 1.45 0 -26.9337
0.75 1.55 0 -28.8263
0.75 1.65 0 -31.0114
0.75 1.75 0 -33.5092
0.75 1.85 0 -36.3231
0.75 1.95 0 -39.426
0.75 2.05 0 -42.7479
0.75 2.15 0 -46.1718
0.75 2.25 0 -49.5523
0.75 2.35 0 -52.7635
0.75 2.45 0 -55.7575
0.75 2.55 0 -58.5814
0.75 2.65 0 -61.2891
0.75 2.75 0 -63.7384
0.75 2.85 0 -65.3449
0.75 2.95 0 -64.5425
0.75 3.05 0 -55.0614
0.85 0.05 0 -18.5016
0.85 0.15 0 -19.2825
0.85 0.25 0 -18.8936
0.85 0.35 0 -18.5916
0.85 0.45 0 -18.4534
0.85 0.55 0 -18.4698
0.85 0.65 0 -18.6303
0.85 0.75 0 -18.9293
0.85 0.85 0 -19.3664
0.85 0.95 0 -19.9457
0.85 1.05 0 -20.6754
0.85 1.15 0 -21.5679
0.85 1.25 0 -22.639
0.85 1.35 0 -23.9079
0.85 1.45 0 -25.3956
0.85 1.55 0 -27.1226
0.85 1.65 0 -29.1048
0.85 1.75 0 -31.3462
0.85 1.85 0 -33.8302
0.85 1.95 0 -36.51
0.85 2.05 0 -39.3058
0.85 2.15 0 -42.114
0.85 2.25 0 -44.8363
0.85 2.35 0 -47.4193
0.85 2.45 0 -49.8776
0.85 2.55 0 -52.2624
0.85 2.65 0 -54.561
0.85 2.75 0 -56.5706
0.85 2.85 0 -57.7912
0.85 2.95 0 -57.0052
0.85 3.05 0 -48.8101
0.95 0.05 0 -17.7759
0.95 0.15 0 -18.5312
0.95 0.25 0 -18.1437
0.95 0.35 0 -17.8257
0.95 0.45 0 -17.656
0.95 0.55 0 -17.6284
0.95 0.65 0 -17.7343
0.95 0.75 0 -17.9689
0.95 0.85 0 -18.3316
0.95 0.95 0 -18.8259
0.95 1.05 0 -19.4588
0.95 1.15 0 -20.2409
0.95 1.25 0 -21.1855
0.95 1.35 0 -22.3081
0.95 1.45 0 -23.624
0.95 1.55 0 -25.1461
0.95 1.65 0 -26.8798
0.95 1.75 0 -28.817
0.95 1.85 0 -30.9301
0.95 1.95 0 -33.1685
0.95 2.05 0 -35.4628
0.95 2.15 0 -37.74
0.95 2.25 0 -39.9484
0.95 2.35 0 -42.0772
0.95 2.45 0 -44.1513
0.95 2.55 0 -46.185
0.95 2.65 0 -48.1108
0.95 2.75 0 -49.7233
0.95 2.85 0 -50.6417
0.95 2.95 0 -49.9289
0.95 3.05 0 -42.9053
1.05 0.05 0 -16.8566
1.05 0.15 0 -17.592
1.05 0.25 0 -17.226
1.05 0.35 0 -16.9102
1.05 0.45 0 -16.723
1.05 0.55 0 -16.6609
1.05 0.65 0 -16.7172
1.05 0.75 0 -16.888
1.05 0.85 0 -17.1728
1.05 0.95 0 -17.5743
1.05 1.05 0 -18.0983
1.05 1.15 0 -18.7533
1.05 1.25 0 -19.5497
1.05 1.35 0 -20.4988
1.05 1.45 0 -21.6108
1.05 1.55 0 -22.8917
1.05 1.65 0 -24.3401
1.05 1.75 0 -25.942
1.05 1.85 0 -27.6689
1.05 1.95 0 -29.4779
1.05 2.05 0 -31.3189
1.05 2.15 0 -33.1486
1.05 2.25 0 -34.944
1.05 2.35 0 -36.7068
1.05 2.45 0 -38.4462
1.05 2.55 0 -40.1418
1.05 2.65 0 -41.7049
1.05 2.75 0 -42.9653
1.05 2.85 0 -43.6557
1.05 2.95 0 -43.0519
1.05 3.05 0 -37.1223
1.15 0.05 0 -15.7792
1.15 0.15 0 -16.4943
1.15 0.25 0 -16.1625
1.15 0.35 0 -15.8616
1.15 0.45 0 -15.6669
1.15 0.55 0 -15.5772
1.15 0.65 0 -15.5873
1.15 0.75 0 -15.694
1.15 0.85 0 -15.8968
1.15 0.95 0 -16.1976
1.15 1.05 0 -16.6007
1.15 1.15 0 -17.1125
1.15 1.25 0 -17.7405
1.15 1.35 0 -18.4924
1.15 1.45 0 -19.3741
1.15 1.55 0 -20.3877
1.15 1.65 0 -21.5283
1.15 1.75 0 -22.7825
1.15 1.85 0 -24.1267
1.15 1.95 0 -25.5306
1.15 2.05 0 -26.9626
1.15 2.15 0 -28.3991
1.15 2.25 0 -29.8296
1.15 2.35 0 -31.2528
1.15 2.45 0 -32.6606
1.15 2.55 0 -34.015
1.15 2.65 0 -35.233
1.15 2.75 0 -36.1912
1.15 2.85 0 -36.7129
1.15 2.95 0 -36.2366
1.15 3.05 0 -31.3492
1.25 0.05 0 -14.5746
1.25 0.15 0 -15.2663
1.25 0.25 0 -14.9769
1.25 0.35 0 -14.6994
1.25 0.45 0 -14.5044
1.25 0.55 0 -14.3921
1.25 0.65 0 -14.3582
1.25 0.75 0 -14.4
1.25 0.85 0 -14.5168
1.25 0.95 0 -14.7096
1.25 1.05 0 -14.9815
1.25 1.15 0 -15.3367
1.25 1.25 0 -15.7803
1.25 1.35 0 -16.3171
1.25 1.45 0 -16.9507
1.25 1.55 0 -17.6812
1.25 1.65 0 -18.5042
1.25 1.75 0 -19.4096
1.25 1.85 0 -20.3816
1.25 1.95 0 -21.4015
1.25 2.05 0 -22.4514
1.25 2.15 0 -23.5185
1.25 2.25 0 -24.5958
1.25 2.35 0 -25.6768
1.25 2.45 0 -26.744
