x y z p
0.05 0.05 0 -16.3721
0.05 0.15 0 -19.3275
0.05 0.25 0 -20.6086
0.05 0.35 0 -21.4126
0.05 0.45 0 -22.0095
0.05 0.55 0 -22.515
0.05 0.65 0 -22.9966
0.05 0.75 0 -23.502
0.05 0.85 0 -24.0704
0.05 0.95 0 -24.7371
0.05 1.05 0 -25.5361
0.05 1.15 0 -26.5015
0.05 1.25 0 -27.6685
0.05 1.35 0 -29.0747
0.05 1.45 0 -30.7609
0.05 1.55 0 -32.7723
0.05 1.65 0 -35.1607
0.05 1.75 0 -37.9861
0.05 1.85 0 -41.3209
0.05 1.95 0 -45.2547
0.05 2.05 0 -49.9037
0.05 2.15 0 -55.4256
0.05 2.25 0 -62.046
0.05 2.35 0 -70.1062
0.05 2.45 0 -80.151
0.05 2.55 0 -93.0901
0.05 2.65 0 -110.484
0.05 2.75 0 -134.984
0.05 2.85 0 -170.63
0.05 2.95 0 -220.348
0.05 3.05 0 -259.021
0.15 0.05 0 -17.6369
0.15 0.15 0 -19.9237
0.15 0.25 0 -20.865
0.15 0.35 0 -21.5314
0.15 0.45 0 -22.0656
0.15 0.55 0 -22.5353
0.15 0.65 0 -22.9915
0.15 0.75 0 -23.476
0.15 0.85 0 -24.0258
0.15 0.95 0 -24.6748
0.15 1.05 0 -25.4563
0.15 1.15 0 -26.4039
0.15 1.25 0 -27.5525
0.15 1.35 0 -28.9392
0.15 1.45 0 -30.6044
0.15 1.55 0 -32.593
0.15 1.65 0 -34.9563
0.15 1.75 0 -37.7538
0.15 1.85 0 -41.057
0.15 1.95 0 -44.9547
0.15 2.05 0 -49.5608
0.15 2.15 0 -55.0277
0.15 2.25 0 -61.5667
0.15 2.35 0 -69.48
0.15 2.45 0 -79.2045
0.15 2.55 0 -91.3581
0.15 2.65 0 -106.743
0.15 2.75 0 -126.168
0.15 2.85 0 -149.648
0.15 2.95 0 -172.803
0.15 3.05 0 -168.059
0.25 0.05 0 -18.7282
0.25 0.15 0 -20.6593
0.25 0.25 0 -21.2911
0.25 0.35 0 -21.7675
0.25 0.45 0 -22.1826
0.25 0.55 0 -22.5695
0.25 0.65 0 -22.9614
0.25 0.75 0 -23.3914
0.25 0.85 0 -23.8916
0.25 0.95 0 -24.4934
0.25 1.05 0 -25.2284
0.25 1.15 0 -26.1288
0.25 1.25 0 -27.2287
0.25 1.35 0 -28.5641
0.25 1.45 0 -30.1745
0.25 1.55 0 -32.1038
0.25 1.65 0 -34.4018
0.25 1.75 0 -37.1265
0.25 1.85 0 -40.3468
0.25 1.95 0 -44.1467
0.25 2.05 0 -48.6309
0.25 2.15 0 -53.9322
0.25 2.25 0 -60.2174
0.25 2.35 0 -67.6882
0.25 2.45 0 -76.5616
0.25 2.55 0 -87.0069
0.25 2.65 0 -99.0162
0.25 2.75 0 -112.193
0.25 2.85 0 -125.273
0.25 2.95 0 -133.773
0.25 3.05 0 -118.672
0.35 0.05 0 -19.6284
0.35 0.15 0 -21.3747
0.35 0.25 0 -21.7688
0.35 0.35 0 -22.0564
0.35 0.45 0 -22.3275
0.35 0.55 0 -22.6008
0.35 0.65 0 -22.8978
0.35 0.75 0 -23.2442
0.35 0.85 0 -23.6673
0.35 0.95 0 -24.1955
0.35 1.05 0 -24.8583
0.35 1.15 0 -25.6862
0.35 1.25 0 -26.712
0.35 1.35 0 -27.9706
0.35 1.45 0 -29.5004
0.35 1.55 0 -31.3441
0.35 1.65 0 -33.5499
0.35 1.75 0 -36.1731
0.35 1.85 0 -39.2776
0.35 1.95 0 -42.9378
0.35 2.05 0 -47.2386
0.35 2.15 0 -52.2718
0.35 2.25 0 -58.1236
0.35 2.35 0 -64.8452
0.35 2.45 0 -72.4026
0.35 2.55 0 -80.6133
0.35 2.65 0 -89.1145
0.35 2.75 0 -97.3757
0.35 2.85 0 -104.434
0.35 2.95 0 -106.973
0.35 3.05 0 -91.6052
0.45 0.05 0 -20.4128
0.45 0.15 0 -22.0416
0.45 0.25 0 -22.2442
0.45 0.35 0 -22.3543
0.45 0.45 0 -22.4723
0.45 0.55 0 -22.6134
0.45 0.65 0 -22.7938
0.45 0.75 0 -23.0344
0.45 0.85 0 -23.3588
0.45 0.95 0 -23.7925
0.45 1.05 0 -24.3629
0.45 1.15 0 -25.0992
0.45 1.25 0 -26.0327
0.45 1.35 0 -27.1973
0.45 1.45 0 -28.6303
0.45 1.55 0 -30.3728
0.45 1.65 0 -32.4707
0.45 1.75 0 -34.9742
0.45 1.85 0 -37.938
0.45 1.95 0 -41.4177
0.45 2.05 0 -45.463
0.45 2.15 0 -50.1033
0.45 2.25 0 -55.3223
0.45 2.35 0 -61.0258
0.45 2.45 0 -67.0159
0.45 2.55 0 -73.0099
0.45 2.65 0 -78.7231
0.45 2.75 0 -83.9113
0.45 2.85 0 -87.9658
0.45 2.95 0 -88.2849
0.45 3.05 0 -74.7733
0.55 0.05 0 -21.1362
