x y z p
0.05 0.05 0 -15.62
0.05 0.15 0 -18.436
0.05 0.25 0 -19.6556
0.05 0.35 0 -20.4455
0.05 0.45 0 -21.0803
0.05 0.55 0 -21.679
0.05 0.65 0 -22.3083
0.05 0.75 0 -23.0125
0.05 0.85 0 -23.8253
0.05 0.95 0 -24.7759
0.05 1.05 0 -25.8917
0.05 1.15 0 -27.2005
0.05 1.25 0 -28.7322
0.05 1.35 0 -30.5196
0.05 1.45 0 -32.6001
0.05 1.55 0 -35.0162
0.05 1.65 0 -37.8174
0.05 1.75 0 -41.0619
0.05 1.85 0 -44.8193
0.05 1.95 0 -49.1752
0.05 2.05 0 -54.2394
0.05 2.15 0 -60.1601
0.05 2.25 0 -67.1506
0.05 2.35 0 -75.5381
0.05 2.45 0 -85.8526
0.05 2.55 0 -98.991
0.05 2.65 0 -116.503
0.05 2.75 0 -141.027
0.05 2.85 0 -176.574
0.05 2.95 0 -225.968
0.05 3.05 0 -263.627
0.15 0.05 0 -16.8685
0.15 0.15 0 -19.0207
0.15 0.25 0 -19.8956
0.15 0.35 0 -20.5417
0.15 0.45 0 -21.11
0.15 0.55 0 -21.6718
0.15 0.65 0 -22.2767
0.15 0.75 0 -22.9624
0.15 0.85 0 -23.7596
0.15 0.95 0 -24.6957
0.15 1.05 0 -25.7972
0.15 1.15 0 -27.0912
0.15 1.25 0 -28.607
0.15 1.35 0 -30.377
0.15 1.45 0 -32.4381
0.15 1.55 0 -34.8326
0.15 1.65 0 -37.6099
0.15 1.75 0 -40.8278
0.15 1.85 0 -44.5558
0.15 1.95 0 -48.8786
0.15 2.05 0 -53.9041
0.15 2.15 0 -59.775
0.15 2.25 0 -66.6897
0.15 2.35 0 -74.9349
0.15 2.45 0 -84.9312
0.15 2.55 0 -97.2819
0.15 2.65 0 -112.779
0.15 2.75 0 -132.228
0.15 2.85 0 -155.644
0.15 2.95 0 -178.593
0.15 3.05 0 -172.998
0.25 0.05 0 -17.988
0.25 0.15 0 -19.7346
0.25 0.25 0 -20.2665
0.25 0.35 0 -20.7045
0.25 0.45 0 -21.1467
0.25 0.55 0 -21.6263
0.25 0.65 0 -22.1725
0.25 0.75 0 -22.8121
0.25 0.85 0 -23.5695
0.25 0.95 0 -24.4685
0.25 1.05 0 -25.533
0.25 1.15 0 -26.7884
0.25 1.25 0 -28.2626
0.25 1.35 0 -29.9871
0.25 1.45 0 -31.9979
0.25 1.55 0 -34.3366
0.25 1.65 0 -37.0518
0.25 1.75 0 -40.2008
0.25 1.85 0 -43.851
0.25 1.95 0 -48.0837
0.25 2.05 0 -52.9975
0.25 2.15 0 -58.7151
0.25 2.25 0 -65.3882
0.25 2.35 0 -73.2002
0.25 2.45 0 -82.3485
0.25 2.55 0 -92.988
0.25 2.65 0 -105.107
0.25 2.75 0 -118.323
0.25 2.85 0 -131.392
0.25 2.95 0 -139.778
0.25 3.05 0 -123.873
0.35 0.05 0 -18.9204
0.35 0.15 0 -20.3938
0.35 0.25 0 -20.6338
0.35 0.35 0 -20.8578
0.35 0.45 0 -21.1499
0.35 0.55 0 -21.5216
0.35 0.65 0 -21.9857
0.35 0.75 0 -22.5582
0.35 0.85 0 -23.2565
0.35 0.95 0 -24.0997
0.35 1.05 0 -25.1084
0.35 1.15 0 -26.3057
0.35 1.25 0 -27.7178
0.35 1.35 0 -29.3749
0.35 1.45 0 -31.312
0.35 1.55 0 -33.5703
0.35 1.65 0 -36.1978
0.35 1.75 0 -39.2502
0.35 1.85 0 -42.7918
0.35 1.95 0 -46.8953
0.35 2.05 0 -51.6399
0.35 2.15 0 -57.106
0.35 2.25 0 -63.3621
