x y z p
0.05 0.05 0 -16.8296
0.05 0.15 0 -19.8688
0.05 0.25 0 -21.1851
0.05 0.35 0 -22.0094
0.05 0.45 0 -22.6199
0.05 0.55 0 -23.1361
0.05 0.65 0 -23.6276
0.05 0.75 0 -24.1435
0.05 0.85 0 -24.7238
0.05 0.95 0 -25.4043
0.05 1.05 0 -26.2188
0.05 1.15 0 -27.2013
0.05 1.25 0 -28.3867
0.05 1.35 0 -29.8118
0.05 1.45 0 -31.5168
0.05 1.55 0 -33.5465
0.05 1.65 0 -35.9518
0.05 1.75 0 -38.7923
0.05 1.85 0 -42.14
0.05 1.95 0 -46.0842
0.05 2.05 0 -50.7411
0.05 2.15 0 -56.2685
0.05 2.25 0 -62.8921
0.05 2.35 0 -70.9535
0.05 2.45 0 -80.9977
0.05 2.55 0 -93.9342
0.05 2.65 0 -111.323
0.05 2.75 0 -135.813
0.05 2.85 0 -171.439
0.05 2.95 0 -221.111
0.05 3.05 0 -259.646
0.15 0.05 0 -18.1312
0.15 0.15 0 -20.4834
0.15 0.25 0 -21.4502
0.15 0.35 0 -22.1326
0.15 0.45 0 -22.6783
0.15 0.55 0 -23.1574
0.15 0.65 0 -23.6227
0.15 0.75 0 -24.1173
0.15 0.85 0 -24.6787
0.15 0.95 0 -25.3413
0.15 1.05 0 -26.1384
0.15 1.15 0 -27.1033
0.15 1.25 0 -28.2704
0.15 1.35 0 -29.6763
0.15 1.45 0 -31.3606
0.15 1.55 0 -33.3678
0.15 1.65 0 -35.7482
0.15 1.75 0 -38.5609
0.15 1.85 0 -41.8772
0.15 1.95 0 -45.7853
0.15 2.05 0 -50.3992
0.15 2.15 0 -55.8714
0.15 2.25 0 -62.4133
0.15 2.35 0 -70.3275
0.15 2.45 0 -80.0509
0.15 2.55 0 -92.2015
0.15 2.65 0 -107.581
0.15 2.75 0 -126.996
0.15 2.85 0 -150.463
0.15 2.95 0 -173.588
0.15 3.05 0 -168.729
0.25 0.05 0 -19.258
0.25 0.15 0 -21.2439
0.25 0.25 0 -21.8913
0.25 0.35 0 -22.3773
0.25 0.45 0 -22.7996
0.25 0.55 0 -23.1931
0.25 0.65 0 -23.5922
0.25 0.75 0 -24.0311
0.25 0.85 0 -24.5423
0.25 0.95 0 -25.1575
0.25 1.05 0 -25.9084
0.25 1.15 0 -26.8267
0.25 1.25 0 -27.9458
0.25 1.35 0 -29.3013
0.25 1.45 0 -30.9317
0.25 1.55 0 -32.8803
0.25 1.65 0 -35.1961
0.25 1.75 0 -37.9365
0.25 1.85 0 -41.1699
0.25 1.95 0 -44.9801
0.25 2.05 0 -49.4718
0.25 2.15 0 -54.7778
0.25 2.25 0 -61.0652
0.25 2.35 0 -68.536
0.25 2.45 0 -77.4074
0.25 2.55 0 -87.849
0.25 2.65 0 -99.853
0.25 2.75 0 -113.024
0.25 2.85 0 -126.097
0.25 2.95 0 -134.581
0.25 3.05 0 -119.373
0.35 0.05 0 -20.1926
0.35 0.15 0 -21.9866
0.35 0.25 0 -22.3871
0.35 0.35 0 -22.6768
0.35 0.45 0 -22.9495
0.35 0.55 0 -23.2253
0.35 0.65 0 -23.5268
0.35 0.75 0 -23.8804
0.35 0.85 0 -24.3139
0.35 0.95 0 -24.8556
0.35 1.05 0 -25.5348
0.35 1.15 0 -26.3816
0.35 1.25 0 -27.428
0.35 1.35 0 -28.7081
0.35 1.45 0 -30.2593
0.35 1.55 0 -32.1235
0.35 1.65 0 -34.348
0.35 1.75 0 -36.9873
0.35 1.85 0 -40.105
0.35 1.95 0 -43.7751
0.35 2.05 0 -48.0825
0.35 2.15 0 -53.1193
0.35 2.25 0 -58.9719
0.35 2.35 0 -65.6922
0.35 2.45 0 -73.2465
0.35 2.55 0 -81.4534
0.35 2.65 0 -89.9513
0.35 2.75 0 -98.2115
0.35 2.85 0 -105.27
0.35 2.95 0 -107.8
0.35 3.05 0 -92.3256
0.45 0.05 0 -21.0124
0.45 0.15 0 -22.6822
0.45 0.25 0 -22.8817
0.45 0.35 0 -22.9857
0.45 0.45 0 -23.0987
0.45 0.55 0 -23.2374
0.45 0.65 0 -23.4191
0.45 0.75 0 -23.665
0.45 0.85 0 -23.999
0.45 0.95 0 -24.4465
0.45 1.05 0 -25.0345
0.45 1.15 0 -25.7912
0.45 1.25 0 -26.7472
